补源优先级,结构化证据缺口类型,院校代码,院校名称,官网来源状态,B0B1专业组数,逐专业核验任务数,涉及专业组代码,官网URL,本地留存状态,是否可核湖北2026,可核字段,局限性,官方源缺口,下一步
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,C125,武汉轻工大学,needs_official_plan_source_search,1,21,C12508,,pending_local_retention,未见,暂无,未定位官方2026湖北普通本科计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,C133,湖北师范大学,needs_official_plan_source_search,1,15,C13310,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,F582,长春工业大学,needs_official_plan_source_search,1,11,F58204,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,H026,浙江传媒学院,needs_official_plan_source_search,1,7,H02606,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,H002,浙江工业大学,needs_official_plan_source_search,1,6,H00204,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,K487,西安航空学院,needs_official_plan_source_search,2,3,K48703；K48704,https://zb.xaau.edu.cn/,pending_local_retention,未见,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,K179,成都师范学院,needs_official_plan_source_search,2,2,K17903；K17905,,pending_local_retention,未见,暂无,未定位官方2026湖北计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P0-待补官方计划源,需继续寻找高校官网湖北2026计划,H775,韶关学院,needs_official_plan_source_search,1,1,H77505,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,F002,北方工业大学,charter_or_rules_only_no_plan,1,21,F00202,https://bkzs.ncut.edu.cn/zs/ptbk/zsjh.htm,has_local_retention_metadata,否,招生计划栏目入口；旧版分省计划表结构,页面元信息和检索结果显示为旧版/2022京外计划，不能核2026湖北物理类字段,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,H450,山东工商学院,has_partial_source_needs_followup,1,16,H45004,https://zs.sdtbu.edu.cn/info/2018/6284.htm,has_local_retention_metadata,部分,2026分省分专业计划PDF；专业名称；湖北计划数；学费等附件字段,PDF附件未直接结构化到湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,C107,武汉体育学院,charter_or_rules_only_no_plan,3,11,C10702；C10703；C10704,https://zs.whsu.edu.cn/info/1151/22357.htm,pending_local_retention,否,招生章程；录取规则；专业范围,未找到湖北专业组计划页,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,K345,云南大学,has_partial_source_needs_followup,1,11,K34509,https://zsfz.ynu.edu.cn/zsw/zsjh.html,has_local_retention_metadata,可能,官方招生计划动态入口；参数包含省市、年份、类型、科类；页面模板含专业名称、学费、人数、专业备注,接口端点已定位但命令行请求返回禁止访问，尚未留存湖北2026物理类结果，不能核计划字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,A022,北京林业大学,has_partial_source_needs_followup,1,8,A02211,https://zsb.bjfu.edu.cn/zsw/zsjh.html,has_local_retention_metadata,可能,官方招生计划入口；筛选维度；页面模板含专业、科类、类型、学制、计划数、专业组,API端点已定位但命令行请求返回禁止访问，尚未留存湖北2026物理类结果，不能核计划字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
P1-已有线索待结构化,有官网线索但尚未结构化到逐专业证据,H439,山东财经大学,has_partial_source_needs_followup,1,5,H43904,https://zhaosheng.sdufe.edu.cn/zsw/zsjh.html,has_local_retention_metadata,可能,官方招生计划动态入口；页面包含计划查询线索,命令行未成功取得湖北2026物理类返回结果，尚不能核专业计划数和专业组字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
