第四轮5万专项候选ID,费用场景,费用判断,解析学费,中外合作或高收费线索,讨论集合,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R4FEEGROUP-d451128ab09d66a4,预算内中外合作/高收费可讨论,预算内,24000,学费候选 24000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,贵阳市,稳妥观察,K259,贵州中医药大学,K25905,1,05,药物制剂（中外合作办学）（色真、色弱考生限报；办学地点：花溪区栋青路4K260贵州师范大学（公办）（贵州）,师范类相关,师范类相关,可了解-师范,默认不能接受-医学护理等排除方向,体检或色觉限制；中外合作或高收费；医学/护理等排除方向,,5,24000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-16,-16,215,right,M-464364e9cc87801f,G-c4e4805282af7d08
R4FEEGROUP-f18bdc070f91009d,预算内中外合作/高收费可讨论,预算内,36000,学费候选 36000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,湛江市,稳冲观察,H779,岭南师范学院,H77908,1,14,烹饪与营养教育（中外合作办学）（师范类：高收费专业；办学地点：寸金校H780 肇庆学院（公办）（广东）,师范类相关,师范类相关,可了解-师范,默认不能接受-高收费或超预算,中外合作或高收费,化学,5,36000,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,5,-16,188,left,M-36d24ac1f2278f7b,G-f77a45c0fc1833c0
R4FEEGROUP-c4bbab27acb025ba,预算内中外合作/高收费可讨论,预算内,26000,学费候选 26000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,四平市,稳冲观察,F589,吉林师范大学,F58907,1,10,电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）,师范类相关,师范类相关；电子信息网络,主线偏好-工科信息制造,默认不能接受-高收费或超预算,中外合作或高收费,,,26000,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,8,-4,121,right,M-0d32217adcdfa38c,G-10adbbd8abe0ef20
R4FEEGROUP-a9dbe4bdfa34ad25,预算内中外合作/高收费可讨论,预算内,40000,学费候选 40000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,武汉市,稳冲观察,C150,武汉商学院,C15007,2,54,"物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）",师范类相关,工商旅游管理；师范类相关,可了解-师范,默认不能接受-高收费或超预算,中外合作或高收费,,35,40000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,unmatched,H3-历史最高线高于等位分15分内,9,-12,81,left,M-41b02b5d8de0b251,G-c17bbc8198fca6e9
R4FEEGROUP-968c1f71df500d20,预算内中外合作/高收费可讨论,预算内,46000,学费候选 46000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,湘潭市,冲刺观察,H679,湖南工程学院,H67904,3,29,计算机科学与技术（中外合作办学）H680 湖南城市学院（公办）（湖南）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,中外合作或高收费,,2,46000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,23,23,183,left,M-27dd18befd427278,G-ada8c53eb1c0a537
R4FEEGROUP-e259c3c357a0f5de,预算内中外合作/高收费可讨论,预算内,26000,学费候选 26000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,长春市,冲刺观察,F591,长春师范大学,F59108,1,19,计算机科学与技术（中外合作办学）（与澳大利亚南十字星大学合作办学专业.主干课用英语授课，種著生债董报零，擎地点：姿背被P592 白城师范学院（公办）（吉林）,计算机类相关；师范类相关,计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,中外合作或高收费,,,26000,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,29,121,right,M-93f14320c69b760e,G-9b8d0c48557cf904
R4FEEGROUP-13ca791063250feb,预算内中外合作/高收费可讨论,预算内,25000,学费候选 25000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,荆门市,稳妥观察,C139,荆楚理工学院,C13909,1,51,数字媒体技术（中外合作办学）,数字媒体技术,数字媒体技术,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,中外合作或高收费,化学,100,25000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-10,-12,80,left,M-9972ec03f5ca7339,G-8167189bef4db0a8
R4FEEGROUP-e3c1a7f010929778,预算内中外合作/高收费可讨论,预算内,20000,学费候选 20000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,四平市,稳冲观察,F589,吉林师范大学,F58906,1,08,软件工程（国际本科学术互认课程专业：办学地点：四平校区）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,,,2,20000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,10,-1,121,left,M-2f865ec3d85aab83,G-32706d004516e53e
R4FEEGROUP-98bb5ef8f2d397f3,预算内中外合作/高收费可讨论,预算内,50000,学费候选 50000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,西安市,冲刺观察,K487,西安航空学院,K48703,1,04,计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,中外合作或高收费,,,50000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,18,3,226,right,M-03904cd5b3a6cbd2,G-59294f9eefd08b10
R4FEEGROUP-c7ba9f6b167b9583,预算内中外合作/高收费可讨论,预算内,16000,学费候选 16000 元，不超过 50000 元；需核培养模式和证书,5万内高收费/中外合作主表,银川市,冲刺观察,A207,北方民族大学,A20713,1,65,软件工程（中外合作办学）（该专业以外语授课时语种为英语，以其它语种資高部孝院校专业组及专业代号报考该专业的考生应慎重）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,默认不能接受-高收费或超预算,中外合作或高收费,「化学,3,16000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,21,21,58,left,M-b9636c8ede3ef6cf,G-12c71167b9d1f8bf
