G0冲突字段补证执行波次公开账本ID,来源G0冲突字段补证缺口任务公开账本,来源G0冲突字段补证缺口页列通道汇总,来源G0冲突字段补证缺口摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,波次包序号,执行波次序号,执行波次,波次类型,波次前置条件,波次准出条件,波次当前执行状态,是否当前可并行推进,页码版面键,来源页码,版面列,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,证据通道分布,字段名分布,当前通道状态分布,当前阻断桶分布,补证执行优先级分布,补证执行泳道分布,可并行执行任务数,待前置闭环任务数,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,缺口任务集合SHA256,闭环结果集合SHA256,波次下一步动作,公开安全策略
G0FIELDGAPWAVE-ac5a355874a1ec8f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,1,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,018-left,18,left,36,12,4,4,1,PDF原页记录:12；湖北官方侧记录:12；高校辅证人工核验:12,专业计划数:12；再选科目:12；学费:12,pending_hubei_official_plan_review:12；pending_pdf_page_review:12；school_source_seed_present_pending_manual_review:12,G0-缺PDF原页记录:12；G1-缺湖北官方记录:12；G2b-高校辅证种子待人工核验:12,P0-含双人复核缺口页列:36,R0-冲突字段双人核页优先:36,36,0,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,d52fd0fb9e596553086a0d9071efd32b5452168bef6c7fab6c2fe374ac203876,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-845dbbba1baf0aca,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,2,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,037-left,37,left,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,pending_hubei_official_plan_review:3；pending_pdf_page_review:3；school_source_seed_present_pending_manual_review:3,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2b-高校辅证种子待人工核验:3,P0-含双人复核缺口页列:9,R0-冲突字段双人核页优先:9,9,0,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,dd51513103340443e80c630b9a8415007c882a1c5ef258b2a792a0eb94f93089,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-fc4da8e907c3b045,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,3,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,056-left,56,left,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,pending_hubei_official_plan_review:3；pending_pdf_page_review:3；school_source_pending:1；school_source_seed_present_pending_manual_review:2,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,P2-常规冲突字段页列:9,R1-冲突字段单人初核后抽检复核:9,9,0,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,19d9696960502e1dd1ffa62d515944c211379df0e4e2988e6b5cd46a57aa9cc4,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-1c76d5402a193c4b,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,4,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,135-left,135,left,63,21,10,10,1,PDF原页记录:21；湖北官方侧记录:21；高校辅证人工核验:21,专业计划数:30；再选科目:3；学费:30,pending_hubei_official_plan_review:21；pending_pdf_page_review:21；school_source_pending:1；school_source_seed_present_pending_manual_review:20,G0-缺PDF原页记录:21；G1-缺湖北官方记录:21；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:20,P0-含双人复核缺口页列:63,R0-冲突字段双人核页优先:63,63,0,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,42e4e589eef792b2444488f04067770ef9d4d34a9d2200569a602f6fe3f124ab,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-ef785a4f0b04cae6,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,5,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,137-right,137,right,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,pending_hubei_official_plan_review:3；pending_pdf_page_review:3；school_source_pending:2；school_source_seed_present_pending_manual_review:1,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:2；G2b-高校辅证种子待人工核验:1,P0-含双人复核缺口页列:9,R0-冲突字段双人核页优先:9,9,0,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,a5883eb814164212564c77f440e556bdf2ac71ac969737f53733f37d7e7e4a5b,903556f2112c5011b65fa133e373a216d4b990765df3d18396ce9e56b57b25c8,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-bfc36faee65877d7,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,6,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,169-right,169,right,6,2,1,1,1,PDF原页记录:2；湖北官方侧记录:2；高校辅证人工核验:2,专业计划数:3；学费:3,pending_hubei_official_plan_review:2；pending_pdf_page_review:2；school_source_pending:1；school_source_seed_present_pending_manual_review:1,G0-缺PDF原页记录:2；G1-缺湖北官方记录:2；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:1,P0-含双人复核缺口页列:6,R0-冲突字段双人核页优先:6,6,0,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,0d414f1636248e70c38db8c383ea0e19fdd1eb3a9f23f4202ac2999b729ec162,8e45a2928aae9dbe373b395c9bf6cb4868bca7286c11130ba4b61e6cc275927e,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-8195249d100a2488,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,7,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,199-left,199,left,27,9,3,3,1,PDF原页记录:9；湖北官方侧记录:9；高校辅证人工核验:9,专业计划数:9；再选科目:9；学费:9,pending_hubei_official_plan_review:9；pending_pdf_page_review:9；school_source_seed_present_pending_manual_review:9,G0-缺PDF原页记录:9；G1-缺湖北官方记录:9；G2b-高校辅证种子待人工核验:9,P0-含双人复核缺口页列:27,R0-冲突字段双人核页优先:27,27,0,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,d56565827214a4341bbefd4f613838f14d880620528104ad1b1b733a21032447,536c2a0d5467df7881cc9da9ad82237ece462a3346d73bab24d327ec884548e1,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-15ac925c0bad68dd,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,8,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,209-right,209,right,18,6,2,2,1,PDF原页记录:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:6；再选科目:6；学费:6,pending_hubei_official_plan_review:6；pending_pdf_page_review:6；school_source_seed_present_pending_manual_review:6,G0-缺PDF原页记录:6；G1-缺湖北官方记录:6；G2b-高校辅证种子待人工核验:6,P0-含双人复核缺口页列:18,R0-冲突字段双人核页优先:18,18,0,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,FIRST-CLOSURE-REVIEW-HTML-209-right,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,81b823e528891efb860650610eacbfb00209c69b7ed53fd834e686e800131333,aaebd1e169576dd03ac4091bc37f13d4a4eed93404a51c99604c37fa716e37fc,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-06fa68869ff70e15,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,9,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,226-left,226,left,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,pending_hubei_official_plan_review:3；pending_pdf_page_review:3；school_source_pending:1；school_source_seed_present_pending_manual_review:2,G0-缺PDF原页记录:3；G1-缺湖北官方记录:3；G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,P2-常规冲突字段页列:9,R1-冲突字段单人初核后抽检复核:9,9,0,G0FIELD-PRIVATE-PAGE-226-left,abc71c328166506bfac1c155960e4929199d335a5962c47fd63b7adb833ed472,FIRST-CLOSURE-REVIEW-HTML-226-left,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,191476b49a97e1a4a176c33fdf5d7e60b430f94bcc36bd8d7b4757cccbcd0186,6766a0ad4be11d40fe5b4cc7ab35fb66bef8a3a2a5b0b68ad7a83e422b89be51,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0FIELDGAPWAVE-6bbf79e31e9c631f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-page-channel-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_execution_waves_v1,G0冲突字段补证执行波次,页列×执行波次,false,false,false,false,false,false,false,false,false,10,W0,一手证据与辅证采集,PDF原页/湖北官方/高校辅证记录采集,已生成G0冲突字段补证缺口任务,PDF原页记录、湖北官方侧记录和高校辅证人工核验记录均形成私有证据编号和SHA,ready_for_parallel_evidence_collection,true,226-right,226,right,18,6,2,2,1,PDF原页记录:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:6；再选科目:6；学费:6,pending_hubei_official_plan_review:6；pending_pdf_page_review:6；school_source_seed_present_pending_manual_review:6,G0-缺PDF原页记录:6；G1-缺湖北官方记录:6；G2b-高校辅证种子待人工核验:6,P1-字段数较多冲突页列:18,R1-冲突字段单人初核后抽检复核:18,18,0,G0FIELD-PRIVATE-PAGE-226-right,d70d7776c065165e5a98f203bfc7a22503881667942bacd522a94737e85b50ea,FIRST-CLOSURE-REVIEW-HTML-226-right,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,2f1508fd9bc6d8d5cbfa4d6800a8c43f57cdd32972d9610eb7c1bac222105f5c,912a2435e57fa263c66466cda5e3412407c11d8444cc27b0eab7c7d0d9789e13,优先补齐PDF原页记录、湖北官方侧记录和高校辅证人工核验记录；高校官网只作辅证。,公开层只保存页列、波次、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
