招生明细主表行ID,主表粒度,是否真实招生明细,是否0明细占位,来源页码,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,机器专业接受度初判,调剂影响初判,官网来源状态,官网证据匹配状态,官网证据覆盖结论,最佳官网来源文件,最佳官网专业名称,最佳官网计划数,最佳官网专业组,最佳官网专业代号,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,保真处理状态,保真说明,仍需核验,可进入最终专业列表,可进入下一阶段
ADM-91de7c8a8e157768,逐专业招生明细,true,false,17,B0-历史候选和组号问题优先核页,历史候选,A032,北京语言大学,A03208,1,29,信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）,不限,4,10万,,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-5e987b2d26ddf183,逐专业招生明细,false,true,208；209,B0-历史候选和组号问题优先核页,历史候选,K151,成都理工大学,K15123,,,,,,,,0明细组,暂不可判断-无专业明细,不可判断-无专业明细,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,占位行-不是真实招生明细,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-7ede4e8dcc84293a,逐专业招生明细,true,false,212,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17801,1,01,医学检验技术（色盲、色弱及单眼失明考生不予录取；办学地点：新都校区）,,,6670,,体检或色觉限制；医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-f69f399974a350bc,逐专业招生明细,true,false,212,B0-历史候选和组号问题优先核页,历史候选,K178,成都医学院,K17802,1,02,药学（色真、色弱及单眼失明考生不予录取；办学地点：新都校区）K179成都师范学院（公办）（四川）,,8,6670,师范类相关,体检或色觉限制；医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,charter_or_rules_only_no_plan,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,仅章程规则线索-无结构化计划证据,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-0c47198fd5777523,逐专业招生明细,true,false,212,B0-历史候选和组号问题优先核页,历史候选,K179,成都师范学院,K17903,1,03,食品质量与安全,［化学,2,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-11490c0df5800848,逐专业招生明细,true,false,223,B0-历史候选和组号问题优先核页,历史候选,K465,西安建筑科技大学,K46505,1,18,工程管理（中外合作办学）（双学位；办,不限,4,70000,,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-eaccae5e0e563488,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K485,西安财经大学,K48504,1,15,金融学（中外合作办学）（仅招收有此志愿考生：办学地点：长安校区）K486 西安邮电大学（公办）（陕西）,不限,,6,,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xaufe-2026-hubei-physics-normal.json,金融学(中外合作办学),6,,,,,contains_after_normalization,85,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-27c55b1d3f16ac64,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48703,1,04,计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良,,,50000,计算机类相关,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e2eb80e9789128f2,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,1,05,机械设计制造及其自动化（中外合作办学〉（属于高收费项目；办学地点：阎,,,［50000,,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-006ec4f5dd2d13db,逐专业招生明细,true,false,226,B0-历史候选和组号问题优先核页,历史候选,K487,西安航空学院,K48704,2,06,直动化（中外合作办学）（属于高收费项自：办学地点：阎良校区）K488 西安医学院（公办）（陕西）,,,50000,,中外合作或高收费；医学/护理等排除方向,默认不能接受-医学护理等排除方向,若服从调剂可能形成不能接受风险,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
