学校/专业组,城市,年份覆盖,2023最低分,2024最低分,2025最低分,风险初判,保留/排除理由,备注,复核状态
武汉商学院 C15007 第07组,武汉,2023/2025,490,,482,保/稳观察,公办倾向且武汉；2025低于2025等位分494，2023接近2023等位分481，可作为低位讨论项,2024同代码未命中；2023选科化、2025选科不限，需核2026组内专业和选科,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉商学院 C15006 第06组,武汉,2023/2025,485,,498,稳观察,公办倾向且武汉；两次命中都围绕等位分，适合进入主讨论池,2024同代码未命中；2025选科化，需核是否仍为普通本科组,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉商学院 C15003 第03组,武汉,2023/2024/2025,501,512,500,稳偏冲,公办倾向且武汉；三年覆盖完整，2025接近等位分上沿,2024明显高于等位分，不能当保底；需核组内是否有不可接受专业,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉商学院 C15005 第05组,武汉,2023/2024/2025,509,517,507,小冲,公办倾向且武汉；三年覆盖完整，2025较等位分高约13分但仍可讨论,2024和2025均偏高，适合冲稳之间而非保底；2024 req 有厅化 OCR 噪声,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉商学院 C15004 第04组,武汉,2023/2024/2025,517,494,513,波动冲,公办倾向且武汉；2024贴近等位分，2025仍在可讨论上界,三年波动大且选科从不限/招不限到化，需重点核2026组别是否延续,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉轻工大学 C12508 第08组,武汉,2023/2024/2025,506,529,498,稳偏冲/高波动,公办倾向且武汉；2025低于主讨论上界，学校属性和城市匹配,2024分数显著偏高，2025 req 解析为个限疑似 OCR；不能作为保底，先作为组别变化观察项,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉体育学院 C10703 第03组,武汉,2023/2024/2025,506,521,500,稳偏冲/高波动,公办倾向且武汉；2025接近等位分，可讨论普通专业组可能性,体育类院校专业匹配度需单独看；2024偏高，不能直接当稳项,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉体育学院 C10702 第02组,武汉,2023/2025,511,,507,小冲,公办倾向且武汉；2025较等位分高约13分，可作为武汉公办补充项,2024同代码未命中；专业方向可能与数字媒体/师范/计算机起点不完全一致,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
武汉体育学院 C10704 第04组,武汉,2023/2025,509,,510,冲,公办倾向且武汉；两年分数都在冲档讨论区,2025 row 出现 T7 OCR 噪声；需核专业组性质和组内专业,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
西安航空学院 K48703 第03组,西安,2024/2025,,515,497,稳偏冲/降分需核,公办倾向且西安；2025接近等位分，城市和普通本科属性匹配,2024为515、2025降至497，需核是否组别/专业组成变化，不宜直接当稳保,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
西安航空学院 K48704 第04组,西安,2025,,,506,小冲/单年观察,公办倾向且西安；2025在可讨论区间，补充西安公办选项,只有2025同代码命中，缺少趋势；需核2026计划和专业组构成,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
西安医学院 K48805 第05组,西安,2023/2024/2025,539,534,496,主方案排除/历史样本,2025分数贴近等位分，但家庭已明确不学医，不进入主方案,2024备注为护理类且2023/2024显著高，2025低分可能来自组别变化；仅作历史风险样本,excluded_medical; needs_original_row_verification
西安医学院 K48804 第04组,西安,2023/2024/2025,558,564,507,主方案排除/历史样本,2025进入可讨论上界，但家庭已明确不学医，不进入主方案,2023/2024极高、2025明显下探，强烈提示组别/专业变化；仅作历史风险样本,excluded_medical; needs_original_row_verification
成都医学院 K17802 第02组,成都,2023/2024/2025,514,517,512,主方案排除/历史样本,成都公办且三年覆盖完整，但家庭已明确不学医，不进入主方案,2025较等位分高约18分；仅作医学/体检/调剂风险样本,excluded_medical; needs_original_row_verification
成都医学院 K17801 第01组,成都,2023/2024/2025,514,521,514,主方案排除/OCR待核,成都公办但家庭已明确不学医，不进入主方案,2025解析代码为 KI7801，疑似 K17801 OCR 误识；仅作历史风险样本,excluded_medical; needs_original_row_verification
成都师范学院 K17903 第03组,成都,2023/2024/2025,522,536,516,高冲观察,公办倾向且成都；师范方向与家庭初始专业方向匹配,三年都高于等位分且2024很高，只能作为高冲观察；需核是否有可接受师范/非师范专业,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
成都理工大学 K15123 第23组,成都,2025,,,503,小冲/单年观察,公办倾向且成都；2025分数处于可讨论区，学校和城市吸引力较强,仅2025命中且 req 为地；需核是否普通组、组内专业是否可接受，不能凭校名直接入表,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
西安建筑科技大学 K46505 第05组,西安,2023/2024/2025,561,545,505,高波动观察,公办倾向且西安；2025分数进入小冲区，学校和城市可讨论,2023/2024远高于当前等位，2025可能是低位新组或专业组成变化；不作稳项,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
西安财经大学 K48504 第04组,西安,2024/2025,,552,515,高冲观察,公办倾向且西安；2025在冲档上界，学校/城市可讨论,2024同代码很高，2025变化需核组别和专业；不作主力稳项,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
北京语言大学 A03208 第08组,北京,2024/2025,,581,516,高冲观察,公办倾向且北京；北京偏好城市，2025低位出现可作为观察,2024同代码很高且选科为政，2025为不限；波动极大，非主方案主力,needs_2026_plan_verification; needs_original_row_verification; needs_major_group_verification
