扩展预算场景专业ID,专业组出现ID,场景判断,费用判断,中外合作或高收费线索,是否医学相关待确认,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,人工核验优先级,人工核验强度,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID
COOPMAJOR-09e08ec1a6444a5c,G-8167189bef4db0a8,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,C139,荆楚理工学院,C13909,1,51,数字媒体技术（中外合作办学）,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,化学,100,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-10,-12,80,left,M-9972ec03f5ca7339
COOPMAJOR-c6eb4f6e05f0c595,G-d8cebd66291e9cdb,预算内中外合作/高收费可讨论,预算内,学费候选 25500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,C206,汉口学院,C20603,8,33,数字媒体技术（大一就读京山教学改革基地，大二起就读武汉校区）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,26,25500,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-47,-61,84,left,M-1685834ed88fbfa2
COOPMAJOR-9d600c835871c127,G-ad0932ab0f68b883,预算内中外合作/高收费可讨论,预算内,学费候选 22800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,C228,武汉纺织大学外经贸学院,C22804,7,30,数字媒体技术,数字媒体技术,武汉,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,58,22800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-60,-68,89,right,M-fe88a8e11c838ab7
COOPMAJOR-b993175d6fd2610c,G-9d231dbef863bf66,预算内中外合作/高收费可讨论,预算内,学费候选 23000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F143,天津理工大学中环信息学院,F14302,7,10,数字媒体技术F144北京科技大学天 学院（独立）（天津）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,23,23000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H2-历史最高线不高于等位分,-10,-21,97,right,M-6e080440bc14b818
COOPMAJOR-264176c61981f7fb,G-d76f819bb9631446,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F547,大连东软信息学院,F54703,4,08,数字媒体技术（办学地点：软件园校F579 延边大学（公办）（吉林）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,28000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-55,-68,118,left,M-de219f80a9de3f3f
COOPMAJOR-763b3c630723277b,G-4279f3b0fc37f9db,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65203,3,09,数字媒体技术（办学地点：奢岭校区）F683 黑龙江大学（公办）（黑龙江）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,45,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-66,-66,123,right,M-863f3119888e7f84
COOPMAJOR-dd34b0e522c2e230,G-94e796ec3dad5d5f,预算内中外合作/高收费可讨论,预算内,学费候选 23800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74302,6,06,数字媒体技术F747 哈尔滨华德学院（民办）（黑龙江）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,23800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,128,left,M-584c19eff1139cdc
COOPMAJOR-de55ae1c39fb030b,G-f8638bc254ef69ef,预算内中外合作/高收费可讨论,预算内,学费候选 42000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F831,上海建桥学院,F83103,8,17,数字媒体技术,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,「化学,,42000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-32,-65,130,right,M-ddce2330827a961c
COOPMAJOR-2a0b30b7daec590c,G-6e342f68631db266,预算内中外合作/高收费可讨论,预算内,学费候选 42500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F909,广西财经学院,F90907,1,16,数字媒体技术（中外合作办学）（中英合作办学，实行“4+0”办学模式.学生四年均在我校就读，符合双方学校毕业条件和学位授予条件的，可获得中方院校毕业证、学士学位证和外方院校学士学位证，学费最终收费标准以广西壮族自治区发展和改革委员会、财政厅、...,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,42500,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,198,left,M-0aaedc50f9ccb87e
COOPMAJOR-1543af0a44bc08c6,G-06c3129622edc9e0,预算内中外合作/高收费可讨论,预算内,学费候选 28800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H026,浙江传媒学院,H02609,1,40,数字媒体技术（中外合作办学）（只招收明确填报有该专业志愿的考生；办学地点：杭州钱塘校区）H030浙大城市学院（公办）（浙江）,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,3,28800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,141,right,M-80a18bdb0d63f02d
