第四轮候选ID,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4GROUP-6e8e47f9c2b8fdf1,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,教育部,,A093,上海交通大学,A09304,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 192 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；673-481=+192；677-497=+180；682-494=+188；历史最高等位分差=192。,515,91723,494,497,481,682,682-494=+188,677,677-497=+180,673,673-481=+192,3,2023；2024；2025,673-682,673-481=+192；677-497=+180；682-494=+188,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,17,0,7,7,4,6,0,1,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.05 人工智能（拔尖英才试点班）[M-dfbca03e3c1cb9e3]；2.06 具身智能（拔尖英才试点班）[M-f67b4118e9fdf817]；3.07 电子信息类 （IEEE 试点班，含双学士学位项目：计算机科学与技术、億息工程、信息安全、自动化：貪电子信息类（IEEE 试点班）-数学与应用数学双学士学位项目）[M-eb8fff979905629f]；4.08 电子信息类（集成电路英才班：微电子科学与工程、电子科学与技术、信息工程）[M-d8f2fc26fb7a0c05]；5.09 电气工程及其自动化（思源试点班）[M-3cb268bf22c6d129]；6.10 机械类（钱学森工程科学试点班，含双学士学位项目：机械工程、能源与动力工程：含机械动力类-数学与应用数学双学士学位项目，能源与动力工程-化学双学士学位项目）[M-17bd64e12f907f4b]；7.11 机器人工程（智能系统拔尖班）[M-7b13973781d8f6b9]；8.12 船舶与海洋工程（双学士学位班：船舶与海洋工程-数学与应用数学双学士学位班）[M-e606171106aa1a06]；9.13 材料科学与工程（徐祖耀荣誉班，含材料科学与工程-应用物理学双学士学GKA◎Z阮校代号位项目）[M-311d24473d15570f]；10.14 生物科学类（含双学士学位项目；生物技术、生物工程：仅录取有专业志愿的考生，含生物技术-人工智能双学士学[M-96728b689aa0471f]；11.15 经济管理试验班（含双学士学位项目；经济学、金融学、金计学、工商管理、人力资源管理、大数据管理与应用（大数据和商务管理）：含经济学-数学与应用数学双学士学位项目）[M-d2a1605eedb0947e]；12.16 金融学（金融学、计算机双学击学位项目：含金融学-计算机科学与技术双学士学位项目）[M-7333b582310bd138]；13.18 工科试验班类（溥渊未来技术学院，健康左向：健康科学与技术：仅录取有专业志愿的考生）[M-aa2d3b7327971591]；14.19 工科试验班类（信息类；计算机科学与技术、信息安全、软件工程、微电子科学与工程、信息工程、电子科学与技术、自动化、智能感知工程、电气工程及其自动化）[M-84af4680f0aad94c]；15.20 工科试验班类（机电类：机械类：航空航天工程、智慧能源工程、可持能源：含机械动力类-数学与应用数学双学士学位项目、能源与动力工程-化学双学士学位项目）[M-1a2656658ee13898]；16.21 理科试验班类（数学方向：数学与应用数学、统计学：含数学与应用数学-人工智能双学士学位项目）[M-047edaa19daa0397]；17.22 理科试验班类（物理方向：物理学、天文学：含物理学-电子科学与技术双学[M-9b75f40d3a082e9f],,27,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,50.0,G-b9de1d603ce7359e,STABLEGROUP-96c5e8aab3d8f253
R4GROUP-d9c5f56342df7823,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,教育部,,A095,华东理工大学,A09503,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 141 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；622-481=+141；615-497=+118；历史最高等位分差=141。,515,91723,494,497,481,,,615,615-497=+118,622,622-481=+141,2,2023；2024,615-622,622-481=+141；615-497=+118,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,20,0,4,4,4,2,0,0,1,0,0,0,0,0,0,13,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.04 工科试验班（智能与机疑人：人工智能；机器人程；不招色盲者；办学地点：奉贤校区和徐汇校区）[M-9cdf974684aa96bf]；2.05 电子信息类（自动化：电气工程及其自动化；信恳工程；不招色盲者；办学地点：奉贤校区和徐汇校区）[M-b1df59d829b0f48c]；3.06 计算机类（计算机科学与技术：软件工程；不招不能准确在显示器上识别红、黄、绿、蓝、紫各颜色中任何一种剪字母者；办学地点：奉贤权区和徐汇校区）[M-4e4501149a429459]；4.07 计算机科学与技术（双学士学位项目；计算机科学与技术和金融学双学士学位项目，不招不能准确在显不器上设别红、黄、绿、蓝、紫各颜色中任何一种颜色的数码、子母者：办学地点：奉贤校区和徐汇校区）[M-23e1a7f48ea211be]；5.08 机械类（机撼賀能化实验班：智熊制造工程：过程装备与控制工程；机械设计制造及其自动化；不招色盲者；办学地点：奉贤校区和徐汇校区）[M-7a3c82b0c8201a22]；6.09 数学类（数学与应用数学：信息与计算科学：办学地点：奉贤校区和徐汇校◎K◎ZGA院校专业组及专业代号区）[M-bed6e853292d7dfe]；7.10 物理学类（应用物理学；光电信息科学点程：不招色盲者；办学地点：奉贤校区和徐汇校区）[M-105d0fa6a2a0b3a3]；8.11 数据管理与应用（办学地点：奉贤校区和徐汇校区）[M-3dbf36e85ebb086d]；9.12 工科试验班（生物医药：生物工程：制药工程：不招色弱、色盲、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-ec797ed240d726b1]；10.13 工科试验班（智慧化工：化学工程与工苔：迪气储运工程；资源循环科学与工程：轻化工程：大类分流前学费标准为分流后按具体专业学7000元/学年类标准收变：不招色弱、色盲、噢觉退钝者；办学地点：奉贤校区和徐汇校[M-c660f7289b24cfb9]；11.14 工科试验班（能源与环境；能源与动力工程；储能科学与工程；环境工程；不招色弱、色盲、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-c2d5cf95f56b48f9]；12.15 化学（教育部拔尖基地班；不招色弱、色盲、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-4409e84fb531d20e]；13.16 化学类（新工科化学实验班：应用化学：精细化工（光电信息材料方向）；不招色弱、色真、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-a8957d59cc0d35ef]；14.17 化学类（智创化学实验班；化学：材料化学（绿色与能源催化方向）；不招色期。色真、噢觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-38a1782b684c74b9]；15.18 生物工程类（生物工程：生物科学：生物技术：食品科学与工程；食品质量与安金：不招色弱、色育、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-9f87136fcd6671ff]；16.19 制药工程（智能制药班；不招色弱、色真，嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-bd5d7843f86a96d9]；17.20 材料类（新材料实验班；电子信息材料：高分子材料与工程：无机非金属材料工程：复合材料与工程：新能源材料与器件：不招色弱、色真、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-9cb5c0d57362be3e]；18.21 化学工程与工艺（双学士学位项目；化学工程与工艺和工程管理双学士学位项目：不招色弱、色盲、嗅觉迟钝者办学地点：奉贤校区和徐汇校区）[M-547f3ef3bd5f49f5]；19.22 能源与动力工程（双学士学位项目；前源与动力工程和经济学双学士学位可貝；不招色弱、色真、噢觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-0b8c3d9b6d0c1c17]；20.23 材料化学（双学士学位项目；材料化学和人工智能双学士学位项目：不招色弱、色盲、嗅觉迟钝者；办学地点：奉贤校区和徐汇校区）[M-6f11707098ef6c40],奉贤校区和徐汇校区；奉贤权区和徐汇校区；奉贤校区,27,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,3.75,G-3227dc4e20ba606f,STABLEGROUP-f09fa79a09970a41
R4GROUP-2d0294abdd3ed553,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,上海市,教育部,,A097,东华大学,A09703,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 129 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；610-481=+129；605-497=+108；历史最高等位分差=129。,515,91723,494,497,481,,,605,605-497=+108,610,610-481=+129,2,2023；2024,605-610,610-481=+129；605-497=+108,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,11,0,3,3,4,3,0,1,2,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.09 管理科学与工程类（信息管理与信息系统；电子商务；供应链管理；其中信电子商务专息管理与信息系统专业、业授予工学学士学位；办学地点：延安路校区）[M-1d0ff47374804e7f]；2.10 计算机类（软件工程；计算机科学与技术：办学地点：松江校区）工人工智能（专业选修方向分为：智能计覓亮院校专李业组及专业代号算点知迟工程、智能感知与机器人：办学地点：松江校区）[M-e03817730ff9c056]；3.12 电子信息类（电气工程及其自动化：自动化：通信工程：办学地点：松江校区）[M-4cd275d62921b6b0]；4.13 物理学类（集成电路与新能源：应用物理学（集成电路与新能源）：光电信息科学与工程：办学地点：松江校区）[M-b1a995f4f3472bac]；5.14 集成电路设计与集成系统（办学地点：松江校区）[M-1269ad08e0419a67]；6.15 数学类（智能科学方向：数学与应用数学：统计学（金融统计与风险管理）；办学地点：松江校区）[M-df8cebc4b8e7573f]；7.16 智能制造工程（办学地点：松江校区）[M-a12f62bf77d4724d]；8.17 工业设计（办学地点：松江校区）[M-527fb4a84acb1a5f]；9.19 环境科学与工程类（环境方向：环境工程（卓越班）：环境科学（智能与资源循环）：办学地点：松江校区）[M-6f30a111c83a9f1f]；10.20 环境科学与工程类（新能源与储能技术方向；建筑环境与能源应用工程：能源与环境系统工程；办学地点：松江校[M-fb2b9f769f1b3bf3]；11.21 理科试验班（钱宝钧糯英班：人工智能：软件工程：计算机科学与技术；电工程及其自动化；自动化：通信工程；能源与环境系统工程；机械工程循息管理与信息系统；乘成电路设计与集成系统；数学与应用数学等专业高起点，强基础，大一结束后面向全校理工科专业优先...[M-276353eea6b32802],延安路校区；松江校区,28,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,1.75,G-83e80589234dd1a8,STABLEGROUP-a62ab311cefda774
R4GROUP-2d0b674ac5924898,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,上海市,,F781,上海应用技术大学,F78104,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 74 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；571-497=+74；560-494=+66；历史最高等位分差=74。,515,91723,494,497,481,560,560-494=+66,571,571-497=+74,,,2,2024；2025,560-571,571-497=+74；560-494=+66,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,8,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.04 材料科学与工程（享越工程师计划试点班；办学地点：奉贤区海泉路100[M-3270383208f54b7d]；2.05 复合材料与工程（办学地点：奉贤区海泉路100号）[M-fcdfbfa2d1340909]；3.06 机械设计制造及其自动化（卓越工程师计划试点班；办学地点：奉贤区海泉[M-9b31921cdd1e36a8]；4.07 智能制造工程（办学地点：奉贤区海泉路100号）08（电子信息工程（办学地点：奉贤区海泉路100号）[M-809e20a83c948ddf]；5.09 软件工程（卓越工程师计划试点班；办学地点：奉贤区海泉路 100号）[M-52a252000cf22c77]；6.10 人工智能（办学地点：奉贤区海泉路100号）卫安全工程（办学地点：奉贤区海泉路100号）[M-2c839236df978858]；7.12 香料香精技术与工程（办学地点：奉贤区海泉路100号）[M-c2262947a8ec089a]；8.13 化妆品技术与工程（办学地点：奉贤区海泉路100号）F782 上海健康医学院（公办）（上海）[M-cd2f086fa98c5285],,128,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-3.5,G-cca2d67576f18710,STABLEGROUP-853febf5d1c4ab74
R4GROUP-a398f039024f50e1,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F791,上海大学,F79103,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 122 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；603-481=+122；591-497=+94；609-494=+115；历史最高等位分差=122。,515,91723,494,497,481,609,609-494=+115,591,591-497=+94,603,603-481=+122,3,2023；2024；2025,591-609,603-481=+122；591-497=+94；609-494=+115,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,1,2,2,3,1,0,0,0,0,0,0,0,0,0,1,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.03 理科试验班（钱伟长学院；理论与应用盗学：材料设计科学与工程：微电子科学与工程：由钱伟长学院（国家试点学院和学校拔尖创新人才培养基地）培养.按类招生，原则上第一学年内进行李业分流，不招色盲考生；办学地点：宝山校区）程：微电子科学与工程；电子科...[M-b2a6cc8fd2993fe9]；2.05 电子信息类（电子信息工程；通信工程：光电信息科学与工程：数据科学与天教据技术：人工智能；许算机科学与技术：驾能科学与技术：网络空间安全：数字媒体技术；该类聚焦人工智能GA◎KAoZ院校代号与新一代电子信息领域，按类招生，愿则上第一学年内进行...[M-1350436bb06063ce]；3.06 电子信息类（未来技术学院：机械电子上樓：人工智能：机器人工程：由未来技术学院实施“未来智能无入系统领“.按类招生，原则上第一学年肉进行专业分流.不招色盲考生；办学地点：宝山校区）[M-54a53860c373cf60],宝山校区,129,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-7.5,G-77fd8016210886fc,STABLEGROUP-14fae9a13cc6d249
R4GROUP-4b6a87d62787612c,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,上海市,上海市,,F780,上海电力大学,F78001,01,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 105 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；581-481=+100；580-497=+83；599-494=+105；历史最高等位分差=105。,515,91723,494,497,481,599,599-494=+105,580,580-497=+83,581,581-481=+100,3,2023；2024；2025,580-599,581-481=+100；580-497=+83；599-494=+105,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,8,0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.01 能源与动力工程（办学地点：临港校[M-a3c2bc00a7933b3f]；2.02 机械设计制造及其自动化（办学地点：临港校区）[M-413ea52bfed914d9]；3.03 化学工程与工艺（不招色弱、色盲考生；办学地点：临港校区）[M-add7850c02542b22]；4.04 电气工程及其自动化（办学地点：临港校区）[M-613d82db2e49e60d]；5.05 自动化（办学地点：临港校区）[M-db43f72bae3c1763]；6.06 计算机科学与技术（办学地点：临港校[M-807fed804d6a0885]；7.07 电子信息工程（办学地点：临港校区）[M-96ca6624fcafc713]；8.08 数据科学与大数据技术（办学地点：临港校区）[M-9bf5beb1101f44fc],临港校区,128,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-15.25,G-c1600121ff6473d6,STABLEGROUP-87ae3e438a9cf2a1
R4GROUP-f88b6e51e1bfe184,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,上海市,上海市,,F798,上海商学院,F79803,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 56 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；537-481=+56；543-497=+46；533-494=+39；历史最高等位分差=56。,515,91723,494,497,481,533,533-494=+39,543,543-497=+46,537,537-481=+56,3,2023；2024；2025,533-543,537-481=+56；543-497=+46；533-494=+39,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,暂不判断-组内存在学费字段待核,主线机器门禁通过，仍需完整专业组人工核验。,1.05 大数据管理与应用（办学地点：奉浦校[M-8ecdef9048a60844]；2.06 市场营销（办学地点：奉浦校区）[M-9f5b9ec1803ecb57]；3.07 零售业管理（办学地点：奉浦校区）[M-ae0871381adf3026]；4.08 旅游管理（办学地点：奉浦校区）[M-3f26986315642297],奉浦校区,130,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-16.0,G-b201b953744c50dc,STABLEGROUP-36680975e827d22b
R4GROUP-627d9f0133f580c9,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,上海市,上海市,,F779,上海海事大学,F77904,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 106 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；587-481=+106；568-497=+71；573-494=+79；历史最高等位分差=106。,515,91723,494,497,481,573,573-494=+79,568,568-497=+71,587,587-481=+106,3,2023；2024；2025,568-587,587-481=+106；568-497=+71；573-494=+79,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 安全工程（办学地点：临港校区）[M-ce6f6baba69496b1]；2.07 机械电子工程（办学地点：临港校区）[M-c652e8d3cd001c4c]；3.08 电气工程及其自动化（办学地点：临港校区）[M-6814dc34390b2cfa]；4.09 自动化（办学地点：临港校区）[M-a0f8d00744381e01]；5.10 测控技术与仪器（办学地点：临港校二1工业设计（办学地点：临港校区）[M-be76ac897dd24550]；6.12 船舶与海洋工程（办学地点：临港校[M-589ce9c3d23d2e13]；7.13 港口航道与海岸工程（办学地点：临港[M-11f389a6b99b3077],临港校区,128,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-21.5,G-e4822dcf8cb00660,STABLEGROUP-64e6625a1c73dfdc
R4GROUP-55c7a9db4555516a,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,上海市,,F778,上海理工大学,F77804,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 101 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；582-481=+101；590-497=+93；585-494=+91；历史最高等位分差=101。,515,91723,494,497,481,585,585-494=+91,590,590-497=+93,582,582-481=+101,3,2023；2024；2025,582-590,582-481=+101；590-497=+93；585-494=+91,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.04 软件工程[M-ac33b7b210c02bd9],,187,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-23.25,G-21f9acb813df08cc,STABLEGROUP-60ae6a5e88fca0d7
R4GROUP-6826fbcf19f965e9,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,高冲暂缓索引,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,教育部,,A101,上海外国语大学,A10105,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 111 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；592-481=+111；593-497=+96；597-494=+103；历史最高等位分差=111。,515,91723,494,497,481,597,597-494=+103,593,593-497=+96,592,592-481=+111,3,2023；2024；2025,592-597,592-481=+111；593-497=+96；597-494=+103,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.09 法学[M-dd287cc9ec99f967]；2.10 管理科学与工程类（卓越管理人才计划：信息管理与信息系统（数据智能与商务分析）：大数据管理与应用（数智金融与量化投资））[M-2c73bdabacdb978f],,29,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,-25.75,G-8480c5b0be428db0,STABLEGROUP-8151efc8fd90a431
