院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,是否超预算机器初判,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,是否可低风险抽检,是否可作为机器初筛线索,PDF原页核验状态,湖北官方系统核验状态,高校官网来源状态,高校官网证据匹配状态,历史线索分层,同代码命中年份数,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID,机器核验下一步,人工核验下一步,不得进入原因,下一步
K753,喀什大学,K75307,1,20,物理学（师范类；需满足数学单科成绩≥60分：办学地点：新泉校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,语种或单科限制,false,化学,2,4500,0,,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,unmatched,H3-历史最高线高于等位分15分内,3,2,-15,235,left,M-595730f0e99ec09a,G-773111c0b1e7a465,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
F778,上海理工大学,F77804,1,04,软件工程,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,［化学,8,5710,0,,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,101,91,187,right,M-ac33b7b210c02bd9,G-21f9acb813df08cc,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
F014,首都经济贸易大学,F01403,1,04,人工智能（办学地点：莲都校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,［化学,2,5500,0,,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,105,71,139,right,M-979a4b74ecd9e4ef,G-d867021be355fa70,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
K753,喀什大学,K75306,1,12,华学（师范类；色弱、色真或不熊准碩识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形者不子录取：办学地点：新泉校区）鲁中任何一种颜色的导线、按键、号灯、几何图形者不予录取：办学地点：新泉校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,体检或色觉限制,false,化学,2,4500,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H2-历史最高线不高于等位分,2,-14,-20,235,left,M-d21e6ded6247702d,G-158ea5b57e02cfd3,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
C139,荆楚理工学院,C13911,1,53,智能科学与技术（面向荆门）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,10,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,1,-2,-2,80,left,M-f339fc1e3460b431,G-55fc9f1f7dc2b7d3,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C139,荆楚理工学院,C13908,1,40,数学与应用数学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,41,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,3,0,-12,80,left,M-1e595b9d61ccb677,G-878c4f8ce339e4d2,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C138,湖北理工学院,C13810,5,53,人工智能（创新实验班）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,23,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H3-历史最高线高于等位分15分内,3,2,-10,79,right,M-74b36f7c71439bba,G-a289e7d54bd0da07,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
H775,韶关学院,H77505,1,05,数字媒体技术（办学地点：韶乐园校,数字媒体技术,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,10,5710,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,needs_official_plan_source_search,no_school_source,H3-历史最高线高于等位分15分内,3,3,-10,187,right,M-4b0cc9d74eef3c59,G-aed32fc724b7746b,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
C138,湖北理工学院,C13813,4,65,网络工程,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,生物,34,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H3-历史最高线高于等位分15分内,3,7,-8,79,right,M-ebfadfbc09ed373f,G-09d01ff8dec8280c,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
A197,西北民族大学,A19715,1,20,教育技术学（办学地点：榆中校区）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,2,5170,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_reusable_2026_hubei_plan_source,,H4-历史最高线高于等位分16-30分,3,30,14,57,left,M-17b3bec3faaf716b,G-c83275589478fe59,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
