第三轮候选ID,第三轮池,第三轮层级,第三轮建议梯度,专业角色判断,第三轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R3GROUP-041a6a04c2850001,低优先级专项,T1-医技康复低优先级了解,保底观察,专项了解-医技护理康复,医技护理康复,false,K257,贵州医科大学,K25707,1,12,康复治疗学（色弱、色真、单色不能识别，该专业不予录取.第1、2年学费为4200元/年，第3、4年将前往澳大利亚麦考瑞大学就读，学费约49300澳元/年.后两年为全英文教学，请非英GK,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向；学费超过当前上限,,,4200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H1-历史最高线低于等位分20分以上,-45,-45,215,left,M-7e4ac1db173b5c2c,G-e80334e8efb1a0a5
R3GROUP-041a6a04c2850001,低优先级专项,T1-医技康复低优先级了解,保底观察,字段缺口待核,,false,K257,贵州医科大学,K25707,2,A0,ZA院校专业维及业代号唔语种考生谨镇填报该专业.英语单科成绩不低于英语单科满分的60%，请仔细阅读我校招生章程后谨慎报；办学地点：云漫湖校区）K258 遵义医科大学（公办）（贵州）,,暂缓判断-特殊限制待核,语种或单科限制,,,,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H1-历史最高线低于等位分20分以上,-45,-45,215,right,M-ac990cbd0e78ef0c,G-e80334e8efb1a0a5
R3GROUP-2177a293a4211e2f,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,F687,佳木斯大学,F68703,1,03,康复治疗学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,3,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,6,4,125,left,M-6b89b2f60b46b167,G-e78a6729a9fc420d
R3GROUP-259d109bec8dcbf2,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,H124,安徽中医药大学,H12408,1,17,医学检验技术（不招色觉异常（含色頂、色弱）考生；办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,化学,,5500,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-37c92f02b89422b6,G-1ffbcb293469d779
R3GROUP-259d109bec8dcbf2,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,H124,安徽中医药大学,H12408,2,18,医学影像技术（不招色觉异常（含色頂、色弱）考生；办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-91e95ec1a202685b,G-1ffbcb293469d779
R3GROUP-259d109bec8dcbf2,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,H124,安徽中医药大学,H12408,3,19,健康与医疗保障（不招色觉异常（含魚盲、色弱）考生：办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-0c7059c4d275262c,G-1ffbcb293469d779
R3GROUP-2dfd76745c5f86e2,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,H380,南昌医学院,H38002,1,02,医学检验技术（象湖校区；不招色弱、色盲、单色识别不全的考生）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,4350,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,26,162,right,M-7d4b9cb8d65922f0,G-1c68774244a41b9e
R3GROUP-2dfd76745c5f86e2,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,H380,南昌医学院,H38002,2,03,医学影像技术（象湖校区：不招色弱、色盲、单色识别不全的考生）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,4350,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,26,162,right,M-4082635a0a2fabe6,G-1c68774244a41b9e
R3GROUP-2f199736cc93d516,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,F600,长春大学,F60014,1,22,康复治疗学（办学地点：卫星校区）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,［化学,,2,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,30,30,122,right,M-43a4fa07dff96d46,G-0faeb103782c1f4b
R3GROUP-391fb47a2d94e63a,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,F206,河北中医药大学,F20605,1,09,康复治疗学（色盲、色弱不予录取）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,23,12,104,left,M-a093c68ae690f106,G-0474563a19e8fc20
R3GROUP-3ec35cc61570a18d,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F390,内蒙古民族大学,F39004,1,04,医学检验技术,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,3,5000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-6,-19,112,left,M-9d59fd2363c93202,G-7cf419d39864bdac
R3GROUP-44841d7def220ff8,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,K471,延安大学,K47105,1,16,医学影像学（办学地点：杨家岭校区；学制：五年）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,,2,再选科目；学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,225,left,M-64db5523a400463d,G-5694ccfb8b0aa526
R3GROUP-44841d7def220ff8,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,K471,延安大学,K47105,2,17,医学检验技术（办学地点：杨家岭校K472 陕西理工大学（公办）（陕西）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,,2,再选科目；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,225,left,M-5be3e06437e1b42d,G-5694ccfb8b0aa526
R3GROUP-464e7cf589a93bb3,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,H427,山东中医药大学,H42706,1,21,康复治疗学（中外合作办学）（与德国比勒费尔德中等企业应用技术大学合作，采用”4+0”培养模式，四年均山东中医药大学学习，部分课程采用名语教学，康复治疗学专业不招色盲、色弱考生；办学地点：长清校区）H428 济宁医学院（公办）（山东）,,默认不能接受-医学护理等排除方向,体检或色觉限制；中外合作或高收费；医学/护理等排除方向,化学,,50000,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,12,12,166,right,M-54c2e8001a91459c,G-c9c9d4a7138902b0
R3GROUP-48ee3344305eccbb,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,C115,湖北医药学院,C11509,1,34,康复治疗学（中外合作办学）C116湖北科技学院（公办）（湖北）,,默认不能接受-医学护理等排除方向,中外合作或高收费；医学/护理等排除方向,化学,45,［35000,1,学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,72,left,M-99e4015f9d06e7d4,G-c39a024a94b578a7
R3GROUP-547c6b2350258cac,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,K470,陕西中医药大学,K47002,1,02,中医康复学（学制：五年）【47003 陕西中医药大学第 03组,,默认不能接受-医学护理等排除方向,医学/护理等排除方向；学费超过当前上限,不限,,6500,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,24,24,224,right,M-97a357510c288989,G-9860ad98474f6877
R3GROUP-547c6b2350258cac,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,K470,陕西中医药大学,K47002,2,03,床医学（学制：五年）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,［化学,,6500,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,24,24,224,right,M-1080ffd3a9ff4138,G-9860ad98474f6877
R3GROUP-88b2fa68a88525d9,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,K351,云南中医药大学,K35107,1,09,康复治疗学（色盲色弱不录；办学地,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,1,5500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,25,25,219,right,M-b396ea022e40ec5b,G-33d08e7fbab07702
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,1,15,材料科学与工程（办学地点：青义校,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-b64bd9b031e01f45,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,2,16,应用化学（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,4,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-4fc49105125ae88b,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,3,17,辐射防护与核安全（办学地点：青义校,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-f25ba8a57977cc90,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,4,18,核化工与核燃料工程（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-7a6a36e852eb1d0c,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,5,19,测绘工程（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-c45144d226f6dab7,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K152,西南科技大学,K15208,6,20,软件工程（办学地点：青义校区）,计算机类相关,优先了解-命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-1191ca5f16d7fd92,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K152,西南科技大学,K15208,7,21,信息安全（办学地点：青义校区）,计算机类相关,优先了解-命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-6f45c3cb141ad898,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,8,22,食品科学与工程（办学地点：青义校,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-11843ae76d60d47f,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,9,23,数学与应用数学（办学地点：青义校,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-294ffa043907e062,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,10,24,应用物理学（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-bcc129709ce80a8c,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,主线偏好-工科信息制造,电子信息网络,false,K152,西南科技大学,K15208,11,25,光电信息科学与工程（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,3,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-dc81796769a233bb,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,字段缺口待核,,false,K152,西南科技大学,K15208,12,26,土木工程（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-0afb2b46c1955133,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,K152,西南科技大学,K15208,13,27,电气工程及其自动化（办学地点：青义校区）,,待了解-未命中当前偏好方向,,,2,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-2e4944de364ad96f,G-5664b48e93bace95
R3GROUP-907d58afc1e9056a,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复,false,K152,西南科技大学,K15208,14,28,医学影像技术（办学地点：青义校区）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,6960,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,209,left,M-817c85307e887cb1,G-5664b48e93bace95
