第四轮候选ID,讨论集合,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R4GROUP-7edef04c45f70a85,主线可能够得着全集,南宁市,保底观察,T754,广西职业师范学院,T75403,2,06,应用电子技术教育（师范类；办学地T861 重庆工业职业技术大学（公办）（重庆）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,,4595,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H1-历史最高线低于等位分20分以上,-22,-22,239,left,M-76d7f7ab65bd3bb7,G-96da9142c54b636e
R4GROUP-3232e9b2030dcb84,主线可能够得着全集,牡丹江市,保底观察,F695,牡丹江师范学院,F69502,2,07,心理学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H1-历史最高线低于等位分20分以上,-20,-20,126,right,M-7f885eb38aecd8e0,G-53840bffed785bc1
R4GROUP-e72d23b91e8ff83d,主线可能够得着全集,楚雄彝族自治州,稳妥观察,K362,楚雄师范学院,K36203,1,05,数学与应用数学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,化学,,4,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-672d4ef9450e4096,G-3adf7959372a709c
R4GROUP-e72d23b91e8ff83d,主线可能够得着全集,楚雄彝族自治州,稳妥观察,K362,楚雄师范学院,K36203,2,06,化学（师范类：色觉异常及不能准确识别颜色者不予录取）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,体检或色觉限制,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-2221fd5bbd62adee,G-3adf7959372a709c
R4GROUP-e72d23b91e8ff83d,主线可能够得着全集,楚雄彝族自治州,稳妥观察,K362,楚雄师范学院,K36203,4,08,人工智能,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,,3,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-445e864efef6cd07,G-3adf7959372a709c
R4GROUP-93b5618b4b0cb1f0,主线可能够得着全集,咸宁市,稳妥观察,C116,湖北科技学院,C11613,1,65,物理学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,25,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-18,-18,72,right,M-d119b6248eff9065,G-14c1ff429c4dabd1
R4GROUP-93b5618b4b0cb1f0,主线可能够得着全集,咸宁市,稳妥观察,C116,湖北科技学院,C11613,2,66,化学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,22,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-18,-18,72,right,M-1cf8f532a3ef19d0,G-14c1ff429c4dabd1
R4GROUP-93b5618b4b0cb1f0,主线可能够得着全集,咸宁市,稳妥观察,C116,湖北科技学院,C11613,3,67,生物科学（师范炎）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,80,25,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-18,-18,72,right,M-e39e2e8e768cb1e6,G-14c1ff429c4dabd1
R4GROUP-93b5618b4b0cb1f0,主线可能够得着全集,咸宁市,稳妥观察,C116,湖北科技学院,C11613,4,68,数学与应用数学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,80,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-18,-18,72,right,M-797adf8310363549,G-14c1ff429c4dabd1
R4GROUP-38a7b5c65549d7d6,主线可能够得着全集,长春市,稳妥观察,F590,吉林工程技术师范学院,F59002,1,02,光电信息科学与工程（师范类；办学地F591长春师范大学（公办）（吉林）,师范类相关,师范类相关；电子信息网络,主线偏好-工科信息制造,优先了解-命中当前偏好方向,,,,5400,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-18,-20,121,right,M-b22c1939cc560c67,G-996f6b2910cfb881
R4GROUP-c5d70b6cc38f6c5e,主线可能够得着全集,秦皇岛市,稳妥观察,F208,河北环境工程学院,F20802,4,07,软件工程F209河北科技工程职业技术大学（公办）（河,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,24,5390,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-17,-17,104,left,M-06c828fa19a0bdbd,G-ed9ac8626d450ad1
R4GROUP-9dfd6e5b35efd5c9,主线可能够得着全集,新乡市,稳妥观察,H570,新乡学院,H57002,5,06,软件工程H571 信阳农林学院（公办）（河南）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,15,5000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-16,-16,176,right,M-e977f59ab39f5802,G-5cc3c5c77a8983e4
R4GROUP-2d40ce1951f2ff1c,主线可能够得着全集,贵阳市,稳妥观察,K259,贵州中医药大学,K25905,1,05,药物制剂（中外合作办学）（色真、色弱考生限报；办学地点：花溪区栋青路4K260贵州师范大学（公办）（贵州）,师范类相关,师范类相关,可了解-师范,默认不能接受-医学护理等排除方向,体检或色觉限制；中外合作或高收费；医学/护理等排除方向,,5,24000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-16,-16,215,right,M-464364e9cc87801f,G-c4e4805282af7d08
R4GROUP-044cc1c40799de23,主线可能够得着全集,鞍山市,稳妥观察,F485,鞍山师范学院,F48504,1,06,葵语（师范娄；外语语种：英语；办学地点：铁东校区）F486大连外国语大学（公办）（辽宁）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,语种或单科限制,,,4800,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-14,-14,116,right,M-de4b06591a9a74b3,G-5158311ba8f60f99
R4GROUP-aa92632a6ab55eee,主线可能够得着全集,天水市,稳妥观察,K578,天水师范大学,K57804,1,08,地理科学（师范类）K579河西学院（公办）（甘肃）化学,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,,,2,5600,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-14,-14,229,right,M-cc51dbc9a3191d44,G-99e77dac095dba38
R4GROUP-abc6b0c3be579ab0,主线可能够得着全集,秦皇岛市,稳妥观察,F200,河北科技师范学院,F20002,4,08,数据科学与大数据技术（在秦皇岛校区就读）F201 唐山学院（公办）（河北）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,,,5,4900,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-12,-13,103,right,M-27f14ebdf0689e15,G-42d45c1d1231f2a1
