个性化候选ID,候选主线,本轮分层,家庭讨论动作,是否进入本轮家庭讨论,是否可作为定稿依据,适配理由,关键风险,下一步核验动作,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,场景判断,场景内最低学费,场景内最高学费,预算内中外合作或高收费专业数,超过预算专业数,待核费用专业数,第19期页码,版面列,组内完整专业清单索引,专业组出现ID,来源表
PFITGROUP-58f32acb693392b6,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办工科，计算机/人工智能/自动化/机器人等方向集中，H2 历史线索贴近等位分。,组内 15 个专业，需确认汽车产业方向、校区和完整调剂范围。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,8,0,8,0,0,0,0,15,H2-历史最高线不高于等位分,3,-3,-5,,,,,,,77,left,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],G-c60fd32db2360718,round1普通主线
PFITGROUP-6f179d22260245c1,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办，计算机/物联网/智能科学/机器人与师范方向都有线索，H2。,组内含机械、材料、飞行器制造等，家庭必须判断能否接受。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C139,荆楚理工学院,C13908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,3,1,0,0,0,11,H2-历史最高线不高于等位分,3,0,-12,,,,,,,80,left,1.40 数学与应用数学（师范类）[M-1e595b9d61ccb677]；2.4 数据计算及应用[M-4a0671ade73427d3]；3.42 应用物理学[M-a941f1f48e8ffb11]；4.43 机械设计制造及其自动化[M-50205b490715b7ca]；5.44 材料成型及控制工程[M-8f50f2a644715dd7]；6.45 智能制造工程[M-cc9c89dee9f37ca3]；7.46 飞行器制造工程[M-433634f80bb2098a]；8.47 机器人工程[M-8f3f453dc737b2a7]；9.48 智能科学与技术[M-4cddd7554ed83233]；10.49 物联网工程[M-50dbc50b22ddfbd4]；11.50 计算机科学与技术[M-3ddd7a7cc394dafd],G-878c4f8ce339e4d2,round1普通主线
PFITGROUP-bb833c143e855c5d,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,命中数字媒体技术，同时有计算机与师范线索，H2。,城市和学校层级一般，需确认数字媒体专业确在该组且计划数无误。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F305,忻州师范学院,F30508,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,1,2,1,0,0,0,4,H2-历史最高线不高于等位分,2,-7,-10,,,,,,,109,left,1.15 应用化学[M-51215ebfd6e9c1fb]；2.16 数字媒体技术[M-6eb339aae881b3aa]；3.17 数据科学与大数据技术[M-68e8615d3ab753b9]；4.18 计算机科学与技术（师范类）[M-b11b9f49fcb51333],G-3ed22abc87c8dac2,round1普通主线
PFITGROUP-be5f10dc5815b069,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,电气、电子、自动化、机器人、计算机、软件、数据科学、人工智能方向较完整，H2。,组内专业多，土木/焊接/水利等非偏好方向需判断调剂接受度。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F597,长春工程学院,F59704,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,17,H2-历史最高线不高于等位分,2,-2,-25,,,,,,,122,left,1.06 电气工程及其自动化（办学地点：湖西校区）[M-e7fe36d5532b09d9]；2.07 电子信息工程（办学地点：湖西校区）[M-bd89c44dc46ddb80]；3.08 智能电网信息工程（办学地点：湖西校区）[M-7824ce19c5a3190d]；4.09 百动化（办学地点：湖西校区）[M-291b64b58ed16469]；5.10 土木工程（办学地点：湖西校区）[M-d7c4664e3badd902]；6.11 焊接技术与工程（办学地点：湖西校[M-df1c41a4675ca522]；7.12 机械设计制造及其自动化（办学地点：湖西校区）[M-c4c3adaee7930156]；8.13 机器人工程（办学地点：湖西校区）[M-533b08b51bfd50a9]；9.14 给排水科学与工程（办学地点：湖西校[M-530bbeaf6f1ca639]；10.15 水利水电工程（办学地点：湖西校区）[M-c12f2fc2a28858fa]；11.16 建筑电气与智能化（办学地点：湖西校[M-032756ac8d801ba4]；12.17 能源与动力工程（办学地点：湖西校[M-f3078007b0254728]；13.18 新能源科学与工程（办学地点：湖西校資高院校孝业組及专业代号[M-d6d704d3ef3a38fe]；14.19 计算机科学与技术（办学地点：湖东校[M-9b5ab4f214616c9e]；15.20 软件工程（办学地点：湖东校区）[M-2f0df625f2ec186f]；16.21 数据科学与大数据技术（办学地点：湖[M-e413ca5d93190a55]；17.22 入工智能（办学地点：湖东校区）[M-421c2a2b94ae1919],G-82c00bbc0942940e,round1普通主线
PFITGROUP-63bd0b954fb89dd2,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办，信息与计算、大数据、人工智能等方向贴近，H3 稳冲。,需核创新班、计划数、专业代号和近三年同组稳定性。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C138,湖北理工学院,C13810,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,4,0,0,0,0,5,H3-历史最高线高于等位分15分内,3,2,-10,,,,,,,79,right,1.49 信息与计算科学（大数据安全方向）[M-3233c336114a530e]；2.50 应用物理学（集成电路方向、光电信息科学方向）[M-81bcb2e3f9310b58]；3.51 数据科学与大数据技术[M-0d4fb7b722997d8e]；4.52 人工智能[M-b8657de6d279dc74]；5.53 人工智能（创新实验班）[M-74b36f7c71439bba],G-a289e7d54bd0da07,round1普通主线
PFITGROUP-3eee1ba74bcb00a4,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办，信息安全、计算机、电子、智能制造等方向可讨论，H3 贴线。,偏贴线，组内非计算机方向也不少，需做整组接受度判断。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C129,湖北民族大学,C12903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,0,0,0,9,H3-历史最高线高于等位分15分内,1,1,1,,,,,,,75,right,1.16 电子信息工程[M-17e88617ba0b945e]；2.17 信息安全[M-b710ed35bc5509ba]；3.18 智能制造工程[M-d02b951098ffa84b]；4.19 数学与应用数学[M-4b0040c9e765bb7e]；5.20 统计学[M-f1045946d7c121f0]；6.21 电气工程及其自动化[M-bd390734b328c076]；7.22 计算机科学与技术[M-4fbdf8c8639f107b]；8.23 物理学[M-d18018b776fcfae6]；9.24 光电信息科学与工程[M-a0d8aa651acec549],G-941db55ee939c751,round1普通主线
PFITGROUP-3777ec16b0f1a81f,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办，数据科学、人工智能、软件、网络空间安全方向贴合，H3。,带稳冲属性，需确认计划数和网络空间安全方向接受度。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C127,湖北工程学院,C12706,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,5,H3-历史最高线高于等位分15分内,3,8,-21,,,,,,,74,right,1.27 数学与应用数学[M-672c5d285a777ea4]；2.28 数据科学与大数据技术[M-efaf780f0468128b]；3.29 人工智能[M-c4212113be49105a]；4.30 软件工程[M-c6c94fd2e6d5447a]；5.31 网络空间安全[M-ae1dacd1e9960113],G-25242282690fb171,round1普通主线
PFITGROUP-ba716fd8ab447828,普通公办低费用主线,A-主线优先讨论,进入家庭讨论,true,false,湖北省内公办，软件、物联网、电子信息方向可讨论，H3。,组内车辆/交通方向较多，需要判断是否愿意服从调剂。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C126,湖北文理学院,C12610,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,0,0,0,9,H3-历史最高线高于等位分15分内,3,13,4,,,,,,,74,right,1.38 签堂器（含数学与应用数学、数据计算及应用专业；办学地点：隆中校区）[M-2616fc56cde326b4]；2.39 机械类（含机械设计制造及其自动化留能制造工程专业；办学地点：隆中衣区）[M-367da5ba7b5e9889]；3.40 车辆工程（新能源汽车；办学地点：隆中校区）[M-bc18b9edc3e83b93]；4.41 智能车辆工程（办学地点：隆中校区）[M-9f85e89e0253aa5f]；5.42 电子信息类（含电子信息工程、通信工程专业；办学地点：隆中校区）[M-eb5df77c302d324f]；6.43 软件工程（办学地点：隆中校区）[M-aed4ea4898eb8d2f]；7.44 物联网工程（办学地点：隆中校区）[M-03a5c2fc11e2845d]；8.45 交通设备与控制工程（办学地点：隆中校区）[M-7a3ac15da4148022]；9.46 智慧交通（办学地点：隆中校区）[M-1b3d90448cceb778],G-cad29fb7a08fd6ae,round1普通主线
PFITGROUP-26f194f0d1d0abdc,普通公办低费用主线,B-保底备选讨论,进入家庭讨论,true,false,H2 且最高等位分差较低，人工智能/计算机/软件与师范方向同组。,需核 OCR 是否把专业名连读，食品等非偏好专业也要接受。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F308,吕梁学院,F30805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,2,2,0,0,0,5,H2-历史最高线不高于等位分,2,-15,-17,,,,,,,109,right,1.08 物理学（师范类）[M-782794e5ecfddcbb]；2.09 化学（师范类）[M-86b7950d2662e7e4]；3.10 人工智能卫计算机科学与技术[M-b5b9d3bcd83d2a04]；4.12 软件工程[M-918e54ef86c5a0b3]；5.15 食品科学与工程[M-70c2922cd40b07c5],G-be57aa62705d47eb,round1普通主线
PFITGROUP-d7cbea1c3d2b024e,普通公办低费用主线,B-保底备选讨论,进入家庭讨论,true,false,H1 保底线索，计算机、物联网、数据科学等方向存在。,地理距离远，组内材料、测绘、新能源、资源勘查等需接受。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,8,H1-历史最高线低于等位分20分以上,1,-27,-27,,,,,,,237,right,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],G-de5cf3dab5a124b1,round1普通主线
