第二轮候选ID,第二轮池,第二轮层级,建议梯度,是否进入家庭讨论,是否可作为定稿依据,入选理由,专项风险提示,下一步核验动作,体检和章程核验提示,重点观察标签,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,机械自动化机器人专业数,电子信息网络专业数,计算机AI软件专业数,农业动医兽医专业数,动物医学兽医专业数,护理助产专业数,工商旅游管理专业数,环境工程科学专业数,医技护理康复专业数,临床口腔中医暂缓专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R2GROUP-a43bc52f10d37194,主线,C1-主线完整候选池,历史待补,true,false,命中方向：计算机/AI/软件4个、电子/网络6个、机械/自动化/机器人3个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,A006,北京航空航天大学,A00603,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,4,0,4,0,3,6,4,0,0,0,0,0,0,0,0,0,10,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,11,right,1.04 工科试验班类（未来空天领军计划：智能飞行器技术、智能制造工程、空天智能电推进技术、飞行器设计与工程、飞行器 力工程、材料科学与工程、智慧密通、人工智能、网络空间安全、电子信息工程、自动化、测控技术与仪器、微电子科学与工程、空间科学[M-1207a6fdbcfb55bb]；2.05 工科试验班类（量子科技先锋计划：计算机科学与技术、软件工程、微电子测控技术与仪器、物理科学与工程、学；办学地点：学院路校区）[M-a0a9ed68f205d33c]；3.06 物理学（拔尖学生培养计划：含物理学-做电子科学与工程双学士学位项目若考生未填报该专业志愿，则不会被豪取至本专业：办学地点：沙河校区）[M-4836bf53e1e6a67e]；4.07 微电子科学与工程（卓越人才培养试验班；办学地点：学院路校区）[M-a708f637ab29e3fd]；5.08 工科试验班类（未来工程师项目制育人试验班：人工智能、烏动化、低空技术与工程、机器人工程、车辆工程、飞行器设计与工程、飞行器控制与信息工程、飞行器动力工程；办学地点：沙河校区）G◎AI院校专业组及乏业代号[M-11c6fbee8a43d5c1]；6.09 工科试验班类（医工交叉试验班；告物医学工程、智能医学工程：色育、色弱考生不得报考；办学地点：学院路校[M-6fb39cea4ac810bd]；7.10 工科试验班类（航空航天类：貪具身智飞行器动力工程、能源与动力工程签专业；具体包含专业详见学校本科招生偵息网报考指南专栏；办学地点：沙河校区）[M-e641acac027a52c3]；8.11 工科试验班类（计算与智能科学类；含计算机科学与技术，人工智能、工程等专业：具体包含专业详见学校本科招生信息网报考指南专栏；办学地点：学院路校区）[M-7efa52629c06acb9]；9.12 工科试验班类（信息科学与技术类：含微电子科学与工程、自动化、机器人工程、测控技术与仪器等专业；具体包含专业详见学校本科招生信息网报考指南专栏：办学地点：学院路校区）[M-8a4f4f6e3a2d2c37]；10.13 理科试验班类（含信息与计算科学、数学与应用数学、应用物理学等专业具体包含专业详见学校本科招生网报考指南专栏；办学地点：沙河校区）[M-af1e5b8d9887ebac],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-eb69b790b7277d80,STABLEGROUP-0c01f324d0693042
R2GROUP-9332b9b689cc70a1,主线,C1-主线完整候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、机械/自动化/机器人2个、环境1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,结构或组内边界需先核；缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,A008,北京科技大学,A00809,09,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,8,V1-偏好专业优先线索,R1-P0整组先核,H0-无同代码历史线索,0,,,13,right,1.18 材料科学与工程（100%满足学生分流意愿：本大一学年结東后可分流至材料材料化学、无机非金属材料工程、材料成型及招制工程、高分子材料与工程专业.一、三年级在北京校区，三、四年级在雄安[M-027f9395e9a9bf81]；2.19 自动化类（自动化、测控技术与仪器智能感知工程；一偃，兰、四年级在雄安校区）[M-cdaf86a1cb33ca94]；3.20 计算机类（计算机科学与技术、信息安食：些联品军很在雄委和年级在北京校，三、四年级在雄安校区）[M-49d453adbf222bcc]；4.21 通億工程（一、三年级在北京校区，三、四年级在雄安校区）[M-6cba556e234ab586]；5.22 机械类（机器人、智能制造与新能源车辆：机械工程、智能制造工程、机器人工程、车辆工程、物流工程、三年级在北京校区，三、四年级在雄安校区）[M-ec0b6ceb74d40fe9]；6.23 储能科学与工程（一、二年级在北京校区，三、四年级在雄安校区）[M-9f93cff5c9370256]；7.24 能源动力类（能源与动力工程、新能源环境工程、环境科学二年级在北京校区，三、四年级在[M-09eb95e944d56909]；8.25 安工程（智慧安全；大一学年结束后职业卫生工程专可分流至安全工程、三年级在北京校区，三、四年级在雄安校区）A010北京化工大学（公办）（北京）[M-d451210886dff728],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-229765a7d6bb0c2f,STABLEGROUP-bc341278b9c73bb3
R2GROUP-9332b9b689cc70a1,专项,C2-医技康复农业环境专项候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、机械/自动化/机器人2个、环境1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,结构或组内边界需先核；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,A008,北京科技大学,A00809,09,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,8,V1-偏好专业优先线索,R1-P0整组先核,H0-无同代码历史线索,0,,,13,right,1.18 材料科学与工程（100%满足学生分流意愿：本大一学年结東后可分流至材料材料化学、无机非金属材料工程、材料成型及招制工程、高分子材料与工程专业.一、三年级在北京校区，三、四年级在雄安[M-027f9395e9a9bf81]；2.19 自动化类（自动化、测控技术与仪器智能感知工程；一偃，兰、四年级在雄安校区）[M-cdaf86a1cb33ca94]；3.20 计算机类（计算机科学与技术、信息安食：些联品军很在雄委和年级在北京校，三、四年级在雄安校区）[M-49d453adbf222bcc]；4.21 通億工程（一、三年级在北京校区，三、四年级在雄安校区）[M-6cba556e234ab586]；5.22 机械类（机器人、智能制造与新能源车辆：机械工程、智能制造工程、机器人工程、车辆工程、物流工程、三年级在北京校区，三、四年级在雄安校区）[M-ec0b6ceb74d40fe9]；6.23 储能科学与工程（一、二年级在北京校区，三、四年级在雄安校区）[M-9f93cff5c9370256]；7.24 能源动力类（能源与动力工程、新能源环境工程、环境科学二年级在北京校区，三、四年级在[M-09eb95e944d56909]；8.25 安工程（智慧安全；大一学年结束后职业卫生工程专可分流至安全工程、三年级在北京校区，三、四年级在雄安校区）A010北京化工大学（公办）（北京）[M-d451210886dff728],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-229765a7d6bb0c2f,STABLEGROUP-bc341278b9c73bb3
R2GROUP-a8596b7e96316702,主线,C1-主线完整候选池,历史待补,true,false,命中方向：师范1个、工商/旅游管理1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,A027,北京师范大学,A02705,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,17,left,1.13 金融学（办学地点：北京校区）[M-e72eb3e445f8aaf7]；2.14 人力资源管理（心理学、人管双学士学位项目：“心理学+人力资源管理“双学士学位复合型入才培养项目；办学地点：北京校区）[M-9073563d8e11cc97]；3.15 教育学类（教育学、学前教育、特教南；另含：教育技术学；办学地点：北京校区）[M-f757fddd706d9357],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-e92945e579a4eb9c,STABLEGROUP-51f5610ad180a949
R2GROUP-672025696beaf25a,主线,C1-主线完整候选池,历史待补,true,false,命中方向：计算机/AI/软件1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,组内有特殊限制待核；缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,,A213,中国地质大学（北京）,A21311,11,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,V1-偏好专业优先线索,R1-P0整组先核,H0-无同代码历史线索,0,,,59,right,1.37 软件工程（民族班：一年级在北京校区，二年级起在雄安校区）[M-939f16008bed316e],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-842dab51c0cee780,STABLEGROUP-5d608cc1c4a85084
R2GROUP-594816d1e3a2a2f1,主线,C1-主线完整候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,组内有特殊限制待核；缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-594816d1e3a2a2f1,专项,C2-医技康复农业环境专项候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,组内有特殊限制待核；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-594816d1e3a2a2f1,点名观察,C3-用户点名学校观察池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,组内有特殊限制待核；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-867fb73338a090d3,点名观察,C3-用户点名学校观察池,历史待补,true,false,命中方向：环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,北京农学院,F008,北京农学院,F00804,04,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,93,left,1.05 农业资源与环境（中外合作办学）（中澳食作办学专业，3+1培养模式，专业课为英文授课.国内学费3.6万元/年，国外学费按照澳大利亚当年标准收取.不招收色盲、色弱考生）[M-7e4e4b0e1c5ad1f4]；2.FP 009首都医科大学（公办）（北京）[M-5f2c58c2cd393f06],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-a6db479a7a076023,STABLEGROUP-81958d667c3b761c
R2GROUP-282b272924e13bfa,主线,C1-主线完整候选池,历史待补,true,false,命中方向：工商/旅游管理1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,P019,北京信息科技大学,P01901,01,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,V4-普通留存待了解,R2-P1页列集中核,H0-无同代码历史线索,0,,,94,left,1.01 億息管理与信息系统（办学地点：沙河[M-4c86a657fb430264]；2.02 电子商务（办学地点：沙河校区）[M-4ba4cfa10f794248],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-94c2814e821ea245,STABLEGROUP-7d86075e7c0cc453
