重点核验序号,重点核验状态,压缩结论,入选或暂缓理由,城市偏好提示,核验优先级,建议家庭动作,是否可作为定稿依据,组内硬排除专业数,城市,院校代码,院校名称,院校专业组代码,冲稳保,历史线索分层,同代码命中年份数,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,环境工程科学专业数,农业不含动物相关专业数,工商旅游管理专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,机器核验下一步,人工核验下一步,下一步核验动作,专业组出现ID,第四轮候选ID
1,重点核验,本轮进入55组重点核验,保底观察；H1-历史最高线低于等位分20分以上；计算机/软件/AI3；计算机类3；电子信息/网络2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P0-保底样本先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,和田地区,K784,新疆工业学院,K78401,保底观察,H1-历史最高线低于等位分20分以上,1,467,467-494=-27,,,,,8,0,3,3,2,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],,237,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-de5cf3dab5a124b1,R4GROUP-62dc3df1666adaa1
2,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI8；计算机类8；电子信息/网络2；机械自动化3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,十堰市,C131,湖北汽车工业学院,C13107,稳妥观察,H2-历史最高线不高于等位分,3,490,490-494=-4,492,492-497=-5,478,478-481=-3,15,0,8,8,2,3,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],,77,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-c60fd32db2360718,R4GROUP-103ee2b5e642f511
3,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类4；电子信息/网络2；师范1；机械自动化3；有3个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,伊犁哈萨克自治州,K754,伊犁师范大学,K75403,稳妥观察,H2-历史最高线不高于等位分,2,475,475-494=-19,492,492-497=-5,,,11,0,4,4,2,3,1,0,0,0,3,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],解放路校区,235,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-d7999ebd3ca3839c,R4GROUP-9948d103a09dc6ad
4,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络2；机械自动化3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,长春市,F597,长春工程学院,F59704,稳妥观察,H2-历史最高线不高于等位分,2,469,469-494=-25,495,495-497=-2,,,17,0,3,3,2,3,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 电气工程及其自动化（办学地点：湖西校区）[M-e7fe36d5532b09d9]；2.07 电子信息工程（办学地点：湖西校区）[M-bd89c44dc46ddb80]；3.08 智能电网信息工程（办学地点：湖西校区）[M-7824ce19c5a3190d]；4.09 百动化（办学地点：湖西校区）[M-291b64b58ed16469]；5.10 土木工程（办学地点：湖西校区）[M-d7c4664e3badd902]；6.11 焊接技术与工程（办学地点：湖西校[M-df1c41a4675ca522]；7.12 机械设计制造及其自动化（办学地点：湖西校区）[M-c4c3adaee7930156]；8.13 机器人工程（办学地点：湖西校区）[M-533b08b51bfd50a9]；9.14 给排水科学与工程（办学地点：湖西校[M-530bbeaf6f1ca639]；10.15 水利水电工程（办学地点：湖西校区）[M-c12f2fc2a28858fa]；11.16 建筑电气与智能化（办学地点：湖西校[M-032756ac8d801ba4]；12.17 能源与动力工程（办学地点：湖西校[M-f3078007b0254728]；13.18 新能源科学与工程（办学地点：湖西校資高院校孝业組及专业代号[M-d6d704d3ef3a38fe]；14.19 计算机科学与技术（办学地点：湖东校[M-9b5ab4f214616c9e]；15.20 软件工程（办学地点：湖东校区）[M-2f0df625f2ec186f]；16.21 数据科学与大数据技术（办学地点：湖[M-e413ca5d93190a55]；17.22 入工智能（办学地点：湖东校区）[M-421c2a2b94ae1919],湖西校区；湖东校区,122,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-82c00bbc0942940e,R4GROUP-7895dad618982745
5,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类4；电子信息/网络1；机械自动化5；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,阳泉市,F313,山西工程技术学院,F31303,稳妥观察,H2-历史最高线不高于等位分,3,483,483-494=-11,488,488-497=-9,477,477-481=-4,15,0,4,4,1,5,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.06 材料成型及控制工程[M-a3fada79b4cc9d36]；2.07 材料科学与工程[M-38c2c18305985ded]；3.08 无机非金属材料工程[M-3ce059a07916b758]；4.09 计算机科学与技术[M-71340f7d7ebbd23f]；5.10 数据科学与大数据技术[M-4fa6db8bafa7007e]；6.11 物联网工程[M-be9c928ff95d1826]；7.12 智能科学与技术[M-509bf5722b5c90b6]；8.13 逼感科学与技术[M-8169cadd3518a559]；9.14 电气工程及其自动化[M-b195fca807aa1d4f]；10.15 自动化[M-e17ba9075c780d66]；11.16 机械设计制造及其自动化[M-55be403a36d57f45]；12.17 智能制造工程[M-f871745fab7fdbc4]；13.18 机器人工程[M-aa0e1b058e5ebb48]；14.19 应急装备技术与工程[M-d11a6dcaf3b55217]；15.20 电气工程与智能控制F314山西能源学院（公办）（山西）[M-440d0d1899bba201],,110,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-f00ad59bf89d790b,R4GROUP-d27ce731589b8407
6,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络1；师范1；机械自动化3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,荆门市,C139,荆楚理工学院,C13908,稳妥观察,H2-历史最高线不高于等位分,3,482,482-494=-12,485,485-497=-12,481,481-481=+0,11,0,3,3,1,3,1,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.40 数学与应用数学（师范类）[M-1e595b9d61ccb677]；2.4 数据计算及应用[M-4a0671ade73427d3]；3.42 应用物理学[M-a941f1f48e8ffb11]；4.43 机械设计制造及其自动化[M-50205b490715b7ca]；5.44 材料成型及控制工程[M-8f50f2a644715dd7]；6.45 智能制造工程[M-cc9c89dee9f37ca3]；7.46 飞行器制造工程[M-433634f80bb2098a]；8.47 机器人工程[M-8f3f453dc737b2a7]；9.48 智能科学与技术[M-4cddd7554ed83233]；10.49 物联网工程[M-50dbc50b22ddfbd4]；11.50 计算机科学与技术[M-3ddd7a7cc394dafd],,80,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-878c4f8ce339e4d2,R4GROUP-25faf410b237701c
7,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；数字媒体技术1；计算机/软件/AI2；计算机类2；师范1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,忻州市,F305,忻州师范学院,F30508,稳妥观察,H2-历史最高线不高于等位分,2,,,487,487-497=-10,474,474-481=-7,4,1,2,2,0,0,1,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.15 应用化学[M-51215ebfd6e9c1fb]；2.16 数字媒体技术[M-6eb339aae881b3aa]；3.17 数据科学与大数据技术[M-68e8615d3ab753b9]；4.18 计算机科学与技术（师范类）[M-b11b9f49fcb51333],,109,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-3ed22abc87c8dac2,R4GROUP-ab71a16da72c74aa
8,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI4；计算机类3；电子信息/网络1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,图木舒克市,K783,新疆政法学院,K78304,稳妥观察,H2-历史最高线不高于等位分,2,476,476-494=-18,486,486-497=-11,,,6,0,3,4,1,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.14 计算机科学与技术[M-afc3f5b8721d308a]；2.15 网络工程[M-16fdc2ec93777d02]；3.16 智能科学与技术[M-afa871150bb8147d]；4.17 统计学[M-765fffeb9c720a72]；5.18 网络空间安全[M-38dd5fc4717d4bcd]；6.19 数学与应用数学G◎KZAA院校专业组及专业代号K784新疆工业学院（公办）（新疆）[M-f602cd43b2b8e0f6],,237,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-d6fbe6fc85f12021,R4GROUP-e44ee567d764972e
9,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,兰州市,K585,兰州工业学院,K58501,稳妥观察,H2-历史最高线不高于等位分,3,480,480-494=-14,483,483-497=-14,481,481-481=+0,10,0,3,3,3,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 测控技术与仪器[M-df09ffa262060523]；2.02 轨道交通信号与控制[M-6785aa70ea8e47e2]；3.03 网络工程[M-5ee40aa8aef3f727]；4.04 数据科学与大数据技术[M-3e581bfd0a65da29]；5.05 土木工程[M-78cd577ab9f0ce92]；6.06 物联网工程[M-5ba349232b5e6527]；7.07 集成电路设计与集成系统[M-b87c2f64a66234fb]；8.08 汽车服务工程[M-b9971eaed464b095]；9.09 新能源汽车工程[M-66d11ee8a4ac47d8]；10.10 复合材料与工程K586 兰州资源环境职业技术大学（公办）（甘[M-9484f4dfc7278f40],,230,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-fc1a400fe1a672b8,R4GROUP-3d31e09cfa1266ec
10,重点核验,本轮进入55组重点核验,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；师范2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,吕梁市,F308,吕梁学院,F30805,稳妥观察,H2-历史最高线不高于等位分,2,477,477-494=-17,482,482-497=-15,,,5,0,2,2,0,0,2,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.08 物理学（师范类）[M-782794e5ecfddcbb]；2.09 化学（师范类）[M-86b7950d2662e7e4]；3.10 人工智能卫计算机科学与技术[M-b5b9d3bcd83d2a04]；4.12 软件工程[M-918e54ef86c5a0b3]；5.15 食品科学与工程[M-70c2922cd40b07c5],,109,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-be57aa62705d47eb,R4GROUP-dff8ca38471e2ed0
