第一轮候选ID,第一轮层级,建议梯度,入选理由,风险提示,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R1GROUP-70d7bb3032dba6fd,C2-偏好/城市但历史待补,历史待补,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A008,北京科技大学,A00809,09,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,8,V1-偏好专业优先线索,R1-P0整组先核,H0-无同代码历史线索,0,,,13,right,1.18 材料科学与工程（100%满足学生分流意愿：本大一学年结東后可分流至材料材料化学、无机非金属材料工程、材料成型及招制工程、高分子材料与工程专业.一、三年级在北京校区，三、四年级在雄安[M-027f9395e9a9bf81]；2.19 自动化类（自动化、测控技术与仪器智能感知工程；一偃，兰、四年级在雄安校区）[M-cdaf86a1cb33ca94]；3.20 计算机类（计算机科学与技术、信息安食：些联品军很在雄委和年级在北京校，三、四年级在雄安校区）[M-49d453adbf222bcc]；4.21 通億工程（一、三年级在北京校区，三、四年级在雄安校区）[M-6cba556e234ab586]；5.22 机械类（机器人、智能制造与新能源车辆：机械工程、智能制造工程、机器人工程、车辆工程、物流工程、三年级在北京校区，三、四年级在雄安校区）[M-ec0b6ceb74d40fe9]；6.23 储能科学与工程（一、二年级在北京校区，三、四年级在雄安校区）[M-9f93cff5c9370256]；7.24 能源动力类（能源与动力工程、新能源环境工程、环境科学二年级在北京校区，三、四年级在[M-09eb95e944d56909]；8.25 安工程（智慧安全；大一学年结束后职业卫生工程专可分流至安全工程、三年级在北京校区，三、四年级在雄安校区）A010北京化工大学（公办）（北京）[M-d451210886dff728],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-229765a7d6bb0c2f,STABLEGROUP-bc341278b9c73bb3
R1GROUP-dcc96f8a7799dde2,C2-偏好/城市但历史待补,历史待补,命中偏好专业：师范相关1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A027,北京师范大学,A02705,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,3,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,17,left,1.13 金融学（办学地点：北京校区）[M-e72eb3e445f8aaf7]；2.14 人力资源管理（心理学、人管双学士学位项目：“心理学+人力资源管理“双学士学位复合型入才培养项目；办学地点：北京校区）[M-9073563d8e11cc97]；3.15 教育学类（教育学、学前教育、特教南；另含：教育技术学；办学地点：北京校区）[M-f757fddd706d9357],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-e92945e579a4eb9c,STABLEGROUP-51f5610ad180a949
R1GROUP-3765ea2f129bbd62,C2-偏好/城市但历史待补,历史待补,命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A043,北京体育大学,A04306,06,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,0,0,0,0,0,0,1,1,V4-普通留存待了解,R1-P0整组先核,H0-无同代码历史线索,0,,,18,right,1.10 运动人体科学（色盲、色弱者，不予录[M-954242dc2ca70929],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-2d8e90245b345b5e,STABLEGROUP-03e2849416f0aaa1
R1GROUP-37437acafe9fd367,C2-偏好/城市但历史待补,历史待补,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A213,中国地质大学（北京）,A21311,11,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,R1-P0整组先核,H0-无同代码历史线索,0,,,59,right,1.37 软件工程（民族班：一年级在北京校区，二年级起在雄安校区）[M-939f16008bed316e],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-842dab51c0cee780,STABLEGROUP-5d608cc1c4a85084
R1GROUP-141163668734c73a,C2-偏好/城市但历史待补,历史待补,命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,A213,中国地质大学（北京）,A21312,12,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,0,0,0,0,0,0,1,1,V4-普通留存待了解,R1-P0整组先核,H0-无同代码历史线索,0,,,59,right,1.38 地下水科学与工程（民族班；不招色盲、色弱、单色识别不全）A223 大连民族大学（公办）（辽宁）[M-ea92437fe06877f0],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-d76d5ea7a955a5f7,STABLEGROUP-33b778edffdfcf70
R1GROUP-1f9b738595ff342a,C2-偏好/城市但历史待补,历史待补,命中偏好专业：计算机相关1个；命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R1GROUP-7eef636a5082e5d0,C2-偏好/城市但历史待补,历史待补,命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F017,北京电影学院,F01703,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,暂不判断-组内存在学费字段待核,0,0,0,0,0,0,0,2,V4-普通留存待了解,R2-P1页列集中核,H0-无同代码历史线索,0,,,94,left,1.03 戏剧影视文学（录取规则详见我校在教育部阳光高考平台公示的2026年[M-4bbab4ac95698c93]；2.F0 19 北京信息科技大学（公办）（北京）[M-f9ec75f656e1cf62],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-a4528699f5a838cf,STABLEGROUP-75ac9eac84e98fac
R1GROUP-2ebd053700b2a9f5,C2-偏好/城市但历史待补,历史待补,命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核；缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,P013,北京物资学院,P01306,06,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,暂不判断-组内结构异常需先核页,0,0,0,0,0,0,0,2,V4-普通留存待了解,R1-P0整组先核,H0-无同代码历史线索,0,,,93,right,1.10 本科顶科班（少数民族顶科班；学制：[M-879eba812bb00865]；2.F0 14 首都经济贸易大学（公办）（北京）[M-13c15110ecd09548],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-750540f50e77d2e7,STABLEGROUP-643f5f9266782d3b
R1GROUP-f6e1822b8a80f34c,C2-偏好/城市但历史待补,历史待补,命中优先城市：北京；历史线索：H0-无同代码历史线索；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,缺同代码历史线索,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,P019,北京信息科技大学,P01901,01,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,2,V4-普通留存待了解,R2-P1页列集中核,H0-无同代码历史线索,0,,,94,left,1.01 億息管理与信息系统（办学地点：沙河[M-4c86a657fb430264]；2.02 电子商务（办学地点：沙河校区）[M-4ba4cfa10f794248],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-94c2814e821ea245,STABLEGROUP-7d86075e7c0cc453
R1GROUP-eaad4da1fd9c9db8,C3-优先城市高冲暂缓,高冲暂缓,命中优先城市：北京；历史线索：H5-历史最高线高于等位分30分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F013,北京物资学院,F01303,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,0,0,0,0,0,0,0,1,V3-历史线索普通留存,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,44,5,93,right,1.04 金融学（期货与证券实验班）[M-e93430338afe1d87],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-91b7b0139830f9a6,STABLEGROUP-1c04c33d16a71f6d
