第四轮候选ID,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4GROUP-832b1cd3565e4025,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,三明市,教育部所在地,三明市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,福建省,福建省,,F230,三明学院,F23002,02,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.03 电子商务[M-cec7f6403dff0a9c],,149,left,R4-P3低风险抽检,保留为机器初筛观察池，等官方计划或人工抽检结果后再排序。,低风险抽检发现异常时升级同页列/同校/同组。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,26.0,G-a3f8ed19ad6b1f82,STABLEGROUP-46b45f3e3b8a242e
R4GROUP-3199e064c895dc3e,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,三明市,教育部所在地,三明市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,福建省,福建省,,F230,三明学院,F23003,03,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,4,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.04 物联网工程[M-b5264460ae810087]；2.05 电子信息工程[M-404a1e143382d40a]；3.06 材料化学[M-b2f15cf9aff9e5ca]；4.07 环境工程H231龙岩学院（公办）（福建）[M-fe9c5045ea377cdf],,149,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,23.0,G-dbcb3699b58f5bdd,STABLEGROUP-4490a5b063eec37d
R4GROUP-e19b083c62aaefc6,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,教育部,,A089,复旦大学,A08903,03,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,11,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.09 理科试验班（相辉学堂相辉计划：数学与应用数学：物理学：化学：生物科学含数学、物理、化学、生物科学英才[M-479d4875fe723916]；2.10 数学类（数学与应用数学：信息与计算科学：含数学与应用数学-人工智能、信息与计算科学-人工智能双学士学位）二1物理学类（量子与智能英才班：物理学；含物理学-人工智能双学士学位）[M-3b729435af7322af]；3.12 化学类（英才班；化学：能源化学）[M-22abedf686c79dbe]；4.13 生物科学类（英才班：生物科学：生物產态準交業都能翅社学金产智能、[M-7cfcf349e62ac247]；5.14 工科试验班（相辉学堂香农计划：集成电路科学与工程；人工智能：智能科学写技术：生物医学工程；电子信息科学与技术；材料科学与工程；含集成电路、计算与智能、智能机器人与先进制造、生物医学工程、未来信息、智能材料与未来能源领军人才班）[M-3922056bb639c122]；6.15 工科试验班（集成电路领军人才班：集成电路科学与工程；含集成电路“星陈计划（含集成芯芳写高算力系统芳[M-b0791a08f84a63ed]；7.16 工科试验班（集成电路与微纳电子创新学院；微电子科学与工程；含微电子科学与工程（集成电路方向）-信息与计算科学专业双学士学位）[M-360760702bd59c84]；8.17 工科试验班（计算与智能领军人才班；人工智能；含下一代多模态大模型与智能体体系方向、数字安全方问）[M-85e7c8fddbd8974e]；9.18 工科试验班（计算与智能创新学院；人［智能：计算机科学与技术：信息！：保密技术：含计算与智能产教融？班（含下一代多模态大模型与智能体体系方向、数字安全方向））[M-4ca9da9f14ed4774]；10.19 工科试验班（未来信息领军人才班；电子信息科学与技术：含“光子计划”院土班）[M-2aa3ea1b94aa2e71]；11.20 工科试验班（未来信息创新学院；电子信息科学与技术：通信工程：光电信息科学与工程；含未来信息产教融合班，电子信息科学嘉𠤖皮但鬆龍芳高产梅。尊瘤意莉學与技术-信息与计算科学（人工智能方向）双学士学位）A091 同济大学（公办）（上海）[M-b74e424c6e482f57],,26,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,81.0,G-346a12ee201a0bce,STABLEGROUP-1c93c1aa71dcac9a
R4GROUP-a4f940fbe7fa5a5c,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F779,上海海事大学,F77903,03,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 科学教育（师范类；创新班；办学地点：寸金校区）[M-06086a3ccae1b21b],寸金校区,187,right,R3-P2官网后人工确认,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,28.0,G-95241896118085ff,STABLEGROUP-3cc8e70976775278
R4GROUP-1f6b663eb9f6eed9,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F796,上海政法学院,F79611,11,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.32 机械设计制造及其自动化（国际班，培养方案及学费详见官方主页；办学地点：番禺校区）[M-388dd4b462b561c5]；2.33 电气工程及其自动化（国际班；不招色盲；办学地点：番萬校区）[M-e56789ad23a8d80b]；3.34 计算机科学与技术（国际班，培养方察及学费详见官方主页；办学地点：番国校区）[M-e3a3de2f613394b9],番禺校区；番萬校区；番国校区,190,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,25.0,G-4230a240faa73ade,STABLEGROUP-4abac05192930a3d
R4GROUP-34ce7f2a69d11e05,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F787,华东政法大学,F78704,04,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.12 法学（办学地点：松江校区）[M-8b1143c05350ef97]；2.13 经济学类（经济学：金融学：国际经济与贸易：会计学：办学地点：松江校区）F791 上海大学（公办）（上海）[M-796b733259f70219],松江校区,129,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,6.0,G-7df90bb72c7fdb6f,STABLEGROUP-8fc399a0cdf62e5b
R4GROUP-c99e05f243578069,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,上饶市,教育部所在地,上饶市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,江西省,江西省,,H320,上饶师范学院,H32002,02,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.04 工商管理（不能准确识别红、黄、兰、绿、紫各颜色中任何一种颜色的导线，按键、信号灯、几何图形考生不予录[M-17294bf0a210f07f]；2.05 广播电视编导[M-5156f129c5e3370f],,157,right,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,26.0,G-c21495ba470e7764,STABLEGROUP-844472e7cf6d1a5d
R4GROUP-3b5b17b71a786247,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,东莞市,教育部所在地,东莞市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,广东省,广东省,,H807,大湾区大学,H80701,01,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 计算机科学与技术（入学不分专业，大三并学前自选专业，可选专业：数学与应用数学、物理学、材料科学与工程、计算机科学与技术、工业工程、智能计算、人工智能、通信工程、未枣机器人、光电信息科学与工程、电子信息材料）H832广东白云学院（民办）（广东...[M-61dc7bcd229e7a36],,192,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,17.0,G-b34218cd6a7bc82b,STABLEGROUP-624d0406e4c326b6
R4GROUP-bdf0c9c60853b721,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,东营市,教育部所在地,东营市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山东省,山东省,,F499,山东石油化工学院,F49906,06,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.06 数据科学与大数据技术H501 泰山科技学院（民办）（山东）[M-7cc9b4e61f5ca6d9],,171,left,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,13.0,G-9db7595dabe6e5e9,STABLEGROUP-950b0d93c2d75d9c
R4GROUP-618a78c195f7fc62,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,历史待补附录,false,false,伊犁哈萨克自治州,教育部所在地,伊犁哈萨克自治州,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K754,伊犁师范大学,K75402,02,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.05 数字经济（办学地点：学府路校区）[M-65cfed85ac6b4450]；2.06 法学（办学地点：学府路校区）[M-0513ccc560341ff5]；3.07 教育技术学（师范类；办学地点：解放[M-6bc73ff1186a39fe]；4.08 英语（师范类：英语单科成绩≥85分：外语语种：英语；办学地点：解放路校[M-9f337b4a05731a6a]；5.09 信息管理与信息系统（办学地点：解放路校区）[M-12c1444998ba4fe7],学府路校区；解放路校区,235,right,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,先补历史投档映射，再核第19期原页、湖北官方侧、招生章程、学费、计划数、选科、校区和调剂范围。,16.0,G-5af7603c5270426c,STABLEGROUP-4e25d29bfc9022c3
