G0冲突字段W0W1开核执行页列汇总ID,来源G0冲突字段W0W1开核执行清单,来源G0冲突字段W0W1材料就绪页列汇总,来源G0冲突字段补证缺口任务公开账本,来源第一闭环字段级公开状态,来源第一闭环证据状态报告,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,开核工作包数,材料就绪工作包数,人工记录就绪工作包数,人工记录阻断工作包数,当前可并行任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,证据通道分布,字段名分布,PDF原页证据状态分布,OCR提示状态分布,高校辅证证据状态分布,冲突状态分布,私有材料页列状态,页列开核执行状态,页列下一步开核动作,开核工作包集合SHA256,来源缺口任务集合SHA256,来源字段状态集合SHA256,来源证据状态集合SHA256,来源闭环结果集合SHA256,公开安全策略
G0W0W1LAUNCHPAGE-9552260025389478,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,1,018-left,18,left,4,4,0,4,39,12,4,4,1,PDF原页记录:12；双人复核:3；湖北官方侧记录:12；高校辅证人工核验:12,专业计划数:13；再选科目:13；学费:13,P0-有冲突线索，PDF原页优先人工核验:39,O0-PDFOCR与高校辅证冲突:39,S1-有高校辅证线索或自动官网任务，待私有辅证记录:39,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:39,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,fc9f01dad27975080a8834602220c9326e192cc007c0367f27705f8e80df3540,6c6f1d26ab6c74021a1993d22a23cf14e33749514bef50796627b21fbd5e7759,24bd9fe133c3b467dcf64a8dea0c45b0acafde3904f9251ebb820e0564632cdb,845e16ce133c752a4e41ff487aad2332568d723bf21a25181cc2ae7971ce7623,6937713d8051ac4bfa447c7c35265cd93d5e1cd4d759d18d2b12278aae97786f,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-9a80833ac9a5171c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,2,037-left,37,left,4,4,0,4,12,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,P0-有冲突线索，PDF原页优先人工核验:12,O0-PDFOCR与高校辅证冲突:12,S1-有高校辅证线索或自动官网任务，待私有辅证记录:12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:12,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,8611a2879979d2759de4852b7c7e872edb6a5d03b8e88ca7831dadbd350dcdd2,9914825f35a32e800671676cf9812683957e76d86bc09bee273cf07c4c6638c6,117b61e64caa171590ed00012876cd865c634e4487381d765bc316cd55ccc4ea,6dd43604656f99f6deed0b44fce0dd68ee54f8b179b5591996040cd4c3bc1f80,ff038e3abc16dcb24adda0213b3d86d495eb7bdc10494fa3ce0ecd5746b335aa,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-f57242f368ef88e6,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,3,056-left,56,left,3,3,0,3,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,P0-有冲突线索，PDF原页优先人工核验:9,O0-PDFOCR与高校辅证冲突:9,S1-有高校辅证线索或自动官网任务，待私有辅证记录:9,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:9,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,4a02c19791bdee4988c9f7722705e33b56e47db27110047822d16270fee0c2cf,19d9696960502e1dd1ffa62d515944c211379df0e4e2988e6b5cd46a57aa9cc4,9cd241f41301ab2891269ea693da962113d607e60583735599ffe902baf52b41,9403f5b273cde737b6fc37cf4bd4ae514367c2f14434e1cb09b99c41d3158e6a,2378b493762832195ce39128e8e0927b215c525fb301283c608aa127dcc17a63,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-4697a3731544bca9,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,4,135-left,135,left,4,4,0,4,84,21,10,10,1,PDF原页记录:21；双人复核:21；湖北官方侧记录:21；高校辅证人工核验:21,专业计划数:40；再选科目:4；学费:40,P0-有冲突线索，PDF原页优先人工核验:84,O0-PDFOCR与高校辅证冲突:84,S1-有高校辅证线索或自动官网任务，待私有辅证记录:84,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:84,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,96be35ebeb113d7da45f8401fe1e44c1c4933a1b37e6e506bd0a582c93f60cf0,aabd5bf8556b5daefc442673b31fbca0039d45e05fd144b1586dee9764d09b73,b522657cace97b6b4dec096ee57187ca4043f46fc7cd7cb0e82fa78bc4d1f782,fc9a408bb59fe3951e633a4069c7a4147ce7b24a625842ed3dcbabe6d3f969db,76427dde37329e47a9ef413de9451868776dd4a8af11b14a66529e8eaa5e046e,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-69efd78fb158d16d,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,5,137-right,137,right,4,4,0,4,12,3,1,1,1,PDF原页记录:3；双人复核:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:4；再选科目:4；学费:4,P0-有冲突线索，PDF原页优先人工核验:12,O0-PDFOCR与高校辅证冲突:12,S1-有高校辅证线索或自动官网任务，待私有辅证记录:12,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:12,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,81d778b3adfc1c2816b44f3a2675259690f5b11e69178bd940b4a1f6354c45a0,e15f54df51a85ba231121adf7197ac4222b5917929f2fb4f1cd1324a06c638cf,c54cb6be36db1efb6d7ef632b228cf071244cd9b87682ceb90c9bb796d13bd4b,6dfbbbbf46f282319ff61f0d360275210f5aa6fccec0f8f3f6a883df2902e8a8,1c89abd7ec5080010dd509b469d421ad4201c70871a8c2bc93dd9a06562aa2df,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-8cd1a60c6f631fc8,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,6,169-right,169,right,4,4,0,4,8,2,1,1,1,PDF原页记录:2；双人复核:2；湖北官方侧记录:2；高校辅证人工核验:2,专业计划数:4；学费:4,P0-有冲突线索，PDF原页优先人工核验:8,O0-PDFOCR与高校辅证冲突:8,S1-有高校辅证线索或自动官网任务，待私有辅证记录:8,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:8,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,204fca61d070a9f343b6b0b30da386e22ae4378513f2207678a28a7441ed0960,dd680094cc96274f294d6f6e2506cca5d14ca9e0d62efa387833ceb021afb838,d6541afe1e5533e21a028bd5cf67c5b4fde633f3838c5c5ca4e3ecaac3cf34dc,b0e95044df0b18c7fa736193418ef4ef11390e3acc807c34cfe9146c2ff06b10,0ee95078f5ef414897a6cb0c741bedfcf349a5a7e693493f58c1b547999db56b,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-135f7eb51adc7a7c,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,7,199-left,199,left,4,4,0,4,36,9,3,3,1,PDF原页记录:9；双人复核:9；湖北官方侧记录:9；高校辅证人工核验:9,专业计划数:12；再选科目:12；学费:12,P0-有冲突线索，PDF原页优先人工核验:36,O0-PDFOCR与高校辅证冲突:36,S1-有高校辅证线索或自动官网任务，待私有辅证记录:36,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:36,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,11ab9276b2be2a06fd5df96fc1f7db90350f72627751eb561dd140426b615c5e,131a6ca4d713bbef1ef47aa3e7cf9594bf866b63de308a07ba734534292e457c,a42e9ea06e8ac17cd881852136501ed5dabe922ce57637126f604e3e5e5d255c,07581d44bbe29e6dd9efa0d9196b5c51f76ae2644291a75f63e7d070026bf1ee,a6db06d5f70f9d85593671fc8d49dd27bdb8fc89462dca29564e34eb1a27d9b5,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-4b1ded4eb47c2a9f,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,8,209-right,209,right,4,4,0,4,24,6,2,2,1,PDF原页记录:6；双人复核:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:8；再选科目:8；学费:8,P0-有冲突线索，PDF原页优先人工核验:24,O0-PDFOCR与高校辅证冲突:24,S1-有高校辅证线索或自动官网任务，待私有辅证记录:24,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:24,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,2546d9683364d685a13b6d8f3890f263696b3827528c3a8b949e9cd5216f7989,dce323045c1f23dadd52e67c156bb0d566282f9cfb57e894378018052dbf82d2,eb1fda718976c02d66039b42dc0c2d2f810a2be70646e3f342c95398e676eabd,a2fd2d56f7f476ecc7aa30d41b34c22c1f364e7ab6d513adba8c54dc1192bafb,afaf8fdf925daedd6204fcd361798784169100ee9477c5843de9b80126312b6f,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-2563655a977c39cd,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,9,226-left,226,left,3,3,0,3,9,3,1,1,1,PDF原页记录:3；湖北官方侧记录:3；高校辅证人工核验:3,专业计划数:3；再选科目:3；学费:3,P0-有冲突线索，PDF原页优先人工核验:9,O0-PDFOCR与高校辅证冲突:9,S1-有高校辅证线索或自动官网任务，待私有辅证记录:9,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:9,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,71069d273952acd6fb8a702ec374726f9569725f1904cc531709b7f91ce393f1,191476b49a97e1a4a176c33fdf5d7e60b430f94bcc36bd8d7b4757cccbcd0186,d0b1669c175f001d1bd215a69bdcc940a2988b7d533f0dc25d3c772bec68eb21,5c6f9f73ae502752f33d04f1421afe37f5f127a2325c7193d3b65260aff8c04f,b9379e97e8b53dc6f126083e29774eb34a060ea215ea5141a54cc5be05ec484e,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
G0W0W1LAUNCHPAGE-00ab4a2dfb82454e,data/working/issue19-first-closure-g0-conflict-field-w0-w1-review-launch-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-material-readiness-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_review_launch_v1,G0冲突字段W0/W1开核执行页列汇总,页列,false,false,false,false,false,false,false,false,false,10,226-right,226,right,3,3,0,3,18,6,2,2,1,PDF原页记录:6；湖北官方侧记录:6；高校辅证人工核验:6,专业计划数:6；再选科目:6；学费:6,P0-有冲突线索，PDF原页优先人工核验:18,O0-PDFOCR与高校辅证冲突:18,S1-有高校辅证线索或自动官网任务，待私有辅证记录:18,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:18,ready_private_materials_present,ready_to_launch_human_review_not_fact,按PDF原页、湖北官方侧、高校辅证和双人复核通道补齐人工记录；不得据此确认字段事实。,9889d0c55ec65066c9fd846299c0175300456fd2a6897b2de7d65b2c78964390,2f1508fd9bc6d8d5cbfa4d6800a8c43f57cdd32972d9610eb7c1bac222105f5c,17b8ff2cc5be1c91337b07a5b94b7825024621e6d69db9daa50922c37f9f3872,43910353ada280ab621a0c1767fad2c1f50a4d4e30ba5878c870fd05d1d1d6dc,29b58ae7d4bfd8cdf8e23dcbef511a900f161aa136644b6f80d5731e76260cae,公开层只保存页列开核状态、计数、状态桶、ID和SHA；不公开私有路径、识别内容、字段记录、人工内容或学校专业明细。
