第一轮候选ID,第一轮层级,建议梯度,入选理由,风险提示,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R1GROUP-e9a7e4c1226389c9,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关8个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,8,0,8,0,0,0,0,15,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,3,-3,-5,77,left,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-c60fd32db2360718,STABLEGROUP-4b35c2e425214694
R1GROUP-cbff23022f258a24,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：师范相关7个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C151,汉江师范学院,C15108,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,7,0,0,7,0,0,2,7,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,1,-12,-12,81,left,1.24 科学教育（师范类：办学地点：校本部）[M-1589a255f636a226]；2.25 艺术教育（师范类：办学地点：校本部）[M-736a86a4c5d51281]；3.26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）[M-1f67d3e4be6e37fa]；4.27 小学教育（师范类；办学地点：校本部）[M-ad6a3781f1eefcb1]；5.28 汉语言文学（师范类；办学地点：校本[M-90571045abefddcf]；6.29 葵语（师范类：办学地点：校本部：外语[M-4f302aff91d26658]；7.30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）[M-3b5be7ce74eb3f8e],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-5522fc6f61f2fa08,STABLEGROUP-138a526199c1eef4
R1GROUP-b31735f9bb657ded,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关2个、师范相关2个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F308,吕梁学院,F30805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,2,2,0,0,0,5,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-15,-17,109,right,1.08 物理学（师范类）[M-782794e5ecfddcbb]；2.09 化学（师范类）[M-86b7950d2662e7e4]；3.10 人工智能卫计算机科学与技术[M-b5b9d3bcd83d2a04]；4.12 软件工程[M-918e54ef86c5a0b3]；5.15 食品科学与工程[M-70c2922cd40b07c5],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-be57aa62705d47eb,STABLEGROUP-9af14d76244b509e
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关3个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C139,荆楚理工学院,C13908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,3,1,0,0,0,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,3,0,-12,80,left,1.40 数学与应用数学（师范类）[M-1e595b9d61ccb677]；2.4 数据计算及应用[M-4a0671ade73427d3]；3.42 应用物理学[M-a941f1f48e8ffb11]；4.43 机械设计制造及其自动化[M-50205b490715b7ca]；5.44 材料成型及控制工程[M-8f50f2a644715dd7]；6.45 智能制造工程[M-cc9c89dee9f37ca3]；7.46 飞行器制造工程[M-433634f80bb2098a]；8.47 机器人工程[M-8f3f453dc737b2a7]；9.48 智能科学与技术[M-4cddd7554ed83233]；10.49 物联网工程[M-50dbc50b22ddfbd4]；11.50 计算机科学与技术[M-3ddd7a7cc394dafd],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-878c4f8ce339e4d2,STABLEGROUP-edeb75cd536a6a2f
R1GROUP-6107063ee3fa3db0,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：数字媒体技术1个、计算机相关2个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F305,忻州师范学院,F30508,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,1,2,1,0,0,0,4,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-7,-10,109,left,1.15 应用化学[M-51215ebfd6e9c1fb]；2.16 数字媒体技术[M-6eb339aae881b3aa]；3.17 数据科学与大数据技术[M-68e8615d3ab753b9]；4.18 计算机科学与技术（师范类）[M-b11b9f49fcb51333],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-3ed22abc87c8dac2,STABLEGROUP-98a7b64f8eaf026e
R1GROUP-e5eedae17480906e,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关4个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K754,伊犁师范大学,K75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,5,0,4,1,0,0,3,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-5,-19,235,right,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d7999ebd3ca3839c,STABLEGROUP-1190503a7ea7ec36
R1GROUP-b8f50995d09143f6,S1-保底稳妥优先讨论,保底观察,命中偏好专业：计算机相关3个；历史线索：H1-历史最高线低于等位分20分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,R2-P1页列集中核,H1-历史最高线低于等位分20分以上,1,-27,-27,237,right,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-de5cf3dab5a124b1,STABLEGROUP-c67cda1e9690bc11
R1GROUP-660de0496eab55f3,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关1个、师范相关2个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K272,六盘水师范学院,K27203,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,1,2,0,0,0,4,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-6,-15,216,left,1.03 生物科学（师范类）[M-4870082daedb4ea4]；2.04 数学与应用数学（师范类）[M-7d636a3b9a9668cc]；3.05 治金工程[M-74e9b3119736d79c]；4.06 物联网工程[M-1292154662be557e],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-677684376bb18056,STABLEGROUP-40ad3d58b93273aa
R1GROUP-e172cb85eae7fd68,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：计算机相关3个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F597,长春工程学院,F59704,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,17,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,2,-2,-25,122,left,1.06 电气工程及其自动化（办学地点：湖西校区）[M-e7fe36d5532b09d9]；2.07 电子信息工程（办学地点：湖西校区）[M-bd89c44dc46ddb80]；3.08 智能电网信息工程（办学地点：湖西校区）[M-7824ce19c5a3190d]；4.09 百动化（办学地点：湖西校区）[M-291b64b58ed16469]；5.10 土木工程（办学地点：湖西校区）[M-d7c4664e3badd902]；6.11 焊接技术与工程（办学地点：湖西校[M-df1c41a4675ca522]；7.12 机械设计制造及其自动化（办学地点：湖西校区）[M-c4c3adaee7930156]；8.13 机器人工程（办学地点：湖西校区）[M-533b08b51bfd50a9]；9.14 给排水科学与工程（办学地点：湖西校[M-530bbeaf6f1ca639]；10.15 水利水电工程（办学地点：湖西校区）[M-c12f2fc2a28858fa]；11.16 建筑电气与智能化（办学地点：湖西校[M-032756ac8d801ba4]；12.17 能源与动力工程（办学地点：湖西校[M-f3078007b0254728]；13.18 新能源科学与工程（办学地点：湖西校資高院校孝业組及专业代号[M-d6d704d3ef3a38fe]；14.19 计算机科学与技术（办学地点：湖东校[M-9b5ab4f214616c9e]；15.20 软件工程（办学地点：湖东校区）[M-2f0df625f2ec186f]；16.21 数据科学与大数据技术（办学地点：湖[M-e413ca5d93190a55]；17.22 入工智能（办学地点：湖东校区）[M-421c2a2b94ae1919],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-82c00bbc0942940e,STABLEGROUP-eb28a695fa697ba0
R1GROUP-c48aa378bd1587ce,S1-保底稳妥优先讨论,稳妥观察,命中偏好专业：师范相关4个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,结构或组内边界需先核,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C116,湖北科技学院,C11613,13,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,0,0,4,0,0,0,4,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,1,-18,-18,72,left,1.65 物理学（师范类）[M-d119b6248eff9065]；2.66 化学（师范类）[M-1cf8f532a3ef19d0]；3.67 生物科学（师范炎）[M-e39e2e8e768cb1e6]；4.68 数学与应用数学（师范类）[M-797adf8310363549],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-14c1ff429c4dabd1,STABLEGROUP-670c489103a704c5
