家庭是否愿意讨论,调剂是否可接受,需要排除的组内专业,待补充问题,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,是否进入机器初筛观察池,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,不得进入原因,下一步,专业组出现ID,稳定基座专业组筛选ID
,,,,,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H1-历史最高线低于等位分20分以上,1,-27,-27,237,right,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-de5cf3dab5a124b1,STABLEGROUP-c67cda1e9690bc11
,,,,,T754,广西职业师范学院,T75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,1,1,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H1-历史最高线低于等位分20分以上,1,-22,-22,239,left,1.05 人工智能（办学地点：罗文校区）[M-bec31edb1407e8e0]；2.06 应用电子技术教育（师范类；办学地T861 重庆工业职业技术大学（公办）（重庆）[M-76d7f7ab65bd3bb7],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-96da9142c54b636e,STABLEGROUP-1ff4b385b8721a90
,,,,,F695,牡丹江师范学院,F69502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,3,V1-偏好专业优先线索,true,R1-P0整组先核,H1-历史最高线低于等位分20分以上,1,-20,-20,126,right,1.0G 知识产权[M-592fddb6da1ce5b6]；2.07 心理学（师范类）[M-7f885eb38aecd8e0]；3.08 工商管理[M-689169d65a810dc3],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-53840bffed785bc1,STABLEGROUP-2dae9d9ca5044fb2
,,,,,K267,凯里学院,K26701,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,5,V1-偏好专业优先线索,true,R1-P0整组先核,H1-历史最高线低于等位分20分以上,1,-21,-21,215,right,1.01 测绘工程[M-d1576f3c46937f83]；2.02 信息工程[M-020dc49796ca20ca]；3.03 人工智能GA◎X专业组及专业代号[M-9dc6e50011a35eb7]；4.04 自动化[M-6731b9b0cf314eb7]；5.05 未来机器人K269 贵州財经大学（公办）（贵州）[M-e7b93de49dd36ee7],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-b0972365b88339c0,STABLEGROUP-d354f2ca6db6c266
,,,,,K758,昌吉学院,K75802,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,4,8,V1-偏好专业优先线索,true,R1-P0整组先核,H1-历史最高线低于等位分20分以上,1,-21,-21,236,left,1.02 智慧农业（办学地点：世纪大道新城校[M-23a06e05f9e83124]；2.03 应用化学（色盲、色弱，不能准确识别黄、绿、蓝、紫中任一颜色的导线、按键、信号灯、几何图形者，不予录取；办学地点：世纪大道新城校区）[M-b91182d9bc5b9581]；3.04 化工安全工程（色盲、色弱，不能准确识别红、黄、绿、蓝、紫中任一颜色的导线、按键、信号灯、几何图形者不子录取；办学地点：世纪大道新城校区）[M-cccbac44389b0810]；4.05 数学与应用数学（师范类；办学地点：世纪大道新城校区）[M-f0ee5e63109ead3c]；5.06 微电子科学与工程（办学地点：世纪大道新城校区）[M-2dfcf2f24754e5e1]；6.07 智能感知工程（办学地点：世纪大道新資高院校专业组及专业代号城校区）[M-a0b6c17226e06a89]；7.08 无人驾驶航空器系统工程（无色真、色弱：办学地点：世纪大道新城校区）[M-5f5a39a321de846d]；8.09 飞行器运维工程（双眼矫正视力不低王4.8：无色真、色弱；办学地点：世纪大道新城校区）K779 新疆理工学院（公办）（新疆）[M-c7ef54bae3bd275e],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-90ae18934e058922,STABLEGROUP-b98180482e7a193e
,,,,,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,8,0,8,0,0,0,0,15,V1-偏好专业优先线索,true,R1-P0整组先核,H2-历史最高线不高于等位分,3,-3,-5,77,left,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-c60fd32db2360718,STABLEGROUP-4b35c2e425214694
,,,,,C151,汉江师范学院,C15108,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,7,0,0,7,0,0,2,7,V1-偏好专业优先线索,true,R2-P1页列集中核,H2-历史最高线不高于等位分,1,-12,-12,81,left,1.24 科学教育（师范类：办学地点：校本部）[M-1589a255f636a226]；2.25 艺术教育（师范类：办学地点：校本部）[M-736a86a4c5d51281]；3.26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）[M-1f67d3e4be6e37fa]；4.27 小学教育（师范类；办学地点：校本部）[M-ad6a3781f1eefcb1]；5.28 汉语言文学（师范类；办学地点：校本[M-90571045abefddcf]；6.29 葵语（师范类：办学地点：校本部：外语[M-4f302aff91d26658]；7.30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）[M-3b5be7ce74eb3f8e],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-5522fc6f61f2fa08,STABLEGROUP-138a526199c1eef4
,,,,,K754,伊犁师范大学,K75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,5,0,4,1,0,0,3,11,V1-偏好专业优先线索,true,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-5,-19,235,right,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-d7999ebd3ca3839c,STABLEGROUP-1190503a7ea7ec36
,,,,,C116,湖北科技学院,C11613,13,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,0,0,4,0,0,0,4,V1-偏好专业优先线索,true,R1-P0整组先核,H2-历史最高线不高于等位分,1,-18,-18,72,left,1.65 物理学（师范类）[M-d119b6248eff9065]；2.66 化学（师范类）[M-1cf8f532a3ef19d0]；3.67 生物科学（师范炎）[M-e39e2e8e768cb1e6]；4.68 数学与应用数学（师范类）[M-797adf8310363549],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-14c1ff429c4dabd1,STABLEGROUP-670c489103a704c5
,,,,,C139,荆楚理工学院,C13904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,4,0,0,4,0,0,2,10,V1-偏好专业优先线索,true,R1-P0整组先核,H2-历史最高线不高于等位分,2,-2,-15,79,right,1.Z1 X院校专业组及专业代号[M-10b595c969f09f39]；2.15 科学教育（师范类）[M-60c83c1998dc1ee7]；3.16 学前教育（师范类）[M-0e0be1005e359738]；4.17 小学教育（师范类）[M-8780891b8ea90dbe]；5.18 网络与新媒体[M-126c16c55045a49a]；6.19 财务管理[M-c86ea91746875a97]；7.20 物流管理[M-68645cae55b69e0a]；8.21 数字经济[M-159d51cc0aed85ac]；9.22 英语（师范类；外语语种：英语）[M-5a67a45be9bd6776]；10.23 商务英语（外语语种：英语）[M-a332ceb0a9b3f368],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-9def6a5a21eb51d6,STABLEGROUP-121aa65d99c1f2b5
