第二轮候选ID,第二轮池,第二轮层级,建议梯度,是否进入家庭讨论,是否可作为定稿依据,入选理由,专项风险提示,下一步核验动作,体检和章程核验提示,重点观察标签,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,机械自动化机器人专业数,电子信息网络专业数,计算机AI软件专业数,农业动医兽医专业数,动物医学兽医专业数,护理助产专业数,工商旅游管理专业数,环境工程科学专业数,医技护理康复专业数,临床口腔中医暂缓专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R2GROUP-b0ac4b7e2356fcc2,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件8个、电子/网络2个、机械/自动化/机器人3个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,8,0,8,0,3,2,8,0,0,0,0,0,0,0,0,0,15,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,3,-3,-5,77,left,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-c60fd32db2360718,STABLEGROUP-4b35c2e425214694
R2GROUP-d40bdd5ec122457c,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：数字媒体1个、计算机/AI/软件6个、电子/网络2个、机械/自动化/机器人1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,K782,新疆科技学院,K78206,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,7,1,6,0,1,2,6,0,0,0,0,0,0,0,0,0,18,V0-默认不进主方案风险,R2-P1页列集中核,H2-历史最高线不高于等位分,3,-6,-86,237,left,1.17 旅游地学与规划工程（办学地点：金河校区）[M-c6f98d3f14ce7915]；2.18 计算机科学与技术（办学地点：鸿雁校[M-0b768172454237b0]；3.19 信息安全（办学地点：鸿雁校区）[M-f266f3005c7e9579]；4.20 软件工程（办学地点：鸿雁校区）[M-06974822212d5d65]；5.21 数字媒体技术（办学地点：鸿雁校区）[M-05514b4dad2b8b79]；6.22 医学信息工程（办学地点：鸿雁校区）[M-2f54d6f325bd3085]；7.23 物联网工程（办学地点：鸿雁校区）[M-78f666fccbe4bc97]；8.24 人工智能（办学地点：鸿雁校区）[M-73125e9cb711c7a6]；9.25 数据科学与大数据技术（办学地点：鸿雁校区）[M-6a790193f34422aa]；10.26 化学工程与工艺（办学地点：金河校[M-d2f32c1ca306711d]；11.27 纺织工程（办学地点：金河校区）[M-c9fd1bc9018dbbbb]；12.28 轻化工程（办学地点：金河校区）[M-673e4e64eda8449e]；13.29 精细化工（办学地点：金河校区）[M-cd5f55287f07bda4]；14.30 韭织造材料与工程（办学地点：金河校[M-3ee8db9bcad66b8b]；15.31 机械设计制造及其自动化（办学地点：金河校区）[M-02b7a90138603e0a]；16.32 石油工程（办学地点：金河校区）[M-3a4e60f053eea4f4]；17.33 药学（办学地点：鸿雁校区）[M-cd3b9d72b97927f2]；18.34 中药资源与开发（办学地点：鸿雁校[M-a02c9ec8cddba13a],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-ea10f4bfbea155bc,STABLEGROUP-13b7fc63ac0cf708
R2GROUP-1f614431b0daf866,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件3个、电子/网络1个、机械/自动化/机器人3个、师范2个、环境1个、农业2个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,K577,陇东学院,K57703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,5,0,3,2,3,1,3,2,0,0,0,1,0,0,0,0,18,V0-默认不进主方案风险,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-2,-4,229,right,1.07 化学（师范类）[M-0d7935d423fd3348]；2.08 过程装备与控制工程[M-4edba993b16b4710]；3.09 化学工程与工艺[M-8ba4934e001a2ac8]；4.10 石油工程卫1生物制药[M-a0e9b4f33a3c31cb]；5.12 食品科学与工程[M-1ff6ffd50d39250f]；6.13 农学（农林类）[M-b78db898dc601b06]；7.14 农业资源与环境（农林类）[M-49b140336aab494b]；8.15 土木工程[M-ad92b1a0d15a6606]；9.16 智能建造[M-41cb26e6908b980a]；10.17 计算机科学与技术[M-21897212acaf512a]；11.18 物联网工程[M-a7fef31f1bba1408]；12.19 人工智能[M-2d571319c5fcb48c]；13.20 物理学（师范炎）[M-44cc2eafb091e5e2]；14.21 电气工程及其自动化[M-14da227ed7d55b89]；15.22 安全工程[M-20a9cd79a0088b9e]；16.23 新能源科学与工程[M-8164c3aef8f04273]；17.24 机械设计制造及其自动化[M-aecb482cfc3d6568]；18.25 机器人工程[M-3fc2404e46ed5009],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-0387b85c737381ef,STABLEGROUP-d01cb2c2a2862dae
R2GROUP-7a13b079197b0f9e,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：数字媒体1个、计算机/AI/软件2个、电子/网络3个、机械/自动化/机器人4个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,K779,新疆理工学院,K77903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,3,1,2,0,4,3,2,0,0,0,0,0,0,0,0,0,32,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,2,-15,-27,236,right,1.13 智慧水利[M-c7f27ed4e9fc1d7b]；2.14 土木工程[M-e27947d8ae0ea9a1]；3.15 智能建造[M-a2f970843ee0086e]；4.16 水文与水资源工程[M-f7c3e54136addfcd]；5.17 食品营养与检验教育[M-307fb90dd3c7f953]；6.18 食品安全与检测[M-565f36f9437e59b4]；7.19 食品卫生与营养学[M-ef0176f3cd42b6e6]；8.20 食品科学与工程[M-fd16ebff85bc7357]；9.21 信息与计算科学[M-5188f591a6cea37b]；10.22 应用物理学[M-c90717c10324dbb2]；11.23 机械设计制造及其自动化[M-baad839ae4b04b3d]；12.24 机械电子工程[M-f93cce94b286a7b8]；13.25 机器人工程[M-c05e542c665152c3]；14.26 电气工程及其自动化[M-af581406ddcaf646]；15.27 测控技术与仪器[M-91db0bb4e627a35a]；16.28 材料成型及控制工程[M-95800106dd891216]；17.29 纺织工程[M-e4df36b775c23497]；18.30 通信工程[M-13e9a4bf0eedb5b4]；19.31 计算机科学与技术[M-32d21b79fc6cf598]；20.32 智能科学与技术[M-e934d55262e1e997]；21.33 数字媒体技术[M-0ae549c5cc552c9e]；22.34 医学信息工程[M-1718d0f6eeb9ee17]；23.35 电子信息工程[M-67fa15f1907821b4]；24.36 低空技术与工程[M-609c26f9fef06754]；25.37 过程装备与控制工程[M-6e7cbb06ef8c89eb]；26.38 能源化学工程[M-991db8ad67d7ad31]；27.39 能源服务工程[M-99b382a943c648a6]；28.40 材料化学[M-b2ae93cc47b2abf7]；29.41 储能科学与工程[M-7618f05e6e06c1f1]；30.42 能源与环境系统工程[M-15b903a8527e15c4]；31.43 化学工程与工艺[M-60990a381bdee4b7]；32.44 化工安全工程K781 新疆第二医学院（公办）（新疆）[M-90fd3d7521baa33e],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-11987cdfba1d7cb7,STABLEGROUP-d32305dca4db17e2
R2GROUP-ea393d559d73d30b,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件3个、电子/网络2个、机械/自动化/机器人3个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,F597,长春工程学院,F59704,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,17,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,2,-2,-25,122,left,1.06 电气工程及其自动化（办学地点：湖西校区）[M-e7fe36d5532b09d9]；2.07 电子信息工程（办学地点：湖西校区）[M-bd89c44dc46ddb80]；3.08 智能电网信息工程（办学地点：湖西校区）[M-7824ce19c5a3190d]；4.09 百动化（办学地点：湖西校区）[M-291b64b58ed16469]；5.10 土木工程（办学地点：湖西校区）[M-d7c4664e3badd902]；6.11 焊接技术与工程（办学地点：湖西校[M-df1c41a4675ca522]；7.12 机械设计制造及其自动化（办学地点：湖西校区）[M-c4c3adaee7930156]；8.13 机器人工程（办学地点：湖西校区）[M-533b08b51bfd50a9]；9.14 给排水科学与工程（办学地点：湖西校[M-530bbeaf6f1ca639]；10.15 水利水电工程（办学地点：湖西校区）[M-c12f2fc2a28858fa]；11.16 建筑电气与智能化（办学地点：湖西校[M-032756ac8d801ba4]；12.17 能源与动力工程（办学地点：湖西校[M-f3078007b0254728]；13.18 新能源科学与工程（办学地点：湖西校資高院校孝业組及专业代号[M-d6d704d3ef3a38fe]；14.19 计算机科学与技术（办学地点：湖东校[M-9b5ab4f214616c9e]；15.20 软件工程（办学地点：湖东校区）[M-2f0df625f2ec186f]；16.21 数据科学与大数据技术（办学地点：湖[M-e413ca5d93190a55]；17.22 入工智能（办学地点：湖东校区）[M-421c2a2b94ae1919],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-82c00bbc0942940e,STABLEGROUP-eb28a695fa697ba0
R2GROUP-c963e3f3569ece2e,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件3个、电子/网络1个、机械/自动化/机器人3个、师范1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,C139,荆楚理工学院,C13908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,3,1,3,1,3,0,0,0,0,0,0,0,0,0,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,3,0,-12,80,left,1.40 数学与应用数学（师范类）[M-1e595b9d61ccb677]；2.4 数据计算及应用[M-4a0671ade73427d3]；3.42 应用物理学[M-a941f1f48e8ffb11]；4.43 机械设计制造及其自动化[M-50205b490715b7ca]；5.44 材料成型及控制工程[M-8f50f2a644715dd7]；6.45 智能制造工程[M-cc9c89dee9f37ca3]；7.46 飞行器制造工程[M-433634f80bb2098a]；8.47 机器人工程[M-8f3f453dc737b2a7]；9.48 智能科学与技术[M-4cddd7554ed83233]；10.49 物联网工程[M-50dbc50b22ddfbd4]；11.50 计算机科学与技术[M-3ddd7a7cc394dafd],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-878c4f8ce339e4d2,STABLEGROUP-edeb75cd536a6a2f
R2GROUP-9f741b9f52ecf7d2,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件4个、电子/网络2个、机械/自动化/机器人3个、师范1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,组内有特殊限制待核,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,,K754,伊犁师范大学,K75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,5,0,4,1,3,2,4,0,0,0,0,0,0,0,0,3,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-5,-19,235,right,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d7999ebd3ca3839c,STABLEGROUP-1190503a7ea7ec36
R2GROUP-6734d6d78377808c,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件4个、电子/网络1个、机械/自动化/机器人5个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,结构或组内边界需先核,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,F313,山西工程技术学院,F31303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,0,4,0,5,1,4,0,0,0,0,0,0,0,0,0,15,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,3,-4,-11,110,left,1.06 材料成型及控制工程[M-a3fada79b4cc9d36]；2.07 材料科学与工程[M-38c2c18305985ded]；3.08 无机非金属材料工程[M-3ce059a07916b758]；4.09 计算机科学与技术[M-71340f7d7ebbd23f]；5.10 数据科学与大数据技术[M-4fa6db8bafa7007e]；6.11 物联网工程[M-be9c928ff95d1826]；7.12 智能科学与技术[M-509bf5722b5c90b6]；8.13 逼感科学与技术[M-8169cadd3518a559]；9.14 电气工程及其自动化[M-b195fca807aa1d4f]；10.15 自动化[M-e17ba9075c780d66]；11.16 机械设计制造及其自动化[M-55be403a36d57f45]；12.17 智能制造工程[M-f871745fab7fdbc4]；13.18 机器人工程[M-aa0e1b058e5ebb48]；14.19 应急装备技术与工程[M-d11a6dcaf3b55217]；15.20 电气工程与智能控制F314山西能源学院（公办）（山西）[M-440d0d1899bba201],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-f00ad59bf89d790b,STABLEGROUP-f51db3a55b0ea1e0
R2GROUP-320e83668a481820,主线,M1-保底稳妥主线优先,保底观察,true,false,命中方向：计算机/AI/软件3个、电子/网络2个；历史线索：H1-历史最高线低于等位分20分以上；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,仍需完整组核验,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,8,V1-偏好专业优先线索,R2-P1页列集中核,H1-历史最高线低于等位分20分以上,1,-27,-27,237,right,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-de5cf3dab5a124b1,STABLEGROUP-c67cda1e9690bc11
R2GROUP-fbebf57a7a9a4eaa,主线,M1-保底稳妥主线优先,稳妥观察,true,false,命中方向：计算机/AI/软件3个、电子/网络2个、机械/自动化/机器人3个、环境2个、农业1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,组内有特殊限制待核,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,,F584,吉林化工大学,F58402,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,3,0,3,0,3,2,3,1,0,0,0,2,0,0,0,15,38,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,2,-3,-5,120,left,1.10 化学工程与工艺（不招色盲色弱：办学地点：龙潭校区）[M-97e6b735eae73c61]；2.11 油气储运工程（不招色盲；办学地点：[M-6ce9d18062ace3a1]；3.12 轻化工程（不招色盲色弱；办学地点：[M-2911ffa1dd99ae41]；4.13 盛用化学（不招色盲色弱；办学地点：[M-f1cce8e0b4a7bf2c]；5.14 机械设计制造及其自动化（办学地点：[M-004ea208a0db40df]；6.15 材料成型及控制工程（办学地点：龙潭校区）[M-245326b5465f7ac7]；7.16 过程装备与控制工程（不招色盲色弱；办学地点：龙潭校区）[M-0714a8f223fe2823]；8.17 能源与动力工程（办学地点：龙潭校[M-aa761eb7ecd34647]；9.18 测控技术与仪器（办学地点：龙潭校[M-a6728a65af4f4076]；10.19 电气工程及其自动化（办学地点：龙潭校区）[M-2127250761b6deee]；11.20 自动化（办学地点：龙潭校区）[M-666d77693fddd89f]；12.21 智能装各与系统（办学地点：龙潭校区）[M-beacf21975850a4a]；13.24 袋装/不招色有色弱：办学地点：沈椰[M-5c10afe515b0d7b4]；14.23 化学测量学与技术（不招色盲色弱；办学地点：龙潭校区）資亮謝亭院校专业组及专业代号[M-08022ad828cdcb6d]；15.24 制药工程（不招色盲色弱；办学地点：龙潭校区）[M-6d5931082bc03cbf]；16.25 生物制药（不招色盲色弱；办学地点：龙潭校区）[M-b60ea0b9de2ea276]；17.26 药物制剂（不招色盲色弱；办学地点：龙潭校区）[M-572f699a135fbc31]；18.27 给排水科学与工程（办学地点：龙潭校[M-222f8292522f1ab7]；19.28 环境工程（办学地点：龙潭校区）[M-502e703e3a4661a4]；20.29 环境科学（办学地点：龙潭校区）[M-daf1a17bc8775541]；21.30 安全工程（办学地点：龙潭校区）[M-20e4c7f07d974116]；22.31 数学与应用数学（办学地点：龙潭校[M-16f2acde6c83bd52]；23.32 应用物理学（不招色盲；办学地点：龙潭校区）[M-6138fd122b1de117]；24.33 材料科学与工程（不招色盲色弱；办学地点：龙潭校区）[M-2bf98733e7170b1f]；25.34 材料化学（不招色盲色弱；办学地点：龙潭校区）[M-cce888aeea7363da]；26.35 高分子材料与工程（不招色盲色弱；办学地点：龙潭校区）[M-f9a58a7bb63ac0ae]；27.36 能源化学（不招色盲色弱；办学地点：龙潭校区）[M-675f1c5bcf1db11b]；28.37 生物技术（不招色盲色弱；办学地点：龙潭校区）[M-f1991e668ae4b1a2]；29.38 食品科学与工程（不招色盲色弱；办学地点：龙潭校区）[M-33ddc3b4ed485461]；30.39 生物工程（不招色盲色弱；办学地点：龙潭校区）[M-97260461eeeaab81]；31.40 车辆工程（办学地点：丰满校区）[M-0cc1a6004e240567]；32.41 飞行器制造工程（办学地点：丰满校[M-f1d34bf2f1b6edc4]；33.42 飞行器动力工程（办学地点：丰满校[M-fdfc5a7e4c80a1bc]；34.43 飞行器控制与信息工程（办学地点：丰满校区）[M-46e77e849d2a813b]；35.44 无人驾驶航空器系统工程（办学地点：丰满校区）45（电子信息工程（办学地点：丰满校区）[M-80d4c63495c3c3ea]；36.46 人工智能（办学地点：丰满校区）[M-ca94652ce760ec15]；37.47 计算机科学与技术（办学地点：丰满校[M-c68ca3bc7ad8f085]；38.48 数据科学与大数据技术（办学地点：丰满校区）F585 吉林农业大学（公办）（吉林）[M-d0e59a1154cd46a5],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-f0c78c9f5e3ad64c,STABLEGROUP-63256692085aa59c
