志愿序号,草案梯度,讨论批次,二次核验优先级,是否进入主草表,是否可作为定稿依据,推荐进入原因,核心风险,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,历史线索分层,历史最高等位分差,历史最低等位分差,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,专业明细行数,建议专业1,建议专业2,建议专业3,建议专业4,建议专业5,建议专业6,组内待确认专业摘录,服从调剂草案,二次核验动作,第19期页码,版面列,专业组出现ID,来源候选层
1,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,成都优先城市，数字媒体、软件、计算机、信息安全、人工智能等方向高度贴合。,H0 缺同代码历史线索，且 22 专业大组内非偏好专业多，需优先补历史映射。,K153,成都信息工程大学,K15306,06,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,7,1,6,0,22,26 数字媒体技术（办学地点：航空港校,27 智能科学与技术（办学地点：航空港校,28 软件工程（办学地点：航空港校区）,29 信息安全（办学地点：航空港校区）,33 人工智能（办学地点：航空港校区）,25 计算机科学与技术（办学地点：航空港校区）,13 大气科学（办学地点：航空港校区）(字段缺口待核)；14 应用气象学（办学地点：航空港校区）(字段缺口待核)；15 电子信息工程（办学地点：航空港校(主线偏好-工科信息制造)；16 通信工程（办学地点：航空港校区）(主线偏好-工科信息制造)；17 集成电路设计与集成系统（办学地点：航空港校区）(主线偏好-工科信息制造)；18 测绘工程（办学地点：航空港校区）(字段缺口待核)；19 逻感科学与技术（办学地点：航空港校(字段缺口待核)；20 光电信息科学与工程（办学地点：航空港校区）(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,209,right,G-e377a7e078e92213,personal-fit-v1+round2-updated-preferences
2,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,武汉公办，计算机、软件、物联网、人工智能、电子信息等方向强匹配。,H4，历史最高线高于等位分较多，只能作为冲刺观察。,C128,湖北经济学院,C12815,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,18,-21,6,0,6,0,8,A4 物联网工程,A0 数据科学与大数据技术,A1 统计学（经济大数据分析实验班）,A3 软件工程,AG 人工智能,A5 计算机科学与技术,A2 电子信息工程(主线偏好-工科信息制造)；A7 统计学(调剂接受度待判断),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,75,right,G-a8d2bae2fc9bc289,personal-fit-v1+round2-updated-preferences
3,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件4个、电子/网络4个、机械/自动化/机器人2个；命中优先城市：西安；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K467,西安石油大学,K46706,06,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,4,0,4,0,19,41 网络工程（办学地点：邻邑校区）,38 人工智能（办学地点：鄠邑校区）,40 软件工程（办学地点：鄂邑校区）,39 计算机科学与技术（办学地点：鄂邑校,29 电子信息工程（办学地点：郵邑校区）,30 通信工程（办学地点：鄠邑校区）,27 测控技术与仪器（办学地点：鄂邑校(调剂接受度待判断)；28 电气工程及其自动化（办学地点：鄂邑校区）(主线偏好-工科信息制造)；31 自动化（办学地点：邻邑校区）32/（机械电子工程（办学地点：鄂邑校区）(主线偏好-工科信息制造)；33 过程装备与控制工程（办学地点：邻邑校区）(字段缺口待核)；34 材料成型及控制工程（办学地点：椰邑校区）(字段缺口待核)；35 金属材料工程（办学地点：鄂邑校区）(字段缺口待核)；36 爆接技术与工程（办学地点：鄠邑校(字段缺口待核)；37 新能源材料与器件（办学地点：鄂邑校(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,224,left,G-cdce4e8285a638c4,round2-updated-preferences
4,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件4个、电子/网络4个、机械/自动化/机器人4个、环境1个；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,F117,安徽工业大学,F11702,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,4,0,4,0,26,27 物联网工程（办学地点：佳山校区）,22 人工智能（办学地点：佳山校区）,23 软件工程（办学地点：佳山校区）,18 计算机科学与技术（办学地点：佳山校,10 电子信息工程（办学地点：佳山校区）二高分子材料与工程（办学地点：佳山校,24 通信工程（办学地点：佳山校区）,05 治金工程（办学地点：佳山校区）(字段缺口待核)；06 材料科学与工程（办学地点：秀山校(字段缺口待核)；07 测控技术与仪器（办学地点：佳山校(字段缺口待核)；08 车辆工程（办学地点：佳山校区）(字段缺口待核)；09 电气工程及其自动化（办学地点：佳山校区）(主线偏好-工科信息制造)；12 给排水科学与工程（办学地点：秀山校(字段缺口待核)；13 焊接技术与工程（办学地点：秀山校区）(字段缺口待核)；14 化学工程与工艺（办学地点：佳山校(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,143,right,G-c5ce24d41d1f9e63,round2-updated-preferences
5,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,电子信息/计算机口碑线索较强，计算机、软件、智能科学、网安方向贴合。,H4 且最高差较高，冲刺属性强，不能占稳保位置。,H892,桂林电子科技大学,H89207,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,28,28,3,0,3,0,4,16 软件工程（办学地点：花江校区）,17 智能科学与技术（办学地点：花江校,18 网络空间安全（办学地点：花江校区）,15 计算机科学与技术（办学地点：花江校,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,195,right,G-417e0ee6247dac7a,personal-fit-v1+round2-updated-preferences
6,冲刺,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,西安优先城市，软件、物联网、电子信息方向。,H4 且结构边界需核，需确认没有串校或串组。,K481,西安文理学院,K48103,03,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,28,28,2,0,2,0,3,04 物联网工程（办学地点：高新校区）,03 软件工程（办学地点：高新校区）,05 电子信息工程（办学地点：高新校区）K482榆林大学（公办）（陕西）,,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,225,right,G-59cc65da1e42ff02,personal-fit-v1+round2-updated-preferences
7,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件4个、电子/网络1个、机械/自动化/机器人2个；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,F469,沈阳化工大学,F46904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,4,0,4,0,8,21 数据科学与大数据技术,18 人工智能,20 软件工程,19 计算机科学与技术,16 电子信息工程,15 电气工程及其自动化,14 金属材料工程(调剂接受度待判断)；17 自动化(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,114,left,G-f6e80face9e2eb1d,round2-updated-preferences
8,冲刺,B1-冲刺和城市观察批,V1-先核冲刺线和章程限制,true,false,命中方向：计算机/AI/软件3个、电子/网络2个、师范5个、环境1个；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K752,新疆师范大学,K75205,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H4-历史最高线高于等位分16-30分,16,-16,7,0,3,5,17,37 计算机科学与技术（师范类；办学地点：昆仑校区）,39 数据科学与大数据技术（办学地点：昆仑校区）,38 软件工程（办学地点：昆仑校区）,35 电子信息科学与技术（高考数学单科感绩不低于60分；办学地点：昆仑校,36 光电信息科学与工程（高考数学单科成绩不低子60分；办学地点：昆仑校,31 数学与应用数学（师范类：高考数学单科成绩不低于80分；办学地点：温泉校区）,32 信息与计算科学（高考数学单科成绩不低于80分：办学地点：温泉校区）(字段缺口待核)；33 应用统计学（高考数学单科成绩不低于80分；办学地点：温泉校区）(字段缺口待核)；34 物理学（师范类；高考数学单科成绩不低芋60分；办学地点：昆仑校区）(可了解-师范)；40 逼感科学与技术（办学地点：温泉校(字段缺口待核)；4 化学（师范类；办学地点：昆仑校区）(可了解-师范)；42 化学工程与工艺（办学地点：昆仑校区）(字段缺口待核)；43 环境工程（办学地点：昆仑校区）(可了解-环境)；44 生物科学（师范类；办学地点：温泉校(可了解-师范),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,234,right,G-7694bcd996e8e798,round2-updated-preferences
9,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件3个、电子/网络1个、机械/自动化/机器人1个、师范2个、农业1个；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,H228,闽南师范大学,H22807,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,5,0,3,2,8,18 数据科学与大数据技术（办学地点：圆,16 人工智能（办学地点：圆山校区）,17 软件工程（一、二年学费5040元/生•学年，三、四年学费 13360元/生•学年；办学地点：圆山校区）,15 电子信息工程（办学地点：圆山校区）,14 电气工程及其自动化（办学地点：圆山,11 数学与应用数学（师范类；办学地点：,12 智慧农业（办学地点：江滨校区）(可了解-农业相关)；13 物理学（师范类；办学地点：圆山校区）(可了解-师范),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,149,left,G-f89fb379db82f5fa,round2-updated-preferences
10,冲刺待补历史,B1-冲刺和城市观察批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件3个、电子/网络2个、机械/自动化/机器人1个、师范2个；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K003,海南师范大学,K00316,16,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H0-无同代码历史线索,,,4,0,2,2,9,37 数据科学与大数据技术（办学地点：桂林洋校区）,43 人工智能（办学地点：桂林洋校区）,42 网络空间安全（办学地点：桂林洋校,40 电子信息科学与技术（办学地点：龙昆南校区）,41 光电信息科学与工程（办学地点：龙昆南校区）,39 自动化（办学地点：龙昆南校区）,35 数学与应用数学（师范类；办学地点桂林洋校区）(可了解-师范)；36 统计学（办学地点：桂林洋校区）(字段缺口待核)；38 物理学（师范类；办学地点：龙昆南校(可了解-师范),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,201,right,G-513747ad7c67d888,round2-updated-preferences
