第二轮候选ID,第二轮池,第二轮层级,建议梯度,专业角色判断,第二轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,调剂接受度待判断,,false,H315,景德镇陶瓷大学,H31502,1,03,无机非金属材料工程（除患有《普通高等学校招生体检工作指导意见》中第一部分所列严重疾病（严重心脏病、軍症支气管扩张、恶性肿瘤、严重精神单色病等）者学校不予录取外，色盲、识别不全均不予录取：办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,化学,2,4940,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,left,M-dafaa1f0250c2d7a,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,可了解-环境,环境工程科学,false,H315,景德镇陶瓷大学,H31502,2,04,环境工程（除患有《普通高等学校招生G◎◎,,待了解-未命中当前偏好方向,,,1,4940,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,left,M-e2867b6e6e3ebf2f,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,3,K,AA完校代号体检工作指导意见》中第一部分所列严重疾病（严重心脏病、重症支气營扩张、恶性肿瘤、严車精神病等）者学校不千录取外，色弱、色育、单色识别不全均不予录取；办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,,,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-c50ea7f2fdfa8caf,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,4,05,材料化学（除患有《普通高等学校招生体检工作指导意见，中第一部分所烈严童疾病（严重心脏病、重症支气管扩张、恶性肿瘤、严重精神病等）煮学校不予录取外，色弱、色直、单色识别不全均不予录取：办学地点：湘湖校区,,暂缓判断-特殊限制待核,体检或色觉限制,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-aacaeb292c0f00f1,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,5,06,材料物理（除患有《普通高等学校招生体检工作指导意见》中第一部分所列严童疾病（严重心脏病、重症支气管扒张、恶性肿瘤、严重精神病签）煮学校不子录取外，色真、单色识别不全均不予录取；办学地点：湘湖校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-a62d61c712ae03d6,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,6,07,粉体材料科学与工程（办学地点：湘湖,,待了解-未命中当前偏好方向,,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-8a8ceef709511ea3,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,7,08,新能源材料与器件（办学地点：湘湖校,,待了解-未命中当前偏好方向,,,,4940,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-be8e56aa63631336,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,主线偏好-工科信息制造,机械自动化机器人,false,H315,景德镇陶瓷大学,H31502,8,09,机械设计制造及其自动化（办学地点：湘湖校区）,,待了解-未命中当前偏好方向,,,2,4940,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-d6c91e9235b8bcea,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,H315,景德镇陶瓷大学,H31502,9,10,电子科学与技术（办学地点：湘湖校计算机科学与技术（除患有《普通高等学校招生体检工作指导意见〉中第部分所列严重疾病（严重心脏病、重症恶性肿瘤、黑重精神病支气管扩张示器上识别红、一颜色数码/字母者不予录取；办学地点：湘湖校区）,计算机类相关,暂缓判断-特殊限制待核,体检或色觉限制,,1,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-affa333b6ee166d5,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,主线,M3-冲刺主线观察,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,10,12,信息与计算科学（办学地点：湘湖校,,待了解-未命中当前偏好方向,,,,5220,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-4217a77c4b4d180d,G-95b37b0322d929ba
