来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,2026院校专业组代码,院校代码,院校名称,来源页码,页图文件名,证据来源,结构化命中,专业明细行数,零明细原因,V2定位结论,偏好方向,风险类型,默认不能接受专业数,默认不进主方案专业数,待家庭确认专业数,字段异常专业数,异常学费专业数,历史投档线可沿用,历史线基准来源,历史线说明,原PDF页人工核验状态,湖北官方系统/省招办计划核验状态,高校官网/招生章程核验状态,家庭接受度核验状态,调剂结论状态,全部专业已复核,组内调剂机器初判,候选闸门状态,可进入最终候选,当前复核优先级,升级缺口,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,北京语言大学 A03208 第08组,A03208,A032,北京语言大学,17,page-017.png,full_ocr_draft,是,1,,需风险复核：中外合作或高收费,,中外合作或高收费,0,1,0,1,1,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含高收费/中外合作/超预算风险,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉体育学院 C10702 第02组,C10702,C107,武汉体育学院,69,,page_code_audit_only,否,0,group_not_found_or_code_changed,第19期候选页未见该组号，按2026组号变化/旧组号处理,,,0,0,0,0,0,false,group_not_found_or_code_changed,当前第19期页码和结构化表均无可用专业明细,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,不可判断：当前无专业明细，需先定位2026专业组或补齐组内专业,pending_verification,false,P0-组号定位和页图边界,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉体育学院 C10703 第03组,C10703,C107,武汉体育学院,69,page-069.png,page_visual_review_seed,是,7,,需风险复核：医学/护理等排除方向,师范类相关,医学/护理等排除方向,1,0,6,0,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉体育学院 C10704 第04组,C10704,C107,武汉体育学院,69,page-069.png,page_visual_review_seed,否,3,,页面有组号但结构化漏拆，必须按页图重核,计算机类相关,医学/护理等排除方向,2,0,1,0,0,pending,pending_structured_group_repair,页面可见但结构化漏拆，需先确认2026组号与历史线对应关系,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P0-组号定位和页图边界,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,同页相邻风险组,武汉体育学院 C10703/C10704 同页边界复核,C10705,C107,武汉体育学院,69,page-069.png,page_visual_review_seed,是,1,,需风险复核：中外合作或高收费；医学/护理等排除方向；学费超过当前上限,,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,1,0,0,0,0,false,pending_new_group_evidence,非历史候选补充组不能沿用原候选历史投档线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉轻工大学 C12508 第08组,C12508,C125,武汉轻工大学,74,page-074.png,full_ocr_draft,是,21,,需风险复核：医学/护理等排除方向,,医学/护理等排除方向,5,0,16,21,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉商学院 C15003 第03组,C15003,C150,武汉商学院,80,page-080.png,full_ocr_draft,是,22,,需风险复核：语种或单科限制,计算机类相关,语种或单科限制,0,0,22,21,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内含体检、色觉、语种、单科或特殊类型限制,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉商学院 C15004 第04组,C15004,C150,武汉商学院,80,page-080.png,full_ocr_draft,是,4,,可进入人工逐字段复核,计算机类相关,,0,0,4,3,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内存在 OCR 字段或结构异常,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉商学院 C15005 第05组,C15005,C150,武汉商学院,80,page-080.png,full_ocr_draft,是,4,,可进入人工逐字段复核,,,0,0,4,3,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内存在 OCR 字段或结构异常,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉商学院 C15006 第06组,C15006,C150,武汉商学院,80,page-080.png,full_ocr_draft,是,3,,可进入人工逐字段复核,,,0,0,3,2,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内存在 OCR 字段或结构异常,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,武汉商学院 C15007 第07组,C15007,C150,武汉商学院,81,page-081.png,full_ocr_draft,是,2,,需风险复核：中外合作或高收费；学费超过当前上限,师范类相关,中外合作或高收费,0,2,0,2,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含高收费/中外合作/超预算风险,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,同校偏好专业补充组,成都理工大学 K15123 第23组,K15114,K151,成都理工大学,208,page-208.png,page_visual_review_seed,是,3,,同校同页发现偏好专业，补入复核但不能沿用原候选历史线,数字媒体技术；计算机类相关,体检或色觉限制,0,0,3,0,0,false,pending_new_group_evidence,非历史候选补充组不能沿用原候选历史投档线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内含体检、色觉、语种、单科或特殊类型限制,pending_verification,false,P1-限制条件核验,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,成都理工大学 K15123 第23组,K15123,K151,成都理工大学,208；209,,page_code_audit_only,否,0,group_not_found_or_code_changed,第19期候选页未见该组号，按2026组号变化/旧组号处理,,,0,0,0,0,0,false,group_not_found_or_code_changed,当前第19期页码和结构化表均无可用专业明细,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,不可判断：当前无专业明细，需先定位2026专业组或补齐组内专业,pending_verification,false,P0-组号定位和页图边界,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,成都医学院 K17801 第01组,K17801,K178,成都医学院,212,page-212.png,full_ocr_draft,是,1,,需风险复核：体检或色觉限制；医学/护理等排除方向,,体检或色觉限制；医学/护理等排除方向,1,0,0,1,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,成都医学院 K17802 第02组,K17802,K178,成都医学院,212,page-212.png,full_ocr_draft,是,1,,需风险复核：体检或色觉限制；医学/护理等排除方向,师范类相关,体检或色觉限制；医学/护理等排除方向,1,0,0,1,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含当前明确不能接受专业,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,成都师范学院 K17903 第03组,K17903,K179,成都师范学院,212,page-212.png,full_ocr_draft,是,1,,可进入人工逐字段复核,,,0,0,1,0,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,待家庭逐专业确认：当前未触发默认排除，但仍未完成调剂判断,pending_verification,false,P3-常规复核,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,同校偏好专业补充组,成都师范学院 K17903 第03组,K17905,K179,成都师范学院,212,page-212.png,full_ocr_draft,是,1,,同校同页发现偏好专业，补入复核但不能沿用原候选历史线,数字媒体技术,,0,0,1,1,0,false,pending_new_group_evidence,非历史候选补充组不能沿用原候选历史投档线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,暂不可判断：组内存在 OCR 字段或结构异常,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,西安建筑科技大学 K46505 第05组,K46505,K465,西安建筑科技大学,223,page-223.png,full_ocr_draft,是,1,,需风险复核：中外合作或高收费；学费超过当前上限,,中外合作或高收费,0,1,0,0,0,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含高收费/中外合作/超预算风险,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_verification_workbench,false,历史候选,西安财经大学 K48504 第04组,K48504,K485,西安财经大学,226,page-226.png,full_ocr_draft,是,1,,需风险复核：中外合作或高收费,,中外合作或高收费,0,1,0,1,1,pending,historical_candidate_pending_2026_confirmation,需确认2026专业组与历史投档组稳定对应后再使用历史线,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,false,默认不可服从：组内含高收费/中外合作/超预算风险,pending_verification,false,P1-风险或字段异常,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验,按升级缺口逐项补证据，未全部完成前不得进入冲稳保排序
