个性化候选ID,候选主线,本轮分层,家庭讨论动作,是否进入本轮家庭讨论,是否可作为定稿依据,专业角色判断,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,第19期页码,版面列,专业行ID,专业组出现ID,下一步核验动作
PFITGROUP-04c2f264a2ff04e0,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A085,哈尔滨工程大学,A08521,1,34,机盛设让制晋及基息致化（中外合作办学）（与英国斯旺西大学合作，模式，中英文授课，入学不得转专业）,,默认不能接受-高收费或超预算,中外合作或高收费,,,44300,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,25,right,M-b7b4736d8d08f8c5,G-ee92fc651b6a40ec,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-04c2f264a2ff04e0,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A085,哈尔滨工程大学,A08521,2,35,材料物理（中外合作办学）（与英国斯旺西大学合作.异常考生）,,默认不能接受-高收费或超预算,中外合作或高收费,,,44300,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,25,right,M-5482d27ee4364f5e,G-ee92fc651b6a40ec,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-04c2f264a2ff04e0,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A085,哈尔滨工程大学,A08521,3,36,电子信息工程（中外合作办学）（与英国阿伯丁大学合作“3+！”模式，中英文授课，入学不得转专业）,,默认不能接受-高收费或超预算,中外合作或高收费,,,45000,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,25,right,M-9eefd8156e6ff84c,G-ee92fc651b6a40ec,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A366,厦门大学（马来西亚校区）,A36603,1,08,化学工程与工艺（厦门大学马来西亚分校招生专业；学费币种：林吉特外语英文授课，非英语语种考生慎报单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,,默认不能接受-高收费或超预算,语种或单科限制,,2,30000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-565d37bebd05cab1,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A366,厦门大学（马来西亚校区）,A36603,2,09,新能源科学与工程（厦门大学马来西要分校招生专业；学费币种：林壴特全英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦,,默认不能接受-高收费或超预算,语种或单科限制,,2,31000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-3e09d2f2ca00491c,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,A366,厦门大学（马来西亚校区）,A36603,3,10,计算机科学与技术（厦门太学马来西亚分校招生专业：学费币种：林吉特金英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标夹语成须后尹始学位课程学习.办学地点在马来西亚雪邦）,计算机类相关,默认不能接受-高收费或超预算,语种或单科限制,,2,31000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-dfdacba2ae93a029,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,偏好或可研究专业,A366,厦门大学（马来西亚校区）,A36603,4,11,软件工程（厚门大学马来西亚分校招生专业；学费币种：林吉特：全英文招课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,计算机类相关,默认不能接受-高收费或超预算,语种或单科限制,,2,31000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-eb5a832e02258f26,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,费用或培养模式需核专业,A366,厦门大学（马来西亚校区）,A36603,5,12,电子信息工程（厦门大学马来西亚分校招生专业：学费币种：林吉特：含英文授课，非英语语种考生馍报，外语身科示低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪,,默认不能接受-高收费或超预算,语种或单科限制,,3,31000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-adfffa085f089974,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,字段缺口待核专业,A366,厦门大学（马来西亚校区）,A36603,6,13,数学与应用数学（厦门大学马来西亚AKAZG院校专业组及—业代号分校招生专业；学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,,暂缓判断-特殊限制待核,语种或单科限制,,,,3,再选科目；专业计划数；学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,63,right,M-aa7c01a909a8ed49,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,字段缺口待核专业,A366,厦门大学（马来西亚校区）,A36603,7,14,物理学（夏门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）,,暂缓判断-特殊限制待核,语种或单科限制,,,1,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,64,left,M-9ac2f162e0a5d6cc,G-fbfabe51ff5f6b94,整组逐专业核第19期原页、湖北官方侧、章程限制、学费、计划数和调剂接受度。
