G0冲突字段补证执行包公开账本ID,来源G0冲突字段准出门禁公开账本,来源G0冲突字段准出门禁页列汇总,来源G0冲突字段准出门禁摘要,来源G0冲突字段复核Overlay公开账本,来源G0冲突字段复核Overlay页列汇总,来源私有G0字段复核Overlay,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,补证执行包序号,页码版面键,来源页码,版面列,字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,回接泳道分布,准出门禁状态分布,主缺口桶分布,PDF原页记录缺口字段数,湖北官方记录缺口字段数,高校辅证记录缺口字段数,冲突处理缺口字段数,双人复核缺口字段数,三方一致性缺口字段数,字段确认缺口字段数,写回评审缺口字段数,可进入私有写回评审字段数,补证执行优先级,补证执行泳道,补证最小动作组合,页列执行状态,页列准出状态,私有G0页列CSV证据编号,私有G0页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,字段事实集合SHA256,任务集合SHA256,专业行集合SHA256,字段复核记录SHA集合SHA256,补证执行项集合SHA256,下一步页列补证动作,公开安全策略
G0FIELDEXECPACKET-9552260025389478,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,1,018-left,18,left,12,4,4,1,专业计划数:4；再选科目:4；学费:4,R1-B2冲突字段双人核页前回接高校线索:3；R2-B2冲突字段核页提示回接:9,blocked_missing_required_field_evidence:12,G0-缺PDF原页记录:12,12,12,12,12,3,12,12,12,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,15f0b165d329f19ed1fb2ee8e85d0acca8f8372868a422fdf2e1b03f714303f7,b83e6d4f79d082acfa8cc896ee99cac027700e38301e7836242032989a3f729a,871f7f6b49e4fbaf05269fb87cd5754e64dae3a9730f19e0a6939a685cc1670d,58e6dac630c758cc91babc11bb0aa894daa580a0cb4390cc1d31f60d52c2f4be,c968682d8881c5655b725697ad58bae5b4815022ccd0794f29ba0c0414bba16f,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-9a80833ac9a5171c,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,2,037-left,37,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R1-B2冲突字段双人核页前回接高校线索:3,blocked_missing_required_field_evidence:3,G0-缺PDF原页记录:3,3,3,3,3,3,3,3,3,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,45a47415a02e026a0c68c7386f360c02d6967355370f7892307a66cd48cf81e8,4f352aec8b89e507758a0d97c6874dcfc3b914995781cad930da80cf600e0be5,c1d4cd0b83598667aee2b3561ed597c7abb77752b458aaadaef2db88323f4b32,88d461dcedfd8b4d4c3e0b15c47e9b4ea9a70ebd91f2fb59a8a34cc40f0e9de2,daa60d91c583d481414c6ff2971577e713cb8f7bf141c7c7953ca65a1c978464,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-f57242f368ef88e6,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,3,056-left,56,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R0-B1结构化接入候选优先回接私有核验:3,blocked_missing_required_field_evidence:3,G0-缺PDF原页记录:3,3,3,3,3,0,3,3,3,0,P2-常规冲突字段页列,R1-冲突字段单人初核后抽检复核,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,4d7da1ab2555b61fd177c3c2a3fec2606a6c489549ec0b624aa5b8b80cad1120,fa64cdfbc22f1237ae3cf958cfb9b3aa0745d11710df31c8fb0874c68f63a847,0ac1672521ad9c1e9004bf81b4972bba05b03788ba5910911b15931f58c0b530,137a087d9fde5a4a6bb0102955dca26b3fb7236a4f64a92de1fcf7dd95e6afe9,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-4697a3731544bca9,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,4,135-left,135,left,21,10,10,1,专业计划数:10；再选科目:1；学费:10,R1-B2冲突字段双人核页前回接高校线索:21,blocked_missing_required_field_evidence:21,G0-缺PDF原页记录:21,21,21,21,21,21,21,21,21,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,341184f10270fbdb2f0c3e81355e50894f0ac0d659248439b743088fcf7ffcc9,686493426e0aa0a7206688f89894e9cd970b0679c68fa8e6f3ea956e4f005af9,62aa5a50147bcc50e739a287dfab6e447dfcfc3ee94f23520eac4ef56848db00,8d6c65146f7b495834d7240fd8de85b07ff5ab45286ac58ac2dc0e6304dfd511,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-69efd78fb158d16d,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,5,137-right,137,right,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R1-B2冲突字段双人核页前回接高校线索:3,blocked_missing_required_field_evidence:3,G0-缺PDF原页记录:3,3,3,3,3,3,3,3,3,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-137-right,988d25428cc00ecce3b58105dd1335300409e4edc8b20303ceedb639fa4143ea,FIRST-CLOSURE-REVIEW-HTML-137-right,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,dbd8e440e0c982ff30b38bfd5a5d944ef52d1b4279ec0a2c7d4614cb75255f4e,627b4317db4c94ebf93dd3cb22dbca1122b9957a367a22ee1da350c3afb92d6c,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-8cd1a60c6f631fc8,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,6,169-right,169,right,2,1,1,1,专业计划数:1；学费:1,R0-B1结构化接入候选优先回接私有核验:2,blocked_missing_required_field_evidence:2,G0-缺PDF原页记录:2,2,2,2,2,2,2,2,2,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-169-right,2198e9c15313021fb32768b508cd37bd756c554ca9045fb173a79c3e2109f1df,FIRST-CLOSURE-REVIEW-HTML-169-right,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,493c0c8594ca2e013157c00afa750ad821999dc26a8a22c33d664dd6f1e4c664,cfcd68f6309b88f619c5eaa42ea708af42a3bb8a800c147553fab7b939e01dae,e60471834035417a029dc18b2de52cbbd86089e7c561d9433ec9fc9273426438,9344495ea4359fcd49b3b15f34b8a0011f67e631d9da55f2fa71dcff3a3ea2ff,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-135f7eb51adc7a7c,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,7,199-left,199,left,9,3,3,1,专业计划数:3；再选科目:3；学费:3,R1-B2冲突字段双人核页前回接高校线索:9,blocked_missing_required_field_evidence:9,G0-缺PDF原页记录:9,9,9,9,9,9,9,9,9,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-199-left,3fdbf22229820387aa1a6615cae143f8774d378c03abf5b1726569a6c0b2173b,FIRST-CLOSURE-REVIEW-HTML-199-left,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,eab9e8607a4f84e622fd978f5086771a32034e21e0752cf81052871c223b07a1,98a0f02e329fff581dd451d7134f867099334d8a2dd7d38db7357c4fc41235ed,545aafa084ebfc435812e1127db520d09aa7b31b3bc203d6d3abd6f840ccc935,ea78faf52f296b583a6d01edcba20b3b1ad79c9d92aa1bd5b93995816f5c6eaf,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-4b1ded4eb47c2a9f,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,8,209-right,209,right,6,2,2,1,专业计划数:2；再选科目:2；学费:2,R1-B2冲突字段双人核页前回接高校线索:6,blocked_missing_required_field_evidence:6,G0-缺PDF原页记录:6,6,6,6,6,6,6,6,6,0,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成双人复核；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-209-right,e65eaa808feab67cf1ce973f5c6383a08e556864136dc81731dc8a46a01ff8f3,FIRST-CLOSURE-REVIEW-HTML-209-right,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,5089eebe2fe6a8fa5522d73dbe74010b19997557c9030f8c2d572aaf7b1a4bae,072dd5bf2b0990f83def2f41f4269577ee089e8b86cd91e0d8b2e3b89742043e,f4a4e18b08ed402668cb83f7bf61073623f78f6cfa3050d21946024ac13eb26c,5ec1cea993f33b9d5ba6f827e7ee2e0a3d41de6640632b33c7710d6c7120874d,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-2563655a977c39cd,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,9,226-left,226,left,3,1,1,1,专业计划数:1；再选科目:1；学费:1,R2-B2冲突字段核页提示回接:3,blocked_missing_required_field_evidence:3,G0-缺PDF原页记录:3,3,3,3,3,0,3,3,3,0,P2-常规冲突字段页列,R1-冲突字段单人初核后抽检复核,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-226-left,abc71c328166506bfac1c155960e4929199d335a5962c47fd63b7adb833ed472,FIRST-CLOSURE-REVIEW-HTML-226-left,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,847c7c54bd72de365bdda6b2ab03f795a769b5dddce8c1f4fb312efea799978b,33b5db107016a04c5a2ea28b640487c46abe8a079421182a2f66c0a890cebd51,fa3c9132c64b850dda0b2e760dcd8e9e7c70f196747a05b0711a093fd6a20343,6b0d48f8ced7bd8c1b10920b1498cdd8f708bd48deb064cbe49eb58411280220,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
G0FIELDEXECPACKET-00ab4a2dfb82454e,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-resolution-gate-v1-summary.json,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-review-overlay-v1-page-summary.csv,g0_conflict_field_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_execution_packets_v1,G0冲突字段页列补证执行包,页列×字段补证执行包,false,false,false,false,false,false,false,false,false,10,226-right,226,right,6,2,2,1,专业计划数:2；再选科目:2；学费:2,R2-B2冲突字段核页提示回接:6,blocked_missing_required_field_evidence:6,G0-缺PDF原页记录:6,6,6,6,6,0,6,6,6,0,P1-字段数较多冲突页列,R1-冲突字段单人初核后抽检复核,补PDF原页记录；补湖北官方记录；补高校辅证记录；处理PDFOCR与高校辅证冲突；完成三方一致性判断；完成字段确认；提交写回前评审,pending_private_evidence_collection,blocked_missing_required_field_evidence,G0FIELD-PRIVATE-PAGE-226-right,d70d7776c065165e5a98f203bfc7a22503881667942bacd522a94737e85b50ea,FIRST-CLOSURE-REVIEW-HTML-226-right,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,5dccde714248e8eaa7ab4639626d9e4378659af2eefd98f41cb5c09f2bd8982c,1c003f4532ef56430a6c1d3605dd5b537cd3478e45f81900c321675f05bf356e,5673d267b40e3dc3f9f6882a6cd2cbcfc855df04e1f02caa1d4a4c95dca39d21,3d1887b2aec71626d3b7f5288cdb0863807208e21ba80cc272cc46bc97924a90,按页列打开本地未公开核页材料，逐字段补PDF原页记录、湖北官方记录和高校辅证记录；冲突与必要双人复核完成前不得写回。,公开层只保存页列ID、缺口计数、证据编号和SHA；字段明细、OCR文本、学校专业明细和本地核验内容不公开。
