第四轮5万专项候选ID,费用场景,年学费上限,5万内中外合作或高收费专业数,超过5万专业数,费用待核专业数,场景内最低学费,场景内最高学费,5万内专业摘要,费用风险提示,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4FEEGROUP-d0f77ca74f01e03d,5万内中外合作/高收费专项,50000,2,0,0,18000,18000,23 工商管理类（参计学、人力资源管理、市场营销：外语单科成绩不低于，90分（中英双语教学，非英语语种考生候报）：办学地点：亚心校区）｜学费:18000｜预算内中外合作/高收费可讨论；24 经济与贸易类（国际经济与贸易；外语单科成绩不低于90分（中英双语教学，非英语语种考生慎报）：办学地点：亚心校区）｜学费:18000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,新疆维吾尔自治区,新疆维吾尔自治区,,K749,新疆农业大学,K74905,05,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -6 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；475-481=-6；481-497=-16；474-494=-20；历史最高等位分差=-6。,515,91723,494,497,481,474,474-494=-20,481,481-497=-16,475,475-481=-6,3,2023；2024；2025,474-481,475-481=-6；481-497=-16；474-494=-20,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.23 工商管理类（参计学、人力资源管理、市场营销：外语单科成绩不低于，90分（中英双语教学，非英语语种考生候报）：办学地点：亚心校区）[M-3c53de092ff30374]；2.24 经济与贸易类（国际经济与贸易；外语单科成绩不低于90分（中英双语教学，非英语语种考生慎报）：办学地点：亚心校区）[M-ef2c863a461ecf2c],亚心校区,233,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,78.0,G-f09d5dd76c933814,STABLEGROUP-9aaf73286188cefa
R4FEEGROUP-ecea493b08d88824,5万内中外合作/高收费专项,50000,1,0,0,6000,6000,15 金融学（中俄学院招告，由经济与工商管理学院培养：俄语课程四年不断线，部分专业课程由俄罗斯新西伯利亚国立大学致师讲授：学业成绩优秀者，可获国家留学基金委公派赴俄罗斯留学资格，留学遵循自愿原则）｜学费:6000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,哈尔滨市,教育部所在地,哈尔滨市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,黑龙江省,黑龙江省,,F683,黑龙江大学,F68307,07,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 25 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；519-494=+25；历史最高等位分差=25。,515,91723,494,497,481,519,519-494=+25,,,,,1,2025,519,519-494=+25,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.14 国际经济与贸易[M-5c0fbd6ec23cb031]；2.15 金融学（中俄学院招告，由经济与工商管理学院培养：俄语课程四年不断线，部分专业课程由俄罗斯新西伯利亚国立大学致师讲授：学业成绩优秀者，可获国家留学基金委公派赴俄罗斯留学资格，留学遵循自愿原则）[M-52e7071dac6afe1f],,123,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,45.75,G-2aa19e81fc2eb609,STABLEGROUP-3cea5055eebb6974
R4FEEGROUP-e3c1a7f010929778,5万内中外合作/高收费专项,50000,2,0,0,20000,20000,08 软件工程（国际本科学术互认课程专业：办学地点：四平校区）｜学费:20000｜预算内中外合作/高收费可讨论；09 环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）｜学费:20000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,四平市,教育部所在地,四平市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,吉林省,吉林省,,F589,吉林师范大学,F58906,06,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；484-481=+3；507-497=+10；493-494=-1；历史最高等位分差=10。,515,91723,494,497,481,493,493-494=-1,507,507-497=+10,484,484-481=+3,3,2023；2024；2025,484-507,484-481=+3；507-497=+10；493-494=-1,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.08 软件工程（国际本科学术互认课程专业：办学地点：四平校区）[M-2f865ec3d85aab83]；2.09 环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）[M-3711f34adca30e97],四平校区,121,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,76.5,G-32706d004516e53e,STABLEGROUP-eacc0514b1aca3ea
R4FEEGROUP-c4bbab27acb025ba,5万内中外合作/高收费专项,50000,1,0,0,26000,26000,10 电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）｜学费:26000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,四平市,教育部所在地,四平市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,吉林省,吉林省,,F589,吉林师范大学,F58907,07,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 8 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；489-481=+8；493-497=-4；501-494=+7；历史最高等位分差=8。,515,91723,494,497,481,501,501-494=+7,493,493-497=-4,489,489-481=+8,3,2023；2024；2025,489-501,489-481=+8；493-497=-4；501-494=+7,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.10 电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）[M-0d32217adcdfa38c],,121,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,60.0,G-10adbbd8abe0ef20,STABLEGROUP-fb545e7d08c28859
R4FEEGROUP-8ce7adefdb4bcd06,5万内中外合作/高收费专项,50000,2,0,0,28000,28000,12 億息与计算科学（中外合作办学）（中美合作办学，4年国内学习，要求高考外请成绩不低于 100分：办学地点：风｜学费:28000｜预算内中外合作/高收费可讨论；11 机械设计制造及其自动化（中外合作办学）（中美合作办学，4年国内学习票求高考外语成绩不低于100分；办学地点：前湾校区）｜学费:28000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,宁波市,教育部所在地,宁波市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,浙江省,浙江省,,H021,宁波工程学院,H02104,04,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 28 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；508-481=+27；508-497=+11；522-494=+28；历史最高等位分差=28。,515,91723,494,497,481,522,522-494=+28,508,508-497=+11,508,508-481=+27,3,2023；2024；2025,508-522,508-481=+27；508-497=+11；522-494=+28,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.11 机械设计制造及其自动化（中外合作办学）（中美合作办学，4年国内学习票求高考外语成绩不低于100分；办学地点：前湾校区）[M-b9e022d95a847f1d]；2.12 億息与计算科学（中外合作办学）（中美合作办学，4年国内学习，要求高考外请成绩不低于 100分：办学地点：风[M-d1bd6329cbfd58e0]；3.H0 22 浙江水利水电学院（公办）（浙江）[M-b04ff677ea587f69],前湾校区,141,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,57.0,G-b962a2f16e1e45e8,STABLEGROUP-c7cf4dea1feaa882
R4FEEGROUP-a9dbe4bdfa34ad25,5万内中外合作/高收费专项,50000,2,0,0,35000,40000,"54 物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）｜学费:40000｜预算内中外合作/高收费可讨论；53 经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）｜学费:35000｜预算内中外合作/高收费可讨论",2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,武汉市,教育部所在地,武汉市,武汉,武汉,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,machine_school_name_keyword_unverified,machine_ocr_remark_candidate_unverified,湖北省,湖北省,,C150,武汉商学院,C15007,07,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 9 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；490-481=+9；482-494=-12；历史最高等位分差=9。,515,91723,494,497,481,482,482-494=-12,,,490,490-481=+9,2,2023；2025,482-490,490-481=+9；482-494=-12,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,"1.53 经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）[M-c4caa515d5d04f28]；2.54 物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）[M-41b02b5d8de0b251]",大一在马影河校区；大二起在后官湖校区；大一在马影河校区；大起在后官湖校区,81,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,71.75,G-c17bbc8198fca6e9,STABLEGROUP-30cea7ba8f19bcca
R4FEEGROUP-968c1f71df500d20,5万内中外合作/高收费专项,50000,3,0,0,46000,46000,29 计算机科学与技术（中外合作办学）H680 湖南城市学院（公办）（湖南）｜学费:46000｜预算内中外合作/高收费可讨论；27 机械电子工程（中外合作办学）｜学费:46000｜预算内中外合作/高收费可讨论；28 电子信息工程（中外合作办学）｜学费:46000｜预算内中外合作/高收费可讨论,3个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,湘潭市,教育部所在地,湘潭市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,湖南省,湖南省,,H679,湖南工程学院,H67904,04,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 23 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；520-497=+23；历史最高等位分差=23。,515,91723,494,497,481,,,520,520-497=+23,,,1,2024,520,520-497=+23,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.27 机械电子工程（中外合作办学）[M-f192510950bf42d8]；2.28 电子信息工程（中外合作办学）[M-a6e973b25b0a493d]；3.29 计算机科学与技术（中外合作办学）H680 湖南城市学院（公办）（湖南）[M-27dd18befd427278],,183,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,87.25,G-ada8c53eb1c0a537,STABLEGROUP-604d5c3a59b8cb3c
R4FEEGROUP-f18bdc070f91009d,5万内中外合作/高收费专项,50000,1,0,0,36000,36000,14 烹饪与营养教育（中外合作办学）（师范类：高收费专业；办学地点：寸金校H780 肇庆学院（公办）（广东）｜学费:36000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,湛江市,教育部所在地,湛江市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,广东省,广东省,,H779,岭南师范学院,H77908,08,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 5 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；465-481=-16；502-497=+5；历史最高等位分差=5。,515,91723,494,497,481,,,502,502-497=+5,465,465-481=-16,2,2023；2024,465-502,465-481=-16；502-497=+5,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.14 烹饪与营养教育（中外合作办学）（师范类：高收费专业；办学地点：寸金校H780 肇庆学院（公办）（广东）[M-36d24ac1f2278f7b],,188,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,56.75,G-f77a45c0fc1833c0,STABLEGROUP-19778f4cd29e279d
R4FEEGROUP-13ca791063250feb,5万内中外合作/高收费专项,50000,1,0,0,25000,25000,51 数字媒体技术（中外合作办学）｜学费:25000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,荆门市,教育部所在地,荆门市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,湖北省,湖北省,,C139,荆楚理工学院,C13909,09,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；469-481=-12；485-497=-12；484-494=-10；历史最高等位分差=-10。,515,91723,494,497,481,484,484-494=-10,485,485-497=-12,469,469-481=-12,3,2023；2024；2025,469-485,469-481=-12；485-497=-12；484-494=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.51 数字媒体技术（中外合作办学）[M-9972ec03f5ca7339],,80,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,74.0,G-8167189bef4db0a8,STABLEGROUP-ffb5883aaaa98444
R4FEEGROUP-5f8fe3e7b77a29c0,5万内中外合作/高收费专项,50000,1,0,0,36000,36000,52 电气工程及其自动化（中外合作办学）｜学费:36000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,5万内高收费/中外合作主表,true,false,荆门市,教育部所在地,荆门市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,湖北省,湖北省,,C139,荆楚理工学院,C13910,10,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -9 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；472-481=-9；487-497=-10；471-494=-23；历史最高等位分差=-9。,515,91723,494,497,481,471,471-494=-23,487,487-497=-10,472,472-481=-9,3,2023；2024；2025,471-487,472-481=-9；487-497=-10；471-494=-23,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.52 电气工程及其自动化（中外合作办学）[M-958d3fb3fd3be488],,80,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,66.0,G-cc57a2af04df460d,STABLEGROUP-27c78f576d30e88c
