第一轮候选ID,第一轮层级,建议梯度,入选理由,风险提示,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R1GROUP-e9a7e4c1226389c9,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：计算机相关8个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,8,0,8,0,0,0,0,15,V1-偏好专业优先线索,R1-P0整组先核,H2-历史最高线不高于等位分,3,-3,-5,77,left,1.59 人工智能（智能驾驶）GKAZA院校代号[M-e022e8fa5c915330]；2.60 电子信息科学与技术（汽车芯片）[M-66a6c96752e440bc]；3.61 智能测控工程（汽车智能测控）[M-4b9d9db71e637b5b]；4.62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）[M-1cef07ff4b22c9a0]；5.64 电气工程及其自动化（汽车产业）[M-b9692f3336f632cc]；6.65 自动化（汽车产业）[M-739c3748f1af43d6]；7.66 机器人工程（汽车产业）[M-9d5f0b3502551420]；8.67 计算机科学与技术（智能软件）[M-6c80adf580311506]；9.68 计算机科学与技术（大数据技术）[M-5bddebcd50feb72b]；10.69 信息安全（智能汽车安全）[M-0d56d3aa94ba06f9]；11.70 智能科学与技术（智能网联）[M-e82b18054b0ea501]；12.71 智能科学与技术（智能汽车）[M-58dc6a81dd16c9d8]；13.72 智能无人系统技术（低空技术）[M-655ec1115a7811d2]；14.73 数学与应用数学（智能科学）[M-4a0ece0eee9ba76c]；15.74 数据科学与大数据技术[M-4efc34fbf540cd09],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-c60fd32db2360718,STABLEGROUP-4b35c2e425214694
R1GROUP-aba2471a470a0049,C1-偏好/城市且历史H1-H4；已进精选80,稳冲观察,命中偏好专业：计算机相关4个、师范相关6个；历史线索：H3-历史最高线高于等位分15分内；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,H135,淮南师范学院,H13502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,10,0,4,6,0,0,2,18,V1-偏好专业优先线索,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,5,-9,146,left,1.06 英语（师范类：外语语种：英语；办学地点：泉山校区）[M-1d97958004dc7fbb]；2.07 应用心理学（办学地点：泉山校区）[M-4ec638570922dd68]；3.08 商务英语（外语语种：英语；办学地点：泉山校区）[M-d17b307baa2eafce]；4.09 金融工程（办学地点：泉山校区）[M-7bcbe12d2d9f4b05]；5.10 会计学（办学地点：泉山校区）皿13503 淮南师范学院第 03组[M-8a5d62a2b8e9e4e8]；6.11 储能科学与工程（办学地点：泉山校[M-3569a8bffbb43383]；7.12 光电信息科学与工程（办学地点：泉山校区）[M-22d1799a36fea70f]；8.13 集成电路设计与集成系统（办学地点：泉山校区）[M-fcde1cb3eb9f7b5b]；9.14 计算机科学与技术（办学地点：泉山校[M-e6f585c7aac4e4ce]；10.15 网络工程（办学地点：泉山校区）[M-d5681cb0f5469fc4]；11.16 物联网工程（办学地点：泉山校区）[M-bfa1670af4889e08]；12.17 智能科学与技术（办学地点：泉山校[M-6c9887b5978c5024]；13.18 化学工程与工艺（办学地点：泉山校[M-b3d3e752c9682ea8]；14.19 生物工程（办学地点：泉山校区）[M-41ef058ce047c63f]；15.20 数学与应用数学（师范类；办学地点：泉山校区）[M-b403d38e273bd5e7]；16.21 物理学（师范类：办学地点：泉山校区）[M-1683c9a745c19163]；17.22 化学（师范类；办学地点：泉山校区）[M-1d68937ff21b5d6e]；18.23 生物科学（师范类；办学地点：泉山校H137 安徽建筑大学（公办）（安徽）[M-de3ccb0cb3f2da53],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-94a0d9f67cd17d37,STABLEGROUP-7a0cc252f66032d4
R1GROUP-cbff23022f258a24,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：师范相关7个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C151,汉江师范学院,C15108,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,7,0,0,7,0,0,2,7,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,1,-12,-12,81,left,1.24 科学教育（师范类：办学地点：校本部）[M-1589a255f636a226]；2.25 艺术教育（师范类：办学地点：校本部）[M-736a86a4c5d51281]；3.26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）[M-1f67d3e4be6e37fa]；4.27 小学教育（师范类；办学地点：校本部）[M-ad6a3781f1eefcb1]；5.28 汉语言文学（师范类；办学地点：校本[M-90571045abefddcf]；6.29 葵语（师范类：办学地点：校本部：外语[M-4f302aff91d26658]；7.30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）[M-3b5be7ce74eb3f8e],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-5522fc6f61f2fa08,STABLEGROUP-138a526199c1eef4
R1GROUP-b31735f9bb657ded,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：计算机相关2个、师范相关2个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F308,吕梁学院,F30805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,2,2,0,0,0,5,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-15,-17,109,right,1.08 物理学（师范类）[M-782794e5ecfddcbb]；2.09 化学（师范类）[M-86b7950d2662e7e4]；3.10 人工智能卫计算机科学与技术[M-b5b9d3bcd83d2a04]；4.12 软件工程[M-918e54ef86c5a0b3]；5.15 食品科学与工程[M-70c2922cd40b07c5],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-be57aa62705d47eb,STABLEGROUP-9af14d76244b509e
R1GROUP-2658cfbd7bc61d23,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：计算机相关3个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C139,荆楚理工学院,C13908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,3,1,0,0,0,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,3,0,-12,80,left,1.40 数学与应用数学（师范类）[M-1e595b9d61ccb677]；2.4 数据计算及应用[M-4a0671ade73427d3]；3.42 应用物理学[M-a941f1f48e8ffb11]；4.43 机械设计制造及其自动化[M-50205b490715b7ca]；5.44 材料成型及控制工程[M-8f50f2a644715dd7]；6.45 智能制造工程[M-cc9c89dee9f37ca3]；7.46 飞行器制造工程[M-433634f80bb2098a]；8.47 机器人工程[M-8f3f453dc737b2a7]；9.48 智能科学与技术[M-4cddd7554ed83233]；10.49 物联网工程[M-50dbc50b22ddfbd4]；11.50 计算机科学与技术[M-3ddd7a7cc394dafd],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-878c4f8ce339e4d2,STABLEGROUP-edeb75cd536a6a2f
R1GROUP-6107063ee3fa3db0,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：数字媒体技术1个、计算机相关2个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,F305,忻州师范学院,F30508,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,1,2,1,0,0,0,4,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-7,-10,109,left,1.15 应用化学[M-51215ebfd6e9c1fb]；2.16 数字媒体技术[M-6eb339aae881b3aa]；3.17 数据科学与大数据技术[M-68e8615d3ab753b9]；4.18 计算机科学与技术（师范类）[M-b11b9f49fcb51333],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-3ed22abc87c8dac2,STABLEGROUP-98a7b64f8eaf026e
R1GROUP-e5eedae17480906e,C1-偏好/城市且历史H1-H4；已进精选80,稳妥观察,命中偏好专业：计算机相关4个、师范相关1个；历史线索：H2-历史最高线不高于等位分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K754,伊犁师范大学,K75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,5,0,4,1,0,0,3,11,V1-偏好专业优先线索,R2-P1页列集中核,H2-历史最高线不高于等位分,2,-5,-19,235,right,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d7999ebd3ca3839c,STABLEGROUP-1190503a7ea7ec36
R1GROUP-8ee68a63a0ccf108,C1-偏好/城市且历史H1-H4；已进精选80,冲刺观察,命中偏好专业：计算机相关6个；历史线索：H4-历史最高线高于等位分16-30分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,C128,湖北经济学院,C12815,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,6,0,6,0,0,0,0,8,V1-偏好专业优先线索,R1-P0整组先核,H4-历史最高线高于等位分16-30分,2,18,-21,75,right,1.A0 数据科学与大数据技术[M-80e5e29500906fcd]；2.A1 统计学（经济大数据分析实验班）[M-bdb8c648f4fcd287]；3.A2 电子信息工程[M-23980bd85457c053]；4.A3 软件工程[M-1efaea54a448afe9]；5.A4 物联网工程[M-9650b0c5e148971f]；6.A5 计算机科学与技术[M-49578478eb5bd746]；7.AG 人工智能[M-31b4a981d33cd17a]；8.A7 统计学[M-49bf19206098beca],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-a8d2bae2fc9bc289,STABLEGROUP-5d90d125e0c31482
R1GROUP-b280f6ee17dd3904,C1-偏好/城市且历史H1-H4；已进精选80,冲刺观察,命中偏好专业：计算机相关3个、师范相关5个；历史线索：H4-历史最高线高于等位分16-30分；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,组内有特殊限制待核；调剂前需核特殊限制；录取线距离偏冲,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K752,新疆师范大学,K75205,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,7,0,3,5,0,0,6,17,V1-偏好专业优先线索,R1-P0整组先核,H4-历史最高线高于等位分16-30分,3,16,-16,234,right,1.31 数学与应用数学（师范类：高考数学单科成绩不低于80分；办学地点：温泉校区）[M-a77a872aa3f113ab]；2.32 信息与计算科学（高考数学单科成绩不低于80分：办学地点：温泉校区）[M-f3fbdaf76954f832]；3.33 应用统计学（高考数学单科成绩不低于80分；办学地点：温泉校区）[M-aefa52d546c63817]；4.34 物理学（师范类；高考数学单科成绩不低芋60分；办学地点：昆仑校区）[M-119c6e6692273409]；5.35 电子信息科学与技术（高考数学单科感绩不低于60分；办学地点：昆仑校[M-6d74f6ea94a2887c]；6.36 光电信息科学与工程（高考数学单科成绩不低子60分；办学地点：昆仑校[M-8d1b82b5f676fa00]；7.37 计算机科学与技术（师范类；办学地点：昆仑校区）[M-09057fdfd946e6c2]；8.38 软件工程（办学地点：昆仑校区）[M-03271fe251d222ae]；9.39 数据科学与大数据技术（办学地点：昆仑校区）[M-0999b17dae4b06d3]；10.40 逼感科学与技术（办学地点：温泉校[M-601e8606c47063b1]；11.4 化学（师范类；办学地点：昆仑校区）[M-4050c77bc07a1ae4]；12.42 化学工程与工艺（办学地点：昆仑校区）[M-423d7417e05d5bac]；13.43 环境工程（办学地点：昆仑校区）[M-66047167e51d253e]；14.44 生物科学（师范类；办学地点：温泉校[M-b69ac4db4a5e575f]；15.45 生物技术（办学地点：温泉校区）[M-94ae0b8c8b8a1b81]；16.46 生物工程（办学地点：温泉校区）[M-8f062f820bbb1eea]；17.47 食品安全与检测（办学地点：温泉校[M-c8f3a67e757d06c6],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,G-7694bcd996e8e798,STABLEGROUP-d64b56ac10694ac7
R1GROUP-b8f50995d09143f6,C1-偏好/城市且历史H1-H4；已进精选80,保底观察,命中偏好专业：计算机相关3个；历史线索：H1-历史最高线低于等位分20分以上；家庭底线：公办/普通学费线索且无医学护理/高收费自动阻断,仍需完整组核验,回看第19期原页和完整专业组；若进入讨论，再核湖北官方侧、招生章程、学费、计划数、选科和调剂范围。,false,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,R2-P1页列集中核,H1-历史最高线低于等位分20分以上,1,-27,-27,237,right,1.01 材料科学与工程02（电子信息工程[M-9da3b1df36c79dd2]；2.03 测绘工程[M-ef2ce351be9830b8]；3.04 计算机科学与技术[M-008f95c75153b257]；4.05 物联网工程[M-ca9e544e431167fe]；5.06 数据科学与大数据技术[M-3f310cbe7f53ab87]；6.07 新能源科学与工程[M-5c47c8190eb45b4c]；7.08 新能源材料与器件[M-61e41e16e49ba651]；8.09 资源勘查工程[M-def5e90d2dad39a6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-de5cf3dab5a124b1,STABLEGROUP-c67cda1e9690bc11
