第四轮5万专项候选ID,费用场景,年学费上限,5万内中外合作或高收费专业数,超过5万专业数,费用待核专业数,场景内最低学费,场景内最高学费,5万内专业摘要,费用风险提示,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4FEEGROUP-c65fefa63f0a0f32,5万内中外合作/高收费专项,50000,0,0,2,,,,2个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,三亚市,教育部所在地,三亚市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,海南省,海南省,,K002,海南热带海洋学院,K00206,06,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 5 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；482-481=+1；502-497=+5；479-494=-15；历史最高等位分差=5。,515,91723,494,497,481,479,479-494=-15,502,502-497=+5,482,482-481=+1,3,2023；2024；2025,479-502,482-481=+1；502-497=+5；479-494=-15,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.34 旅游管理（中外合作办学）（只招收有填报专业志愿的考生；办学地点：三亚[M-aa9f3e4565a65a88]；2.35 市场营销（中外合作办学）（只招收有填报专业志愿的考生；办学地点：三亚K003 海南师范大学（公办）（海南）[M-d6ee0c0cc0d8c39d],,201,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,40.75,G-1c348af4118c9b4f,STABLEGROUP-98f27a5185541c07
R4FEEGROUP-c2cbb6f623c2c0d4,5万内中外合作/高收费专项,50000,0,0,3,,,,3个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,上海市,上海市,,F786,上海对外经贸大学,F78604,04,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 56 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；550-494=+56；历史最高等位分差=56。,515,91723,494,497,481,550,550-494=+56,,,,,1,2025,550,550-494=+56,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.09 物流管理（中外合作办学）（中澳合作：4+0模式；办学地点：松江校区）[M-d16b1cdb5b22d473]；2.10 际商务（中外合作办学）（中澳合作：4+0模式；办学地点：松江校区）[M-b738a758cea3108c]；3.11 蒸语（中外合作办学）（中英合作：4+0模式；外语语种：英语；办学地点：松江F787华东政法大学（公办）（上海）[M-028d4ff512cd9c94],松江校区,129,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-29.0,G-9b5528e71011d956,STABLEGROUP-d47f5436b0b369cb
R4FEEGROUP-26429df5db5974c4,5万内中外合作/高收费专项,50000,1,0,3,35000,35000,11 億息工程（中外合作办学）（中法合作.不招色盲考生：办学地点：宝山校区）｜学费:35000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；3个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,上海市,上海市,,F791,上海大学,F79105,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 145 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；626-481=+145；601-497=+104；576-494=+82；历史最高等位分差=145。,515,91723,494,497,481,576,576-494=+82,601,601-497=+104,626,626-481=+145,3,2023；2024；2025,576-626,626-481=+145；601-497=+104；576-494=+82,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.10 规械工程（中外合作办学）（中法合作.不招色盲考生：办学地点：宝山校区）[M-385a7c60b5b8d849]；2.11 億息工程（中外合作办学）（中法合作.不招色盲考生：办学地点：宝山校区）[M-01246bc817ae017b]；3.12 唐气工程及其自动化（中外合作办学）（中面合作.不招色盲考生：办学地点：宝山校区）[M-02064c5f5cd71fd8]；4.13 杰工程（中外食作办学）（中葡合作；办学地点：宝山校区）[M-9cae126821040d84]；5.14 环培工程（中外合作办学）（中葡合作.不招色盲、色弱考生；办学地点：宝山校区）F793上海工程技术大学（公办）（上海）[M-bd523aa70db3e967],宝山校区,129,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-31.25,G-2a1bea080f03593e,STABLEGROUP-50e10aa3150833f5
R4FEEGROUP-878150239a048bda,5万内中外合作/高收费专项,50000,0,2,0,,,,2个超过5万，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,教育部,,A093,上海交通大学,A09305,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 191 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；672-481=+191；664-497=+167；672-494=+178；历史最高等位分差=191。,515,91723,494,497,481,672,672-494=+178,664,664-497=+167,672,672-481=+191,3,2023；2024；2025,664-672,672-481=+191；664-497=+167；672-494=+178,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,2,2,0,1,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.23 电子信息类（中外合作办学）（巴黎卓𪇟工程师学院，食𥯨卡尔班：机械工能源与动力工程）程、信息工程、[M-eaca261b8fca3ad7]；2.24 电子信息类（中外合作办学）（浦江国际学院，依托张江国际理工学院；机械工程、电子与计算机工程、计算机科学与技术、数据科学与大数据技术含电子与计算机工程-工商管理双学A095华东理工大学（公办）（上海）[M-4d002731d5d8c2ea],,27,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-37.75,G-4a89c72e55c379ff,STABLEGROUP-dd0e094e6e937fbb
R4FEEGROUP-ba6c711706752e77,5万内中外合作/高收费专项,50000,0,0,1,,,,1个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,上海市,教育部所在地,上海市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,上海市,上海市,,F783,上海海洋大学,F78303,03,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 111 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；592-481=+111；585-497=+88；569-494=+75；历史最高等位分差=111。,515,91723,494,497,481,569,569-494=+75,585,585-497=+88,592,592-481=+111,3,2023；2024；2025,569-592,592-481=+111；585-497=+88；569-494=+75,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.07 信息管理与信息系统（中外合作办学）（与澳大利亚塔斯马尼亚大学合作办学：培养模式”4+0”；办学地点：校本F785 上海师范大学（公办）（上海）[M-8fc9edc1b3dfd011],,128,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-38.75,G-b48ad1a8402cecb7,STABLEGROUP-ad04e5469821253b
R4FEEGROUP-0766021cd62fc5e4,5万内中外合作/高收费专项,50000,0,0,1,,,,1个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,东莞市,教育部所在地,东莞市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,广东省,广东省教育厅,中外合作办学及内地与港澳合作办学,H861,香港城市大学（东莞）,H86101,01,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 121 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；618-497=+121；609-494=+115；历史最高等位分差=121。,515,91723,494,497,481,609,609-494=+115,618,618-497=+121,,,2,2024；2025,609-618,618-497=+121；609-494=+115,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,中外合作或港澳合作办学线索-教育部备注,单独讨论-中外合作或港澳合作办学线索,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.01 计算机科学与技术（中外合作办学与大数据技术五个专业中选择，邺迟大二结束时必须选定专业）H890广西大学（公办）（广西）[M-0adce354ceeb9537],,194,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-36.25,G-6146e4b96bc80b1f,STABLEGROUP-033085ef8eef93c0
R4FEEGROUP-9c45e166729af2b2,5万内中外合作/高收费专项,50000,0,0,1,,,,1个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,九江市,教育部所在地,九江市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,江西省,江西省,,H331,九江学院,H33104,04,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 11 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；492-481=+11；443-494=-51；历史最高等位分差=11。,515,91723,494,497,481,443,443-494=-51,,,492,492-481=+11,2,2023；2025,443-492,492-481=+11；443-494=-51,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.17 计算机科学与技术（与澳大利亚昆士兰大学“2+2“学分互认双学位联合培养，学生第三、四年需赴昆去兰大学学习，香则仅获中方学位.四年均番向九江学院缴纳学费，在国内学习期间需向外方授权方缴纳联合培养费.留学期间向昆士兰大学缴纳学费，建议英语语种考...[M-31835c637dd1c1ee],,160,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,40.25,G-355bb1d70c547694,STABLEGROUP-38ad3fe7e7c35600
R4FEEGROUP-c161861a63df355a,5万内中外合作/高收费专项,50000,0,1,0,,,,1个超过5万，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,兰州市,教育部所在地,兰州市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,甘肃省,国家民委,,A197,西北民族大学,A19725,25,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.46 计算机科学与技术（中外合作办学）（办学地点：榆中校区）[M-64d33516bdee6dd4],榆中校区,57,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,21.0,G-e0a9326468f0c6aa,STABLEGROUP-39874e12665bbf51
R4FEEGROUP-edc2fb7face97b91,5万内中外合作/高收费专项,50000,0,2,0,,,,2个超过5万，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,北京市,教育部所在地,北京市,北京,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,北京市,教育部,,A033,中国传媒大学,A03315,15,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.32 数字媒体技术（中外合作办学）（与英国阿伯泰大学合作；办学地点：海南省陵水黎族自治县黎安国际教育创新试验区）[M-3f16aefdd791acf7]；2.33 智能科学与技术（中外合作办学）（与英国考文垂大学合作；办学地点：海南省陵水黎族自治县黎安国际教育创新试验区）A034 中央財经大学（公办）（北京）[M-1dfe6e94ce320ed8],,18,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,33.0,G-790dc31efffcc01f,STABLEGROUP-e018d91f16c16d76
R4FEEGROUP-695c112d39895ef2,5万内中外合作/高收费专项,50000,0,0,2,,,,2个费用待核，暂不进主表；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,费用待核或超过5万附录,false,false,北京市,教育部所在地,北京市,北京,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,北京市,教育部,,A019,中国农业大学,A01909,09,H0-无同代码历史线索,历史待补,无同代码历史投档线，先作为历史待补组，不按分差下结论。,515分、91723位次暂无同代码历史线可直接比；需补同校同类组或官方投档线证据。,515,91723,494,497,481,,,,,,,0,,,,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,4,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.39 人工智能《中外合作办学）（国肉学费[M-f276275ecf456b16]；2.11 万元/生/年；学生赴英学习期间不再缴纳中方学费，英方学费按照萨里大学国际学生标准缴纳：学生可选择在中國农业大学学习4年，或自愿申请在第3年赴英国萨里大学交流学》1～2年；办学地点：海淀区）[M-d87ad7e0b61c3b30]；3.40 计算机科学与技术（中外合作办学）（国内学费11万元/生/年：学生赴麥学习期间不再缴纳中方学费，英方学费按照萨里大学国际学生标准繳纳：学生可选择在中国农业大学学习[M-7ef963927deb9b1e]；4.4 年，或自愿申请在第3年赴英国萨里大学交流学习1～2年；办学地点：海◎Z一AXA芫校专业组及专业代号淀区）A022北京林业大学（公办）（北京）[M-3174e18fcc5edfb3],,15,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,30.0,G-f8e0848a750702d0,STABLEGROUP-6a2b7cabbe7b3d4f
