抽样批次,抽样理由,原页核验结果,湖北官方核验结果,高校辅证核验结果,是否需要升级同组核验,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,是否超预算机器初判,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,是否可低风险抽检,是否可作为机器初筛线索,PDF原页核验状态,湖北官方系统核验状态,高校官网来源状态,高校官网证据匹配状态,历史线索分层,同代码命中年份数,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID,机器核验下一步,人工核验下一步,不得进入原因,下一步
S001,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H435,临沂大学,H43504,1,08,化学（师范类）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,化学,,6600,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H4-历史最高线高于等位分16-30分,2,27,23,168,left,M-34b8a4f860eddbd1,G-f3078ec47aca2055,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。
S002,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H774,华南师范大学,H77404,5,13,物理学（师范类；不招色盲且不招单色识别不全者；办学地点：广州校区大学城校园）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,体检或色觉限制,false,,4,6850,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,128,96,187,right,M-8ecbf790cc767d08,G-d47a8b5cf621c64f,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S003,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,A079,吉林大学,A07920,6,57,物联网工程（享英语语种考生就读：办学地点：前卫南区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,语种或单科限制,false,,,6830,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H0-无同代码历史线索,0,,,23,right,M-35f51fcfa7820dcb,G-d482e7593a95ab1e,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S004,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C103,湖北大学,C10314,2,55,大数据管理与应用（办学地点：长江新,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,13,5850,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,86,72,66,left,M-c6ecdcb6eb67aeef,G-57209b8794f45397,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。
S005,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,C118,黄冈师范学院,C11810,5,52,软件工程,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,112,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H4-历史最高线高于等位分16-30分,2,27,-7,73,right,M-5f97cf3ace9e658b,G-6d6a8f20ef5045db,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S006,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,H221,福建中医药大学,H22103,3,05,中医骨伤科学（不招色盲色弱；办学地点：旗山校区：学制：五年）H223 福建师范大学（公办）（福建）,师范类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,false,,1,6760,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,109,76,148,left,M-3902897df5a739e6,G-edc598314fb3add1,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S007,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,F963,南京审计大学金审学院,F96303,3,20,数据科学与大数据技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,优先了解-命中当前偏好方向,,pending_tuition_field_review,,,|20000,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H2-历史最高线不高于等位分,2,-10,-10,136,right,M-9f9e2fd353898b1a,G-7156f5e5b590ca46,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S008,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,K399,滇池学院,K39903,2,11,数字媒体技术（办学地点：杨林校区）K400 丽江文化旅游学院（民办）（云南）,数字媒体技术,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,2,22000,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,3,-24,-45,221,left,M-463a6d4f5ad4e16c,G-1b7db1dd86b00424,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S009,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,A117,河海大学,A11704,24,39,人工智能（大一在南京相应校区学习，大二起在常州校区学习）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,114,108,32,right,M-5210cb82b884b8ac,G-b4ebb48fa557e565,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S010,偏好专业方向抽样：数字媒体技术/计算机/师范,,,,,,A301,哈尔滨工业大学（深圳）,A30102,2,03,工科试验班（自主智能；人工智能；机器人工程；自动化；本专业类内任选专,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,10,6230,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,181,161,60,left,M-2459be9e5cb8915b,G-9b5c789b3ce53444,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
