审计编号,审计域,审计项,审计状态,严重程度,自动阻断,计数,证据摘要,下一步
F001,源文件,第19期 PDF 指纹固定,通过,阻断,否,1,PDF SHA256=ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,如失败，必须重新记录来源 PDF 并全量重跑 OCR。
F002,页码覆盖,page_range_used 10-240 每页均有专业组和专业明细,通过,阻断,否,0,缺页=无；越界页数=0,如失败，必须回到 OCR 渲染页和切组脚本确认页码范围。
F003,行数闭环,学校/专业组/专业明细行数与 OCR 摘要一致,通过,阻断,否,13736,专业组=3329；专业明细=13736；工作台=13736,如失败，不能继续筛选候选，先定位哪一层丢行或重复。
F004,主键,专业组出现ID和专业行ID唯一,通过,阻断,否,0,专业组ID=3329/3329；专业行ID=13736/13736,如失败，不能用该底座联表，必须修正 ID 生成口径。
F005,源行追踪,逐专业工作台逐行回指原始 OCR 明细且字段未漂移,通过,阻断,否,0,缺失源行=0；字段漂移=0,如失败，必须禁止使用逐专业工作台并重建。
F006,专业组联表,逐专业工作台关联到专业组质量索引且无串组,通过,阻断,否,40,有明细专业组=3289；质量索引专业组=3329；无专业行组=40,如失败，必须复核专业组出现ID和跨页续组逻辑。
F007,异常闭环,结构异常 5129 条全部精确挂到专业明细,通过,阻断,否,0,异常队列=5129；工作台聚合=5129,如失败，不能相信行级异常标记，必须修正 exact match key。
F008,顺序,专业组内专业序号连续无断点,通过,阻断,否,0,异常专业组数=0,如失败，必须核对组内明细排序，防止调剂范围判断错位。
F009,发布边界,公开工作台不含本地路径、身份号、最终可用结论,通过,阻断,否,0,最终可用非false=0；敏感/越界文本=0,如失败，必须清理公开数据后再提交。
R001,OCR 质量,字段完整性和结构异常仍需人工核页,需人工复核,高,否,25463,字段标记=missing_subject_candidate:11456；missing_plan_count_candidate:5739；low_ocr_confidence:1717；missing_tuition_candidate:1040；tuition_not_plain_number:222；tuition_over_15000:120；plan_count_not_plain_number:40；结构异常=5129,按逐专业复核队列优先核 P0、候选池和偏好专业。
R002,学费/计划,计划数和学费字段存在 OCR 错位风险,需人工复核,高,否,9483,非纯数字计划=5779；非纯数字学费=1262；异常学费=2442,所有进入候选池的计划数、学费必须回看原 PDF 和官方系统。
R003,选科,再选科目 OCR 候选缺失较多,需人工复核,高,否,11456,缺再选科目候选专业行=11456,候选专业必须逐条确认选科要求，尤其是化学/地理限制。
R004,调剂风险,重复专业组代码和无专业明细组需要单独核页,需人工复核,高,否,43,"重复组码={'F01403': 2, 'F77804': 2, 'F79104': 2}；重复组码专业行=14；无专业行组=40",判断能否服从调剂前，必须打开完整专业组核对全部专业。
R005,候选池,第一版候选池仍有未命中项,需人工复核,中,否,3,候选覆盖状态=命中:17；未命中:3,未命中项不能直接删除，要回 PDF 页和院校官网确认。
R006,偏好/风险,偏好专业和硬风险标签已进入复核队列,需人工复核,中,否,7104,标签分布=priority_2_computer:1867；body_or_exam_limit:1633；rejected_medical:1499；high_fee_or_coop:683；priority_3_teacher:601；language_or_single_subject:526；tuition_over_15000:120；special_plan_or_direction:97；priority_1_digital_media:78,后续筛选只能把标签当线索，不能当最终专业结论。
R007,重复明细,原始专业明细签名重复需抽检,通过,中,否,0,重复专业明细签名行数=0,如重复行进入候选池，需回看 PDF 判断是否真实重复招生或 OCR 重复。
R008,专业组归属,部分专业行依赖唯一组码回退归属,需人工复核,高,否,1838,精确归属=11898；回退归属=1838；回退专业组=334；候选命中回退=18；样本学校回退=52,回退归属多为跨页/跨栏续组线索，进入候选前必须回看原 PDF 页确认组边界。
R009,专业代号,同一专业组内专业代号重复,需人工复核,高,否,116,"重复专业组=31；重复代号组=58；示例=A073/A07303/东北大学/页22:19x2；A109/A10903/东南大学/页30:06x2,07x2,08x2；A141/A14115/武汉大学/页40:14x2；A169/A16907/重庆大学/页48:1x2；A181/A18109/西南民族大学/页52:50x2",专业代号重复可能是真实方向拆分，也可能是 OCR 串行或重复识别，候选专业组必须人工核页。
