执行建议序号,院校代码,院校名称,机会优先级,机会类型,自动收益分,官网辅证自动动作,高校侧刷新任务类型,涉及招生明细数,涉及专业组数,计划数冲突行数,官网补缺候选行数,官网未匹配行数,C4C6计划数冲突候选数,C4C6官网可补OCR计划数候选数,C4C6无结构化官网源明细数,已有live补源状态,已有live湖北物理计划状态,已有live结构化输出,来源质量判断,自动化下一步,人工最小核验动作,保真边界,PDF原页核页状态,湖北官方核验状态,高校官网源刷新状态,字段事实写回状态,是否可作为定稿依据
1,C125,武汉轻工大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,41,5,0,0,0,0,0,41,官网入口和湖北考生提示入口均为前端应用壳；普通静态抓取未直接取得专业+人数明细,未取得2026湖北物理本科普通批专业+人数明细；只确认存在官方H5入口线索,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
2,F582,长春工业大学,P0-立即处理,O3-高收益缺源学校优先补源,1293,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,41,12,0,0,0,0,0,41,官网招生计划栏目可访问但当前2026计划页仅见吉林省计划,未取得2026湖北物理本科普通批计划,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
3,C133,湖北师范大学,P0-立即处理,O3-高收益缺源学校优先补源,1153,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,36,9,0,0,0,0,0,36,招生网普通抓取返回跳转登出页；信息公开网可取得2026本科招生章程但不含分省分专业计划,未取得2026湖北物理本科普通批计划；章程仅可核招生规则、信息发布入口和限制条款,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
4,C108,江汉大学,P0-立即处理,O0-冲突优先回页核验,1090,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,53,9,0,0,0,1,0,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
5,H026,浙江传媒学院,P0-立即处理,O3-高收益缺源学校优先补源,761,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,22,6,0,0,0,0,0,22,已留存招生网首页和信息公开网招考信息页；未找到2026湖北物理/理工专业+人数明细,未取得2026湖北物理本科普通批计划；信息公开页当前主要可见2025/2024招考信息,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
6,A197,西北民族大学,P0-立即处理,O0-冲突优先回页核验,696,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,27,13,0,0,0,4,3,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
7,K486,西安邮电大学,P0-立即处理,O1-官网补缺候选回页核验,551,C1-官网补缺候选但禁止自动写回,官网补缺候选回页核验,19,1,0,19,0,0,0,0,未进入2026-06-29 live补源样本,,无结构化输出,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
8,H945,南宁学院,P0-立即处理,O0-冲突优先回页核验,550,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,15,3,0,0,0,7,8,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
9,K465,西安建筑科技大学,P0-立即处理,O0-冲突优先回页核验,478,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,18,3,0,0,0,1,7,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
10,K753,喀什大学,P0-立即处理,O0-冲突优先回页核验,412,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,17,5,0,0,0,2,3,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
11,H450,山东工商学院,P0-立即处理,O0-冲突优先回页核验,380,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,19,2,0,0,0,2,1,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
12,A032,北京语言大学,P0-立即处理,O0-冲突优先回页核验,379,C4-已有部分来源需补结构化或补湖北行,已有来源补结构化或补湖北物理行,11,3,0,0,0,5,2,0,未进入2026-06-29 live补源样本,,无结构化输出,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,人工只核 C6 未匹配行、计划数冲突行和新增源命中抽检。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
13,F902,江苏理工学院,P0-立即处理,O0-冲突优先回页核验,360,C0-冲突先核PDF原页和湖北官方系统,计划数冲突回页核验,10,1,10,0,0,0,0,0,招生网招生动态页可见官方发布的2026省外本科招生计划微信文章入口；当前环境未能读取微信正文明细,招生网可证2026省外计划入口存在，但未自动取得湖北物理专业+人数明细,无结构化输出,Q6-来源质量待补充,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
14,K179,成都师范学院,P0-立即处理,O3-高收益缺源学校优先补源,313,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,6,6,0,0,0,0,0,6,已留存主站招生工作入口；未找到2026湖北物理专业+人数明细,未取得2026湖北物理本科普通批计划,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
15,K487,西安航空学院,P0-立即处理,O3-高收益缺源学校优先补源,313,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,6,4,0,0,0,0,0,6,已取得高校官网2026本科招生计划页和高清PDF,官网PDF抽取湖北物理/理工类6条合计15人；第19期K487计划数字段均待原页核验,有结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
16,H450,山东工商学院,P0-立即处理,O1-官网补缺候选回页核验,290,C1-官网补缺候选但禁止自动写回,官网补缺候选回页核验,10,1,0,10,0,0,0,0,未进入2026-06-29 live补源样本,,无结构化输出,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
17,H775,韶关学院,P0-立即处理,O3-高收益缺源学校优先补源,285,C6-继续搜索高校官网2026湖北计划源,继续搜索高校官网2026湖北计划,5,5,0,0,0,0,0,5,招生域名HTTPS访问失败；未找到可读的2026湖北计划官网页,未取得2026湖北物理本科普通批计划,无结构化输出,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,false
