G0冲突字段W0W1主动工作包公开账本ID,来源G0冲突字段补证缺口任务公开账本,来源G0冲突字段补证执行波次公开账本,来源G0冲突字段补证执行波次摘要,来源第一闭环核验结果页列汇总,来源第一闭环公开证据地图,来源W0B0高校源字段回接页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,主动工作包序号,执行波次序号,执行波次,证据通道序号,证据通道,证据通道类型,证据通道执行层级,当前执行状态,当前是否可并行执行,页码版面键,来源页码,版面列,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,当前通道状态分布,当前阻断桶分布,补证执行优先级分布,补证执行泳道分布,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,PDFOCR提示任务数,机器坐标提示任务数,PDFOCR与高校辅证冲突任务数,高校源结构化接入候选字段数,高校源最新对齐任务数合计,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,来源波次包ID,缺口任务集合SHA256,闭环结果集合SHA256,主动下一步动作,本通道准出条件,公开安全策略
G0W0W1ACTIVE-76972e6d554bb480,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,1,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,pending_pdf_page_review:12,G0-缺PDF原页记录:12,P0-含双人复核缺口页列:12,R0-冲突字段双人核页优先:12,17,17,17,4,9,5,4,0,36,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,G0FIELDGAPWAVE-ac5a355874a1ec8f,2bc901ca04c60c70179152dd17f1e18b202ddcec944c49fe67e579547adc2804,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-d8614d6909e981da,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,2,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,pending_hubei_official_plan_review:12,G1-缺湖北官方记录:12,P0-含双人复核缺口页列:12,R0-冲突字段双人核页优先:12,17,17,17,4,9,5,4,0,36,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,G0FIELDGAPWAVE-ac5a355874a1ec8f,8cc72787fcb390493d3d7feeefed43f23409454eafc40f352987e99595d53e2f,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-879e9ee3f9baf0c3,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,3,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,018-left,18,left,12,12,4,4,1,专业计划数:4；再选科目:4；学费:4,school_source_seed_present_pending_manual_review:12,G2b-高校辅证种子待人工核验:12,P0-含双人复核缺口页列:12,R0-冲突字段双人核页优先:12,17,17,17,4,9,5,4,0,36,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,G0FIELDGAPWAVE-ac5a355874a1ec8f,ffb9a55fd35bd544017d7cb846c438aaeb6b7c7372a3cfb3354448331c632a9c,f10fd8e59139ad331adbae7b9a0f34a7722b08aa4929317ff28351572766d2c3,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-f371db2971387386,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,4,W1,双人复核,05,双人复核,双人复核,E3-双人复核,ready_for_parallel_w0_w1_execution,true,018-left,18,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,17,17,17,4,9,5,4,0,36,G0FIELD-PRIVATE-PAGE-018-left,54bb2527e1168a2b996b3103f2dc7fa770a4aabb992f653cd0142ce130e1d0aa,FIRST-CLOSURE-REVIEW-HTML-018-left,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,G0FIELDGAPWAVE-db2fee808b0c004b,d4161d36dc7d0ca9dc80c4999be78976db3731cfccdb3070f0484b82642bd881,74e8874d3f2a17834b897d3f93fb31474825f9d706894399801cc430a3873cfd,安排A/B双人复核并记录一致性私有证据；准出仍依赖一手证据闭环。,A/B复核和一致性结论形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-f07bd23ae3cdf1f7,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,5,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,5,5,5,3,3,0,1,0,12,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,G0FIELDGAPWAVE-845dbbba1baf0aca,7fa6d5c86c5498c030f16120bf11a3d5958e024170bb6e66a2fa0ec88a97696a,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-0f271a6f0d85fbe4,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,6,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,5,5,5,3,3,0,1,0,12,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,G0FIELDGAPWAVE-845dbbba1baf0aca,55c01461c025e9870d9b305a75a5e5b9ab92b005b8f13a77f1ffe30b10db69f0,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-97f2369338033210,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,7,W0,一手证据与辅证采集,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,ready_for_parallel_w0_w1_execution,true,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,school_source_seed_present_pending_manual_review:3,G2b-高校辅证种子待人工核验:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,5,5,5,3,3,0,1,0,12,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,G0FIELDGAPWAVE-845dbbba1baf0aca,5acc21f43ddc8e95d8e8fb82e8c747e2e2035445c8dbe5072cd087b1e06f5806,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,核高校官网或章程辅证，作为double check线索；不能替代湖北官方计划。,高校辅证人工核验记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-0b1830005944bc90,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,8,W1,双人复核,05,双人复核,双人复核,E3-双人复核,ready_for_parallel_w0_w1_execution,true,037-left,37,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_double_review:3,G4-双人复核未完成:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,5,5,5,3,3,0,1,0,12,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,G0FIELDGAPWAVE-bd78ba239f53d45b,28179179cef736ff693797cab06b1092d3947a70e44ecadd7a46ed471eeed666,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,安排A/B双人复核并记录一致性私有证据；准出仍依赖一手证据闭环。,A/B复核和一致性结论形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-2a7da5d2594fc36f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,9,W0,一手证据与辅证采集,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,ready_for_parallel_w0_w1_execution,true,056-left,56,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,16,16,15,3,8,5,1,3,9,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,G0FIELDGAPWAVE-fc4da8e907c3b045,654c39a910a073a118d5b2f94b3594e795c84c0c39233a33d5dde186d1f373a3,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,核PDF原页私有材料并登记私有证据编号和SHA；公开层只保留状态与计数。,PDF原页记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
G0W0W1ACTIVE-1187aa448b46ec89,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-execution-waves-v1-summary.json,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-w0-b0-school-source-field-backlink-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_w0_w1_active_workboard_v1,G0冲突字段W0/W1主动工作包,页列×证据通道,false,false,false,false,false,false,false,false,false,10,W0,一手证据与辅证采集,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,ready_for_parallel_w0_w1_execution,true,056-left,56,left,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,16,16,15,3,8,5,1,3,9,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,G0FIELDGAPWAVE-fc4da8e907c3b045,0b1ee2eae6fe6aa3d79bf14ce9056b76a3b3cfd0ddd4e174007596f5c8ae4dd4,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,优先核湖北官方系统或省招办计划；不可得时继续阻断，不能用高校官网替代。,湖北官方侧记录形成私有证据编号和SHA,公开层只保存页列、通道、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、人工内容或本地位置。
