第四轮候选ID,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4GROUP-9b34959b2faf1c6c,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,三亚市,教育部所在地,三亚市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,海南省,海南省,,K002,海南热带海洋学院,K00205,05,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 29 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；526-497=+29；517-494=+23；历史最高等位分差=29。,515,91723,494,497,481,517,517-494=+23,526,526-497=+29,487,487-481=+6,3,2023；2024；2025,487-526,487-481=+6；526-497=+29；517-494=+23,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,21,0,2,2,2,0,2,0,1,2,0,0,0,0,0,13,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.14 数学与座用数学（师范类；办学地点：三亚校区）[M-18c3c3d39727a1e5]；2.15 数据计算及应用（办学地点：三亚校[M-1d9a3717770712bb]；3.16 物理学（师范类：办学地点：三亚校区）[M-1a57831faef81c0d]；4.17 化学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区[M-9f828ce1c6e87720]；5.18 海洋科学（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）[M-074db62eabc67a28]；6.19 海洋技术（不招色弱、色盲、單色识别院校[M-74773332862dd10a]；7.1 组及专业代号不全者；办学地点：三亚校区）[M-1af4ffd0f676fdcf]；8.20 生物科学（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-93a84d294d543dc4]；9.21 生物技术（不招色弱、色育、单色识别不全者：办学地点：三亚校区）[M-83a16df86ee95a0c]；10.22 通信工程（办学地点：三亚校区）[M-b9ee1c065b82c6ab]；11.23 计算机科学与技术（不招单色识别不全者：办学地点：三亚校区）[M-3427bd6ef22b295a]；12.24 网络工程（办学地点：三亚校区）[M-f36880abadf263b3]；13.25 轮机工程（陆上方向；无红绿色宜，无复热身高 155cm 及以上，双眼操视力均能达到4.6（0.4）及以上；或双眼棵秘力均能到40（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上；办学地点：三亚校区）[M-7ff3f891f35570b5]；14.26 智葱海洋技术（办学地点：三亚校区）[M-3576db17a826f6fe]；15.27 环境工程（不报色弱、色真、单色识别不全者；办学地点：三亚校区）[M-51a614057f398424]；16.28 食品科学与工程（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-dcf9db265265256b]；17.29 食品质量与安全（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-9fef618e69951770]；18.30 食品营养与健康（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）[M-d1dc7c3878cbc239]；19.31 园艺（不招色弱、色直、单色识别不全者：办学地点：三亚校区）[M-2fe4b62581a0e6dd]；20.32 水产养殖学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区）[M-7d19c229dc90447f]；21.33 海洋渔业科学与技术（不招色弱、色单色识别不全者；办学地点：三亚[M-c808953ce84763fd],三亚校区,200,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,52.75,G-401bc94e6f16cf6b,STABLEGROUP-a4c46829bb651301
R4GROUP-0b6dfdf3dc5e0d1b,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,上饶市,教育部所在地,上饶市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,江西省,江西省,,H320,上饶师范学院,H32003,03,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 7 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；488-481=+7；483-497=-14；477-494=-17；历史最高等位分差=7。,515,91723,494,497,481,477,477-494=-17,483,483-497=-14,488,488-481=+7,3,2023；2024；2025,477-488,488-481=+7；483-497=-14；477-494=-17,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,10,0,2,2,0,0,1,0,0,1,0,0,0,0,0,7,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 数据科学与大数据技术（不能准确在显示器上识别红、黄、兰、绿、紫各颜色中任何一种颜色的数码、字母者（不予录取）A◎A◎ZG院校专业组及专业代号[M-714c0a095e82677b]；2.07 人工智能[M-97fae4c85698e33a]；3.08 类曳傅息材料与器件（色盲、色弱考生[M-dc35ef3202b7617c]；4.09 化学（色盲、色弱考生不予录取）[M-f462c203afe79ff6]；5.10 应用化学（色盲、色弱考生不予录取）[M-0aef402589bf7a8f]；6.11 材料科学与工程（色直、色弱考生不予二在学校主校区学习大四将按照培养方案在弋阳校[M-ba733cd5f20c1e00]；7.12 生物科学（色盲、色弱考生不予录取）[M-43449428c14619e8]；8.14 智薏农业（大一、大二在学校主校区学习，大三、大四将按照培养方案在弋阳[M-aa82c94d0d020a52]；9.15 逼感科学与技术（色盲、色弱考生不予[M-2b697a90ff5edca5]；10.16 数学与应用数学（师范类）[M-e866dd877a243bab],色弱考生不予二在学校主校区；大二在学校主校区,157,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,52.25,G-18c7c3f4af6abe8d,STABLEGROUP-68c6ebb0d66a2beb
R4GROUP-94bf95fd0c829a3b,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,false,false,东营市,教育部所在地,东营市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山东省,山东省,,H499,山东石油化工学院,H49905,05,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 25 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；521-497=+24；519-494=+25；历史最高等位分差=25。,515,91723,494,497,481,519,519-494=+25,521,521-497=+24,,,2,2024；2025,519-521,521-497=+24；519-494=+25,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.05 电气工程及其自动化[M-038f4f5403fc745e],,171,left,R4-P3低风险抽检,保留为机器初筛观察池，等官方计划或人工抽检结果后再排序。,低风险抽检发现异常时升级同页列/同校/同组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,33.75,G-55c5037bacc66950,STABLEGROUP-f4d09ab3a3f85a8b
R4GROUP-63e7de6cd453c519,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,临汾市,教育部所在地,临汾市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山西省,山西省,,F348,山西电子科技学院,F34801,01,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；484-494=-10；历史最高等位分差=-10。,515,91723,494,497,481,484,484-494=-10,,,,,1,2025,484,484-494=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,5,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 光电信息科学与工程[M-381098630fbe1e02]；2.02 网络工程[M-4432e298a79ae782]；3.03 智能科学与技术[M-356b1d073877b505]；4.04 机械电子工程[M-5b8f82e8dff108c9]；5.05 电子封装技术F350 山西科技学院（公办）（山西）[M-aff67a155554bee3],,110,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,64.0,G-cfaf086a447f3635,STABLEGROUP-1202061c0c3455ab
R4GROUP-a5b7a9b1e031a995,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,临沂市,教育部所在地,临沂市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山东省,山东省,,H435,临沂大学,H43504,04,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 27 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；504-481=+23；524-497=+27；历史最高等位分差=27。,515,91723,494,497,481,,,524,524-497=+27,504,504-481=+23,2,2023；2024,504-524,504-481=+23；524-497=+27,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.08 化学（师范类）[M-34b8a4f860eddbd1]；2.09 电气工程及其自动化[M-f09d465f2387b25b]；3.10 数据科学与大数据技术[M-9b456370e7b67624]；4.11 卫生检验与检疫[M-3104efacf782f0ad]；5.12 眼视光学[M-b7178d578202fa6e]；6.13 生物质能源与材料[M-2ecec11830ff86ad]；7.14 食品卫生与营养学[M-baf08c44cccb59a0],,168,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,38.25,G-f3078ec47aca2055,STABLEGROUP-956adf4440dcf728
R4GROUP-89cf9bcbf473967f,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K757,新疆工程学院,K75703,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；471-481=-10；历史最高等位分差=-10。,515,91723,494,497,481,,,,,471,471-481=-10,1,2023,471,471-481=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 通信工程（信息技术产教融合合作班）[M-035c4f5d91c7073c]；2.19 物联网工程（信息技术产教融合合作[M-c970f193141878c5],,236,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,71.0,G-ea5ee122c9d296aa,STABLEGROUP-2227222ad543ca8f
R4GROUP-6250cc5002636c5d,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,新疆维吾尔自治区,新疆维吾尔自治区,,K755,新疆财经大学,K75503,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -1 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；473-481=-8；496-497=-1；484-494=-10；历史最高等位分差=-1。,515,91723,494,497,481,484,484-494=-10,496,496-497=-1,473,473-481=-8,3,2023；2024；2025,473-496,473-481=-8；496-497=-1；484-494=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 金融学[M-f03c4ef1f39ebfb6]；2.19 金融工程[M-695638a4e195323a]；3.20 保险学[M-ce2a99bdc00de329]；4.21 工商管理[M-c7fdfcdc322e608e]；5.22 会计学[M-00eda30bf9920ddc]；6.23 财务管理[M-3a4a989d7c5ef322]；7.24 审计学[M-015c4b80011eb879]；8.25 经济学[M-e4363f30c0b3494d]；9.26 敪字经济[M-d1735d8c54961491]；10.27 财政学[M-d561632684b42e03]；11.28 税收学[M-6b2893557e17734d]；12.29 行政管理（办学地点：北校区）[M-4ff81d294d7fcdb1]；13.30 旅游管理（办学地点：北校区）[M-c004bfaa6313019a]；14.31 酒店管理（办学地点：北校区）[M-21077cdf39ad3ab3]；15.32 国际经济与贸易[M-34b7569d6cac1662]；16.33 国际商务[M-c2e9d7ea6941d366]；17.34 电子商务[M-1228b9acd479c8d3],北校区,235,right,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,66.0,G-fa79972ed51283db,STABLEGROUP-ed0efbdd2119c255
R4GROUP-e438c40102217e06,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,false,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K757,新疆工程学院,K75702,02,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -6 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；475-481=-6；482-497=-15；历史最高等位分差=-6。,515,91723,494,497,481,,,482,482-497=-15,475,475-481=-6,2,2023；2024,475-482,475-481=-6；482-497=-15,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,16,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.02 安全工程[M-638a141a3b4074bc]；2.03 化学工程与工艺（按”化工与制药类”培养）[M-9f1e33822ecbbe1c]；3.04 环境科学与工程（按”化工与制药类”培养）[M-8a4174b7a36c1e16]；4.05 材料科学与工程（按“化工与制药类？培养）[M-86d0c62abae0efc1]；5.06 机械设计制造及其自动化[M-a93c5111ba24ca1c]；6.07 测控技术与仪器[M-84e276c153e34b98]；7.08 人工智能[M-adfd566ef94d84c0]；8.09 矿物加工工程（宜男生就读）[M-c5bb969963882caf]；9.10 智能采矿工程（宜男生就读）[M-5e1c4f9756ce137a]；10.11 治金工程（宜男生就读）[M-965526d3d90f6b07]；11.12 电气工程及其自动化[M-e87cd4eb63b65c93]；12.13 能源与动力工程[M-055208182a0c45cf]；13.14 土木工程[M-791e647c828195a7]；14.15 测绘工程[M-e43c54000209cf0d]；15.16 铁道工程[M-68c0137bf571d765]；16.17 数学与应用数学（数学单科成绩不低于80分）[M-8e3a7e97fb2d1b54],,236,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,57.0,G-26700c70e59e015e,STABLEGROUP-3306cf862cd1ea63
R4GROUP-a6a96bfa5d54e685,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,false,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K752,新疆师范大学,K75204,04,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -4 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；472-481=-9；493-497=-4；477-494=-17；历史最高等位分差=-4。,515,91723,494,497,481,477,477-494=-17,493,493-497=-4,472,472-481=-9,3,2023；2024；2025,472-493,472-481=-9；493-497=-4；477-494=-17,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,10,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.21 经济学（办学地点：温泉校区）[M-0d000bd51e5e062f]；2.22 国际经济与贸易（办学地点：温泉校区）[M-b6d1beabbc6afac1]；3.23 人力资源管理（办学地点：温泉校区）[M-ad49805fb7bce714]；4.24 国际商务（办学地点：温泉校区）[M-d96dfaf2b90100ff]；5.25 数字经济（办学地点：温泉校区）[M-a7caaa46604d1f48]；6.26 小学教育（师范类；办学地点：温泉校[M-cc2aa6182bd8fe39]；7.27 汉语言文学（师范类；办学地点：温泉校区）[M-58f91514b2e0c9d4]；8.28 英语（师范类：外语语种：英语：办学地点：温泉校区）[M-ec71e8b3f5a60790]；9.29 心理学（师范类：办学地点：温泉校区）[M-9133d28829702db3]；10.30 应用心理学（办学地点：温泉校区）[M-556b06eeef7c9fc2],温泉校区,234,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,56.0,G-609600f78134eb64,STABLEGROUP-5bde790937db78d1
R4GROUP-ad4b8209899b5dfb,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,false,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,新疆维吾尔自治区,新疆维吾尔自治区,,K749,新疆农业大学,K74903,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -5 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；474-481=-7；492-497=-5；486-494=-8；历史最高等位分差=-5。,515,91723,494,497,481,486,486-494=-8,492,492-497=-5,474,474-481=-7,3,2023；2024；2025,474-492,474-481=-7；492-497=-5；486-494=-8,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.05 旅游管理（办学地点：亚心校区）[M-3f1942b15700c532]；2.06 葵语（英语单科成绩不低于95分，仅限英语语种考生报考；办学地点：亚心校区）[M-98fcc7428a7720bb],亚心校区,233,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,40.0,G-29fc1af80eee917a,STABLEGROUP-51ca2d32c9c0b956
