第四轮候选ID,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4GROUP-9b34959b2faf1c6c,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,三亚市,教育部所在地,三亚市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,海南省,海南省,,K002,海南热带海洋学院,K00205,05,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 29 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；526-497=+29；517-494=+23；历史最高等位分差=29。,515,91723,494,497,481,517,517-494=+23,526,526-497=+29,487,487-481=+6,3,2023；2024；2025,487-526,487-481=+6；526-497=+29；517-494=+23,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,21,0,2,2,2,0,2,0,1,2,0,0,0,0,0,13,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.14 数学与座用数学（师范类；办学地点：三亚校区）[M-18c3c3d39727a1e5]；2.15 数据计算及应用（办学地点：三亚校[M-1d9a3717770712bb]；3.16 物理学（师范类：办学地点：三亚校区）[M-1a57831faef81c0d]；4.17 化学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区[M-9f828ce1c6e87720]；5.18 海洋科学（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）[M-074db62eabc67a28]；6.19 海洋技术（不招色弱、色盲、單色识别院校[M-74773332862dd10a]；7.1 组及专业代号不全者；办学地点：三亚校区）[M-1af4ffd0f676fdcf]；8.20 生物科学（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-93a84d294d543dc4]；9.21 生物技术（不招色弱、色育、单色识别不全者：办学地点：三亚校区）[M-83a16df86ee95a0c]；10.22 通信工程（办学地点：三亚校区）[M-b9ee1c065b82c6ab]；11.23 计算机科学与技术（不招单色识别不全者：办学地点：三亚校区）[M-3427bd6ef22b295a]；12.24 网络工程（办学地点：三亚校区）[M-f36880abadf263b3]；13.25 轮机工程（陆上方向；无红绿色宜，无复热身高 155cm 及以上，双眼操视力均能达到4.6（0.4）及以上；或双眼棵秘力均能到40（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上；办学地点：三亚校区）[M-7ff3f891f35570b5]；14.26 智葱海洋技术（办学地点：三亚校区）[M-3576db17a826f6fe]；15.27 环境工程（不报色弱、色真、单色识别不全者；办学地点：三亚校区）[M-51a614057f398424]；16.28 食品科学与工程（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-dcf9db265265256b]；17.29 食品质量与安全（不招色弱、色真、单色识别不全者：办学地点：三亚校区）[M-9fef618e69951770]；18.30 食品营养与健康（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）[M-d1dc7c3878cbc239]；19.31 园艺（不招色弱、色直、单色识别不全者：办学地点：三亚校区）[M-2fe4b62581a0e6dd]；20.32 水产养殖学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区）[M-7d19c229dc90447f]；21.33 海洋渔业科学与技术（不招色弱、色单色识别不全者；办学地点：三亚[M-c808953ce84763fd],三亚校区,200,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,52.75,G-401bc94e6f16cf6b,STABLEGROUP-a4c46829bb651301
R4GROUP-0b6dfdf3dc5e0d1b,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,上饶市,教育部所在地,上饶市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,江西省,江西省,,H320,上饶师范学院,H32003,03,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 7 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；488-481=+7；483-497=-14；477-494=-17；历史最高等位分差=7。,515,91723,494,497,481,477,477-494=-17,483,483-497=-14,488,488-481=+7,3,2023；2024；2025,477-488,488-481=+7；483-497=-14；477-494=-17,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,10,0,2,2,0,0,1,0,0,1,0,0,0,0,0,7,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 数据科学与大数据技术（不能准确在显示器上识别红、黄、兰、绿、紫各颜色中任何一种颜色的数码、字母者（不予录取）A◎A◎ZG院校专业组及专业代号[M-714c0a095e82677b]；2.07 人工智能[M-97fae4c85698e33a]；3.08 类曳傅息材料与器件（色盲、色弱考生[M-dc35ef3202b7617c]；4.09 化学（色盲、色弱考生不予录取）[M-f462c203afe79ff6]；5.10 应用化学（色盲、色弱考生不予录取）[M-0aef402589bf7a8f]；6.11 材料科学与工程（色直、色弱考生不予二在学校主校区学习大四将按照培养方案在弋阳校[M-ba733cd5f20c1e00]；7.12 生物科学（色盲、色弱考生不予录取）[M-43449428c14619e8]；8.14 智薏农业（大一、大二在学校主校区学习，大三、大四将按照培养方案在弋阳[M-aa82c94d0d020a52]；9.15 逼感科学与技术（色盲、色弱考生不予[M-2b697a90ff5edca5]；10.16 数学与应用数学（师范类）[M-e866dd877a243bab],色弱考生不予二在学校主校区；大二在学校主校区,157,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,52.25,G-18c7c3f4af6abe8d,STABLEGROUP-68c6ebb0d66a2beb
R4GROUP-63e7de6cd453c519,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,临汾市,教育部所在地,临汾市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山西省,山西省,,F348,山西电子科技学院,F34801,01,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；484-494=-10；历史最高等位分差=-10。,515,91723,494,497,481,484,484-494=-10,,,,,1,2025,484,484-494=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,5,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 光电信息科学与工程[M-381098630fbe1e02]；2.02 网络工程[M-4432e298a79ae782]；3.03 智能科学与技术[M-356b1d073877b505]；4.04 机械电子工程[M-5b8f82e8dff108c9]；5.05 电子封装技术F350 山西科技学院（公办）（山西）[M-aff67a155554bee3],,110,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,64.0,G-cfaf086a447f3635,STABLEGROUP-1202061c0c3455ab
R4GROUP-a5b7a9b1e031a995,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,临沂市,教育部所在地,临沂市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,山东省,山东省,,H435,临沂大学,H43504,04,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 27 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；504-481=+23；524-497=+27；历史最高等位分差=27。,515,91723,494,497,481,,,524,524-497=+27,504,504-481=+23,2,2023；2024,504-524,504-481=+23；524-497=+27,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.08 化学（师范类）[M-34b8a4f860eddbd1]；2.09 电气工程及其自动化[M-f09d465f2387b25b]；3.10 数据科学与大数据技术[M-9b456370e7b67624]；4.11 卫生检验与检疫[M-3104efacf782f0ad]；5.12 眼视光学[M-b7178d578202fa6e]；6.13 生物质能源与材料[M-2ecec11830ff86ad]；7.14 食品卫生与营养学[M-baf08c44cccb59a0],,168,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,38.25,G-f3078ec47aca2055,STABLEGROUP-956adf4440dcf728
R4GROUP-89cf9bcbf473967f,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K757,新疆工程学院,K75703,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -10 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；471-481=-10；历史最高等位分差=-10。,515,91723,494,497,481,,,,,471,471-481=-10,1,2023,471,471-481=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 通信工程（信息技术产教融合合作班）[M-035c4f5d91c7073c]；2.19 物联网工程（信息技术产教融合合作[M-c970f193141878c5],,236,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,71.0,G-ea5ee122c9d296aa,STABLEGROUP-2227222ad543ca8f
R4GROUP-6250cc5002636c5d,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,新疆维吾尔自治区,新疆维吾尔自治区,,K755,新疆财经大学,K75503,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -1 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；473-481=-8；496-497=-1；484-494=-10；历史最高等位分差=-1。,515,91723,494,497,481,484,484-494=-10,496,496-497=-1,473,473-481=-8,3,2023；2024；2025,473-496,473-481=-8；496-497=-1；484-494=-10,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 金融学[M-f03c4ef1f39ebfb6]；2.19 金融工程[M-695638a4e195323a]；3.20 保险学[M-ce2a99bdc00de329]；4.21 工商管理[M-c7fdfcdc322e608e]；5.22 会计学[M-00eda30bf9920ddc]；6.23 财务管理[M-3a4a989d7c5ef322]；7.24 审计学[M-015c4b80011eb879]；8.25 经济学[M-e4363f30c0b3494d]；9.26 敪字经济[M-d1735d8c54961491]；10.27 财政学[M-d561632684b42e03]；11.28 税收学[M-6b2893557e17734d]；12.29 行政管理（办学地点：北校区）[M-4ff81d294d7fcdb1]；13.30 旅游管理（办学地点：北校区）[M-c004bfaa6313019a]；14.31 酒店管理（办学地点：北校区）[M-21077cdf39ad3ab3]；15.32 国际经济与贸易[M-34b7569d6cac1662]；16.33 国际商务[M-c2e9d7ea6941d366]；17.34 电子商务[M-1228b9acd479c8d3],北校区,235,right,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,66.0,G-fa79972ed51283db,STABLEGROUP-ed0efbdd2119c255
R4GROUP-e7b186e1dff42be8,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K755,新疆财经大学,K75504,04,H3-历史最高线高于等位分15分内,稳冲观察,稳冲观察：按同代码历史最高等位分差 3 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；484-481=+3；488-497=-9；487-494=-7；历史最高等位分差=3。,515,91723,494,497,481,487,487-494=-7,488,488-497=-9,484,484-481=+3,3,2023；2024；2025,484-488,484-481=+3；488-497=-9；487-494=-7,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.35 经济统计学[M-0ba8a5cc6a14012a]；2.36 统计学ZAKA。院校专业组及专业代亭[M-23599cd2f6179f4b]；3.37 金融数学（数学单科成绩不低于70[M-feb28eeadcff8760]；4.38 数据科学与大数据技术[M-4891e9f445d33181]；5.39 计算机科学与技术[M-66b820fb26fd1d94]；6.40 网络空间安全[M-5387c5074ab4cbef]；7.41 人工智能[M-b6a61f7b02d89e16],,235,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,61.25,G-c60556809274769b,STABLEGROUP-35b8490cf614864c
R4GROUP-1df0d2da06affe66,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,乌鲁木齐市,教育部所在地,乌鲁木齐市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K752,新疆师范大学,K75205,05,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 16 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；497-481=+16；487-497=-10；478-494=-16；历史最高等位分差=16。,515,91723,494,497,481,478,478-494=-16,487,487-497=-10,497,497-481=+16,3,2023；2024；2025,478-497,497-481=+16；487-497=-10；478-494=-16,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,17,0,3,3,2,0,5,0,1,0,0,0,0,0,0,6,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.31 数学与应用数学（师范类：高考数学单科成绩不低于80分；办学地点：温泉校区）[M-a77a872aa3f113ab]；2.32 信息与计算科学（高考数学单科成绩不低于80分：办学地点：温泉校区）[M-f3fbdaf76954f832]；3.33 应用统计学（高考数学单科成绩不低于80分；办学地点：温泉校区）[M-aefa52d546c63817]；4.34 物理学（师范类；高考数学单科成绩不低芋60分；办学地点：昆仑校区）[M-119c6e6692273409]；5.35 电子信息科学与技术（高考数学单科感绩不低于60分；办学地点：昆仑校[M-6d74f6ea94a2887c]；6.36 光电信息科学与工程（高考数学单科成绩不低子60分；办学地点：昆仑校[M-8d1b82b5f676fa00]；7.37 计算机科学与技术（师范类；办学地点：昆仑校区）[M-09057fdfd946e6c2]；8.38 软件工程（办学地点：昆仑校区）[M-03271fe251d222ae]；9.39 数据科学与大数据技术（办学地点：昆仑校区）[M-0999b17dae4b06d3]；10.40 逼感科学与技术（办学地点：温泉校[M-601e8606c47063b1]；11.4 化学（师范类；办学地点：昆仑校区）[M-4050c77bc07a1ae4]；12.42 化学工程与工艺（办学地点：昆仑校区）[M-423d7417e05d5bac]；13.43 环境工程（办学地点：昆仑校区）[M-66047167e51d253e]；14.44 生物科学（师范类；办学地点：温泉校[M-b69ac4db4a5e575f]；15.45 生物技术（办学地点：温泉校区）[M-94ae0b8c8b8a1b81]；16.46 生物工程（办学地点：温泉校区）[M-8f062f820bbb1eea]；17.47 食品安全与检测（办学地点：温泉校[M-c8f3a67e757d06c6],温泉校区；昆仑校区,234,right,R1-P0整组先核,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,73.0,G-7694bcd996e8e798,STABLEGROUP-d64b56ac10694ac7
R4GROUP-9948d103a09dc6ad,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,伊犁哈萨克自治州,教育部所在地,伊犁哈萨克自治州,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,新疆维吾尔自治区,新疆维吾尔自治区,,K754,伊犁师范大学,K75403,03,H2-历史最高线不高于等位分,稳妥观察,稳妥观察：按同代码历史最高等位分差 -5 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；492-497=-5；475-494=-19；历史最高等位分差=-5。,515,91723,494,497,481,475,475-494=-19,492,492-497=-5,,,2,2024；2025,475-492,492-497=-5；475-494=-19,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,11,0,4,4,2,3,1,0,0,0,0,0,0,0,0,3,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）[M-d4478deadbe9d36c]；2.11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）[M-ff4d11d6aa60c91f]；3.12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）[M-ae298e3e9cf6a985]；4.13 测绘工程（办学地点：解放路校区）[M-8e56cb8663c33e0f]；5.14 地理空间信息工程（办学地点：解放路校区）[M-34db041d2c031664]；6.15 机械设计制造及其自动化（办学地点：解放路校区）[M-a6af8ec1a245260a]；7.16 机械电子工程（办学地点：解放路校[M-12b5da2492cb1299]；8.17 机器人工程（办学地点：解放路校区）[M-085e00cc78e0a600]；9.18 人工智能（办学地点：解放路校区）[M-934399f2aef81da5]；10.19 计算机科学与技术（办学地点：解放路校区）[M-1565ac475964e78f]；11.20 网络工程（办学地点：解放路校区）[M-548cfb291f3c4ff1],解放路校区,235,right,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,98.0,G-d7999ebd3ca3839c,STABLEGROUP-1190503a7ea7ec36
R4GROUP-84ce5a4a71359659,直接来源于稳定底座、教育部学校属性表和三年投档线旁挂表；不引用 Round3 输出。,主线可能够得着全集,true,false,佳木斯市,教育部所在地,佳木斯市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,黑龙江省,黑龙江省,,F687,佳木斯大学,F68704,04,H4-历史最高线高于等位分16-30分,冲刺观察,冲刺观察：按同代码历史最高等位分差 23 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；504-481=+23；516-497=+19；508-494=+14；历史最高等位分差=23。,515,91723,494,497,481,508,508-494=+14,516,516-497=+19,504,504-481=+23,3,2023；2024；2025,504-516,504-481=+23；516-497=+19；508-494=+14,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.04 电气工程及其自动化[M-13dbbdaee654c785]；2.05 电子信息工程[M-8a5764e738716ef9]；3.06 计算机科学与技术[M-f90f8c166b7e9229]；4.07 自动化[M-3296e0f6da2a58d2],,125,left,R2-P1页列集中核,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,51.25,G-fce34d3b2f811bad,STABLEGROUP-f028cbf7812d515b
