第二轮候选ID,第二轮池,第二轮层级,建议梯度,是否进入家庭讨论,是否可作为定稿依据,入选理由,专项风险提示,下一步核验动作,体检和章程核验提示,重点观察标签,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,机械自动化机器人专业数,电子信息网络专业数,计算机AI软件专业数,农业动医兽医专业数,动物医学兽医专业数,护理助产专业数,工商旅游管理专业数,环境工程科学专业数,医技护理康复专业数,临床口腔中医暂缓专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R2GROUP-594816d1e3a2a2f1,主线,C1-主线完整候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,组内有特殊限制待核；缺同代码历史线索,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-594816d1e3a2a2f1,专项,C2-医技康复农业环境专项候选池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,组内有特殊限制待核；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-594816d1e3a2a2f1,点名观察,C3-用户点名学校观察池,历史待补,true,false,命中方向：计算机/AI/软件1个、环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,组内有特殊限制待核；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检或特殊限制字段待核；需看招生章程、专业备注和第19期原页。,北京农学院,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,V1-偏好专业优先线索,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
R2GROUP-867fb73338a090d3,点名观察,C3-用户点名学校观察池,历史待补,true,false,命中方向：环境1个、农业1个；命中优先城市：北京；命名观察：北京农学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,北京农学院,F008,北京农学院,F00804,04,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,93,left,1.05 农业资源与环境（中外合作办学）（中澳食作办学专业，3+1培养模式，专业课为英文授课.国内学费3.6万元/年，国外学费按照澳大利亚当年标准收取.不招收色盲、色弱考生）[M-7e4e4b0e1c5ad1f4]；2.FP 009首都医科大学（公办）（北京）[M-5f2c58c2cd393f06],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-a6db479a7a076023,STABLEGROUP-81958d667c3b761c
R2GROUP-51c099eb108b33e3,点名观察,C3-用户点名学校观察池,历史待补,false,false,命中方向：计算机/AI/软件2个；命名观察：厦门大学嘉庚学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,厦门大学嘉庚学院,F273,厦门大学嘉庚学院,F27306,06,,民办-教育部备注民办,默认不进主方案-民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,V0-默认不进主方案风险,R2-P1页列集中核,H0-无同代码历史线索,0,,,150,right,1.22 计算机科学与技术（办学地点：厦门大学漳州校区）[M-f9f520744946f450]；2.23 软件工程（办学地点：厦门大学漳州校[M-95da5a1626079db1],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-6955bf0992b6564c,STABLEGROUP-38c18547d329ad61
R2GROUP-547fff1aa9ef6a2e,点名观察,C3-用户点名学校观察池,历史待补,false,false,命中方向：机械/自动化/机器人4个；命名观察：厦门大学嘉庚学院；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,厦门大学嘉庚学院,T273,厦门大学嘉庚学院,T27307,07,,民办-教育部备注民办,默认不进主方案-民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,V0-默认不进主方案风险,R2-P1页列集中核,H0-无同代码历史线索,0,,,150,right,1.24 机械设计制造及其自动化（办学地点：厦门大学漳州校区）[M-83dc25a18976f47b]；2.25 电气工程及其自动化（办学地点：厦门大学漳州校区）[M-3553d33a6a24a135]；3.26 自动化（办学地点：厦门大学漳州校[M-bcc3bd271ff14100]；4.27 机器人工程（办学地点：夏门大学漳州校区）[M-decfa45d0ee49ecb],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-9e03439d29162429,STABLEGROUP-423fd18973cbe33f
R2GROUP-74242f9c09d42900,主线,C1-主线完整候选池,高冲暂缓,true,false,命中方向：计算机/AI/软件2个、电子/网络2个、机械/自动化/机器人4个、环境1个；命中优先城市：西安；命名观察：西安建筑科技大学；历史线索：H5-历史最高线高于等位分30分以上；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,录取线距离偏冲,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,西安建筑科技大学,K465,西安建筑科技大学,K46504,04,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,4,2,2,0,0,0,0,1,0,0,0,0,14,V1-偏好专业优先线索,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,63,30,223,left,1.04 计算机科学与技术（办学地点：草堂校[M-dd8ef508d85596c0]；2.05 通信工程（办学地点：草堂校区）[M-5980eb4523d13424]；3.06 人工智能（办学地点：草堂校区）[M-ff7d32b888e386ac]；4.07 自动化（办学地点：草堂校区）[M-4ad4d695b088006c]；5.08 机器人工程（办学地点：草堂校区）[M-8faa0cf6417b2e42]；6.09 电气工程及其自动化（办学地点：草堂校区）[M-88ecd908104be17b]；7.10 机械设计制造及其自动化（办学地点：草堂校区）[M-4f407f15b3f204f6]；8.11 光电信息科学与工程（办学地点：草堂校区）[M-a785b35533c30a89]；9.12 新能源材料与器件（办学地点：草堂校区）[M-b07fc24aaa3c52a3]；10.13 纳米材料与技术（先进能源与器件；办学地点：草堂校区）[M-3b50420a0684c9ef]；11.14 智慧交通（车路协同与智能决策；办学地点：草堂校区）[M-92103756d9f5caec]；12.15 给排水科学与工程（卓越班，韧性城市智慧水务；办学地点：草堂校区）[M-4aa5a311c6ae57dd]；13.16 环境工程（卓越班，低碳与数字环境：办学地点：草堂校区）[M-5021d2917125e1b3]；14.17 安全工程（风险顶测与灾害防治：办学A◎KA◎Z院校及专业代号地点：草堂校区）[M-f5cb51a43073b479],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d97080b0408d9ba6,STABLEGROUP-705210bb30d127b5
R2GROUP-74242f9c09d42900,专项,C2-医技康复农业环境专项候选池,高冲暂缓,true,false,命中方向：计算机/AI/软件2个、电子/网络2个、机械/自动化/机器人4个、环境1个；命中优先城市：西安；命名观察：西安建筑科技大学；历史线索：H5-历史最高线高于等位分30分以上；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,录取线距离偏冲；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,西安建筑科技大学,K465,西安建筑科技大学,K46504,04,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,4,2,2,0,0,0,0,1,0,0,0,0,14,V1-偏好专业优先线索,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,63,30,223,left,1.04 计算机科学与技术（办学地点：草堂校[M-dd8ef508d85596c0]；2.05 通信工程（办学地点：草堂校区）[M-5980eb4523d13424]；3.06 人工智能（办学地点：草堂校区）[M-ff7d32b888e386ac]；4.07 自动化（办学地点：草堂校区）[M-4ad4d695b088006c]；5.08 机器人工程（办学地点：草堂校区）[M-8faa0cf6417b2e42]；6.09 电气工程及其自动化（办学地点：草堂校区）[M-88ecd908104be17b]；7.10 机械设计制造及其自动化（办学地点：草堂校区）[M-4f407f15b3f204f6]；8.11 光电信息科学与工程（办学地点：草堂校区）[M-a785b35533c30a89]；9.12 新能源材料与器件（办学地点：草堂校区）[M-b07fc24aaa3c52a3]；10.13 纳米材料与技术（先进能源与器件；办学地点：草堂校区）[M-3b50420a0684c9ef]；11.14 智慧交通（车路协同与智能决策；办学地点：草堂校区）[M-92103756d9f5caec]；12.15 给排水科学与工程（卓越班，韧性城市智慧水务；办学地点：草堂校区）[M-4aa5a311c6ae57dd]；13.16 环境工程（卓越班，低碳与数字环境：办学地点：草堂校区）[M-5021d2917125e1b3]；14.17 安全工程（风险顶测与灾害防治：办学A◎KA◎Z院校及专业代号地点：草堂校区）[M-f5cb51a43073b479],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d97080b0408d9ba6,STABLEGROUP-705210bb30d127b5
R2GROUP-74242f9c09d42900,点名观察,C3-用户点名学校观察池,高冲暂缓,true,false,命中方向：计算机/AI/软件2个、电子/网络2个、机械/自动化/机器人4个、环境1个；命中优先城市：西安；命名观察：西安建筑科技大学；历史线索：H5-历史最高线高于等位分30分以上；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,录取线距离偏冲；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,西安建筑科技大学,K465,西安建筑科技大学,K46504,04,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,4,2,2,0,0,0,0,1,0,0,0,0,14,V1-偏好专业优先线索,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,63,30,223,left,1.04 计算机科学与技术（办学地点：草堂校[M-dd8ef508d85596c0]；2.05 通信工程（办学地点：草堂校区）[M-5980eb4523d13424]；3.06 人工智能（办学地点：草堂校区）[M-ff7d32b888e386ac]；4.07 自动化（办学地点：草堂校区）[M-4ad4d695b088006c]；5.08 机器人工程（办学地点：草堂校区）[M-8faa0cf6417b2e42]；6.09 电气工程及其自动化（办学地点：草堂校区）[M-88ecd908104be17b]；7.10 机械设计制造及其自动化（办学地点：草堂校区）[M-4f407f15b3f204f6]；8.11 光电信息科学与工程（办学地点：草堂校区）[M-a785b35533c30a89]；9.12 新能源材料与器件（办学地点：草堂校区）[M-b07fc24aaa3c52a3]；10.13 纳米材料与技术（先进能源与器件；办学地点：草堂校区）[M-3b50420a0684c9ef]；11.14 智慧交通（车路协同与智能决策；办学地点：草堂校区）[M-92103756d9f5caec]；12.15 给排水科学与工程（卓越班，韧性城市智慧水务；办学地点：草堂校区）[M-4aa5a311c6ae57dd]；13.16 环境工程（卓越班，低碳与数字环境：办学地点：草堂校区）[M-5021d2917125e1b3]；14.17 安全工程（风险顶测与灾害防治：办学A◎KA◎Z院校及专业代号地点：草堂校区）[M-f5cb51a43073b479],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,G-d97080b0408d9ba6,STABLEGROUP-705210bb30d127b5
R2GROUP-9dd3fb006f2948e4,点名观察,C3-用户点名学校观察池,历史待补,true,false,命中方向：环境1个；命中优先城市：西安；命名观察：西安建筑科技大学；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,无新增体检自动阻断线索；仍需按最终入围专业逐项核章程。,西安建筑科技大学,K465,西安建筑科技大学,K46507,07,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,223,right,1.22 环境科学（中外合作办学）（双学位：办学地点：草堂校区）K466 西安科技大学（公办）（陕西）[M-398d21a4414ab7fd],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-02e5375adbd14902,STABLEGROUP-8e54a44481ba85d9
